"Location","Capacity","19-Jan-11","20-Jan-11","21-Jan-11","22-Jan-11","23-Jan-11","24-Jan-11","25-Jan-11","26-Jan-11","27-Jan-11"
"Mississippi State Penitentiary","4,435","3,254","3,239","3,228","3,223","3,222","3,217","3,242","3,237","3,228"
"Central Mississippi Correctional Facility","3,449","3,133","3,120","3,139","3,136","3,136","3,150","3,135","3,149","3,182"
"South Mississippi Correctional Institution","3,204","3,170","3,178","3,180","3,179","3,178","3,180","3,172","3,177","3,183"
"County Jails","1,543","1,639","1,608","1,623","1,623","1,623","1,628","1,627","1,615","1,604"
"COMMUNITY WORK CENTERS","1,848","1,471","1,454","1,408","1,408","1,407","1,442","1,442","1,434","1,435"
"Alcorn Satellite Facility","92","69","67","66","66","66","67","68","68","68"
"Bolivar Satellite Facility","102","77","77","76","76","76","76","74","74","73"
"Forrest Satellite Facility","96","74","71","67","67","67","70","72","72","72"
"George Satellite Facility","102","82","80","78","78","78","80","79","78","78"
"Harrison Satellite Facility","102","72","72","71","71","71","71","70","70","70"
"Jackson Satellite Facility","102","80","80","75","75","74","76","80","80","80"
"Jefferson Satellite Facility","102","89","89","84","84","84","86","85","85","85"
"Leflore Satellite Facility","102","69","69","66","66","66","68","68","68","71"
"Madison Satellite Facility","102","91","92","85","85","85","87","87","85","83"
"Noxubee Satellite Facility","92","78","77","77","77","77","81","80","80","79"
"Pike Satellite Facility","93","79","79","77","77","77","77","78","76","74"
"Quitman Satellite Facility","93","83","83","83","83","83","84","84","85","85"
"Rankin Satellite Facility","260","197","193","193","193","193","198","198","198","200"
"Simpson Satellite Facility","102","88","86","79","80","80","85","84","82","82"
"Washington Satellite Facility","102","84","83","78","78","79","83","83","82","84"
"Wilkinson Satellite Facility","102","88","85","85","85","85","84","83","82","82"
"Yazoo Satellite Facility","102","71","71","68","67","66","69","69","69","69"
"REGIONAL CORRECTIONAL FACILITIES","3,763","2,994","3,011","3,007","3,004","3,003","3,005","3,005","3,007","3,002"
"Bolivar County","294","226","233","233","232","232","231","231","232","232"
"Carroll County","280","225","225","225","225","225","225","225","223","222"
"Chickasaw County","300","245","245","245","243","243","242","242","242","241"
"George County","280","221","222","221","221","221","223","223","223","222"
"Holmes County","280","224","225","225","225","225","224","223","224","224"
"Issaquena County","274","219","219","219","219","219","219","219","219","218"
"Jefferson County","280","223","223","223","223","222","223","223","224","224"
"Kemper County","355","283","283","283","283","283","283","282","281","281"
"Leake County","280","225","225","224","224","224","226","226","226","226"
"Marion County","280","222","224","224","224","224","224","224","224","224"
"Stone County","280","224","224","223","223","223","224","224","224","223"
"Winston County","280","219","223","223","223","223","221","223","224","224"
"Yazoo County","300","238","240","239","239","239","240","240","241","241"
"PRIVATE PRISONS","5,972","5,209","5,208","5,203","5,203","5,200","5,193","5,195","5,202","5,198"
"Delta","972","902","899","904","904","902","898","901","901","901"
"East Mississippi","1,500","1,357","1,357","1,360","1,360","1,360","1,360","1,359","1,363","1,364"
"Marshall County","1,000","896","899","899","899","899","898","897","901","899"
"Walnut Grove","1,500","1,165","1,164","1,152","1,152","1,151","1,151","1,152","1,151","1,149"
"Wilkinson County","1,000","889","889","888","888","888","886","886","886","885"
"RESTITUTION CENTERS","16","8","8","8","8","8","8","8","8","9"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","3","3","3","4"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","12","11","55","56","55","12","12","10","10"
"TOTALS","24,236","20,895","20,842","20,856","20,845","20,837","20,840","20,843","20,844","20,856"
"","","19-Jan-11","20-Jan-11","21-Jan-11","22-Jan-11","23-Jan-11","24-Jan-11","25-Jan-11","26-Jan-11","27-Jan-11"
