"Location","Capacity","28-Aug-11","29-Aug-11","30-Aug-11","","31-Aug-11 Avg Population"
"Mississippi State Penitentiary","3,356","3,076","3,076","3,085","3,095","3,079"
"Central Mississippi Correctional Facility","3,449","3,180","3,194","3,199","3,196","3,226"
"South Mississippi Correctional Institution","3,204","3,085","3,085","3,126","3,144","3,108"
"County Jails","1,632","1,909","1,911","1,893","1,898","1,908"
"COMMUNITY WORK CENTERS","1,848","1,559","1,568","1,548","1,555","1,557"
"Alcorn Satellite Facility","92","80","83","83","84","80"
"Bolivar Satellite Facility","102","83","83","81","81","79"
"Forrest Satellite Facility","96","83","86","86","86","84"
"George Satellite Facility","102","88","87","88","88","86"
"Harrison Satellite Facility","102","93","92","91","91","91"
"Jackson Satellite Facility","102","90","90","91","91","89"
"Jefferson Satellite Facility","102","81","82","82","78","74"
"Leflore Satellite Facility","102","81","82","81","79","82"
"Madison Satellite Facility","102","93","96","96","96","96"
"Noxubee Satellite Facility","92","83","83","83","81","86"
"Pike Satellite Facility","93","79","79","69","70","83"
"Quitman Satellite Facility","93","77","76","76","77","78"
"Rankin Satellite Facility","260","201","204","204","205","200"
"Simpson Satellite Facility","102","88","89","87","91","91"
"Washington Satellite Facility","102","88","88","83","84","88"
"Wilkinson Satellite Facility","102","82","83","83","89","81"
"Yazoo Satellite Facility","102","89","85","84","84","87"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,267","3,278","3,277","3,273","3,275"
"Alcorn County","300","247","246","247","247","250"
"Bolivar County","294","233","234","233","233","234"
"Carroll County","280","224","224","224","224","223"
"Chickasaw County","300","249","249","248","248","249"
"George County","280","222","223","224","222","223"
"Holmes County","280","223","224","224","224","223"
"Issaquena County","274","218","222","222","221","219"
"Jefferson County","280","224","225","225","224","224"
"Kemper County","355","283","286","284","283","284"
"Leake County","280","223","224","224","224","224"
"Marion County","280","224","224","224","224","225"
"Stone County","280","224","224","224","224","224"
"Winston County","280","223","223","223","224","223"
"Yazoo County","300","250","250","251","251","251"
"PRIVATE PRISONS","5,972","5,162","5,155","5,166","5,165","5,154"
"Delta","972","897","900","898","898","899"
"East Mississippi","1,500","1,353","1,348","1,353","1,351","1,356"
"Marshall County","1,000","995","995","1,000","999","998"
"Walnut Grove","1,500","1,016","1,013","1,017","1,020","1,001"
"Wilkinson County","1,000","901","899","898","897","901"
"RESTITUTION CENTERS","16","8","8","8","8","8"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","4","4","4","4","4"
"Pascagoula","4","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","20","6","9","11","15"
"TOTALS","23,546","21,271","21,286","21,316","21,350","21,335"
