"Location","Capacity","28-Mar-12","29-Mar-12","30-Mar-12","","31-Mar-12 Avg Population"
"Mississippi State Penitentiary","4,648","3,252","3,251","3,257","3,256","3,253"
"Central Mississippi Correctional Facility","3,665","3,087","3,114","3,098","3,097","3,085"
"South Mississippi Correctional Institution","3,282","3,184","3,176","3,174","3,174","3,170"
"County Jails","1,667","2,217","2,214","2,234","2,234","2,221"
"COMMUNITY WORK CENTERS","1,848","1,491","1,499","1,492","1,492","1,460"
"Alcorn Satellite Facility","92","92","92","92","92","90"
"Bolivar Satellite Facility","102","62","60","66","66","68"
"Forrest Satellite Facility","96","82","82","79","79","76"
"George Satellite Facility","102","75","80","76","76","78"
"Harrison Satellite Facility","102","81","80","81","81","78"
"Jackson Satellite Facility","102","83","83","82","82","82"
"Jefferson Satellite Facility","102","77","79","79","79","71"
"Leflore Satellite Facility","102","78","79","75","75","77"
"Madison Satellite Facility","102","92","91","91","91","90"
"Noxubee Satellite Facility","92","79","79","78","78","76"
"Pike Satellite Facility","93","93","93","93","93","91"
"Quitman Satellite Facility","93","89","87","88","88","88"
"Rankin Satellite Facility","260","183","186","183","183","184"
"Simpson Satellite Facility","102","90","95","97","97","82"
"Washington Satellite Facility","102","79","81","80","80","77"
"Wilkinson Satellite Facility","102","69","65","65","65","68"
"Yazoo Satellite Facility","102","87","87","87","87","85"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,267","4,268","4,268","4,257","4,265"
"Alcorn County","300","293","298","297","295","298"
"Bolivar County","294","294","293","292","292","293"
"Carroll County","280","278","278","278","275","279"
"Chickasaw County","300","298","298","298","298","298"
"George County","280","280","280","279","279","279"
"Holmes County","280","280","279","280","280","280"
"Issaquena County","274","273","273","275","274","273"
"Jefferson County","280","280","279","278","278","279"
"Kemper County","355","337","338","339","339","339"
"Leake County","280","280","278","279","278","279"
"Marion County","280","279","280","280","279","279"
"Stone County","280","280","280","280","279","279"
"Washington County","300","236","235","235","234","231"
"Winston County","280","280","279","278","278","279"
"Yazoo County","300","299","300","300","299","300"
"PRIVATE PRISONS","5,972","4,173","4,169","4,173","4,167","4,148"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,323","1,322","1,321","1,321","1,317"
"Marshall County","1,000","999","999","998","996","999"
"Walnut Grove","1,500","966","964","967","966","948"
"Wilkinson County","1,000","885","884","887","884","884"
"RESTITUTION CENTERS","16","11","11","9","9","11"
"Greenwood","6","5","5","4","4","4"
"Hinds","6","2","2","2","2","3"
"Pascagoula","4","4","4","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","6","7","22","24","19"
"TOTALS","25,467","21,688","21,709","21,727","21,710","21,631"
"","","28-Mar-12","29-Mar-12","30-Mar-12","31-Mar-12",""
