"Location","Capacity","19-Jun-12","20-Jun-12","21-Jun-12","22-Jun-12","23-Jun-12","24-Jun-12","25-Jun-12","26-Jun-12","27-Jun-12"
"Mississippi State Penitentiary","4,648","3,292","3,290","3,288","3,295","3,292","3,291","3,292","3,285","3,271"
"Central Mississippi Correctional Facility","3,665","3,256","3,288","3,277","3,236","3,232","3,230","3,238","3,290","3,290"
"South Mississippi Correctional Institution","3,282","3,182","3,185","3,188","3,183","3,183","3,182","3,193","3,197","3,193"
"County Jails","1,678","2,050","2,061","2,073","2,105","2,105","2,105","2,091","2,072","2,048"
"COMMUNITY WORK CENTERS","1,848","1,610","1,605","1,618","1,614","1,613","1,613","1,631","1,630","1,585"
"Alcorn Satellite Facility","92","92","91","90","90","89","90","90","92","91"
"Bolivar Satellite Facility","102","81","80","80","84","84","84","84","83","79"
"Forrest Satellite Facility","96","76","76","76","80","80","80","81","81","79"
"George Satellite Facility","102","88","88","92","91","91","91","94","94","88"
"Harrison Satellite Facility","102","81","80","80","82","82","82","80","80","78"
"Jackson Satellite Facility","102","79","79","79","76","76","76","78","78","76"
"Jefferson Satellite Facility","102","82","80","79","78","78","78","78","77","76"
"Leflore Satellite Facility","102","80","80","80","75","75","75","80","81","86"
"Madison Satellite Facility","102","93","91","96","96","96","95","97","95","95"
"Noxubee Satellite Facility","92","79","79","83","80","80","80","81","81","80"
"Pike Satellite Facility","93","92","93","93","93","93","93","93","93","92"
"Quitman Satellite Facility","93","92","91","92","93","93","93","93","93","79"
"Rankin Satellite Facility","260","239","242","244","240","240","240","242","240","228"
"Simpson Satellite Facility","102","102","101","101","102","102","102","100","99","99"
"Washington Satellite Facility","102","80","81","81","83","83","83","87","88","87"
"Wilkinson Satellite Facility","102","85","83","83","82","82","82","82","83","80"
"Yazoo Satellite Facility","102","89","90","89","89","89","89","91","92","92"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,348","4,344","4,346","4,343","4,339","4,335","4,340","4,333","4,335"
"Alcorn County","300","299","297","299","299","298","298","298","298","298"
"Bolivar County","369","367","367","367","367","367","367","367","367","367"
"Carroll County","280","280","280","280","280","279","279","279","280","280"
"Chickasaw County","300","299","299","300","299","299","299","298","298","300"
"George County","280","280","280","280","280","280","280","279","277","279"
"Holmes County","280","280","280","279","279","279","278","280","279","278"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","280","280","280","280","279","278"
"Kemper County","355","340","340","340","340","340","340","340","340","338"
"Leake County","280","280","279","279","280","278","277","279","280","280"
"Marion County","280","278","280","280","280","280","279","278","277","279"
"Stone County","280","281","281","280","280","280","280","280","279","279"
"Washington County","300","231","231","231","229","229","229","229","229","226"
"Winston County","280","280","280","280","279","279","278","279","277","280"
"Yazoo County","300","299","296","297","297","297","297","300","299","299"
"PRIVATE PRISONS","5,972","4,289","4,286","4,282","4,289","4,287","4,286","4,283","4,281","4,286"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,360","1,363","1,361","1,361","1,361","1,361","1,360","1,359","1,358"
"Marshall County","1,000","982","982","981","980","980","980","980","979","979"
"Walnut Grove","1,500","1,048","1,043","1,042","1,047","1,046","1,045","1,043","1,043","1,044"
"Wilkinson County","1,000","899","898","898","901","900","900","900","900","905"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","8","8","7","32","33","33","6","5","5"
"TOTALS","25,553","22,046","22,078","22,090","22,108","22,095","22,086","22,085","22,104","22,024"
"","","19-Jun-12","20-Jun-12","21-Jun-12","22-Jun-12","23-Jun-12","24-Jun-12","25-Jun-12","26-Jun-12","27-Jun-12"
