"Location","Capacity","28-Jul-12","29-Jul-12","30-Jul-12","31-Jul-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,331","3,327","3,329","3,336","3,301"
"Central Mississippi Correctional Facility","3,665","3,164","3,161","3,171","3,191","3,212"
"South Mississippi Correctional Institution","3,282","3,207","3,207","3,203","3,212","3,194"
"County Jails","1,753","1,991","1,991","2,012","1,983","2,006"
"COMMUNITY WORK CENTERS","1,848","1,585","1,583","1,593","1,611","1,583"
"Alcorn Satellite Facility","92","89","89","90","91","87"
"Bolivar Satellite Facility","102","80","80","80","80","76"
"Forrest Satellite Facility","96","79","79","79","80","81"
"George Satellite Facility","102","81","81","80","80","82"
"Harrison Satellite Facility","102","82","82","84","84","79"
"Jackson Satellite Facility","102","76","75","78","85","75"
"Jefferson Satellite Facility","102","76","76","77","77","79"
"Leflore Satellite Facility","102","81","81","82","83","81"
"Madison Satellite Facility","102","97","97","96","97","98"
"Noxubee Satellite Facility","92","77","77","79","79","78"
"Pike Satellite Facility","93","92","92","91","93","91"
"Quitman Satellite Facility","93","91","91","92","92","89"
"Rankin Satellite Facility","260","239","238","239","239","238"
"Simpson Satellite Facility","102","97","97","94","92","99"
"Washington Satellite Facility","102","78","78","80","90","82"
"Wilkinson Satellite Facility","102","73","73","74","71","76"
"Yazoo Satellite Facility","102","97","97","98","98","89"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,340","4,337","4,337","4,341","4,341"
"Alcorn County","300","298","298","298","299","297"
"Bolivar County","369","369","369","369","369","368"
"Carroll County","280","280","279","279","279","277"
"Chickasaw County","300","299","298","298","298","299"
"George County","280","278","278","279","280","279"
"Holmes County","280","279","279","280","280","278"
"Issaquena County","274","274","274","274","274","273"
"Jefferson County","280","276","275","274","278","278"
"Kemper County","355","338","338","339","338","339"
"Leake County","280","278","278","278","278","279"
"Marion County","280","280","280","280","280","280"
"Stone County","280","278","278","277","279","279"
"Washington County","300","231","231","230","230","236"
"Winston County","280","282","282","282","279","279"
"Yazoo County","300","300","300","300","300","299"
"PRIVATE PRISONS","5,972","4,284","4,282","4,281","4,278","4,309"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,328","1,327","1,320","1,313","1,354"
"Marshall County","1,000","999","999","999","999","998"
"Walnut Grove","1,500","1,053","1,052","1,056","1,060","1,053"
"Wilkinson County","1,000","904","904","906","906","904"
"RESTITUTION CENTERS","16","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5"
"Hinds","6","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","25","25","9","8","17"
"TOTALS","25,628","21,939","21,925","21,947","21,972","21,977"
