"Location","Capacity","28-Dec-12","29-Dec-12","30-Dec-12","31-Dec-12","Avg Population"
"Mississippi State Penitentiary","4,648","3,357","3,356","3,356","3,354","3,362"
"Central Mississippi Correctional Facility","3,557","3,358","3,356","3,356","3,357","3,336"
"Youthful Offender Unit","42","24","25","25","25","25"
"South Mississippi Correctional Institution","3,282","3,250","3,250","3,247","3,247","3,228"
"County Jails","1,818","2,180","2,180","2,180","2,179","2,278"
"COMMUNITY WORK CENTERS","1,848","1,488","1,486","1,482","1,480","1,483"
"Alcorn Satellite Facility","92","91","91","91","91","90"
"Bolivar Satellite Facility","102","68","68","66","66","71"
"Forrest Satellite Facility","96","74","74","74","74","70"
"George Satellite Facility","102","76","76","76","76","72"
"Harrison Satellite Facility","102","76","75","74","74","74"
"Jackson Satellite Facility","102","65","65","64","64","63"
"Jefferson Satellite Facility","102","60","60","60","59","63"
"Leflore Satellite Facility","102","76","76","76","76","72"
"Madison Satellite Facility","102","89","88","88","88","91"
"Noxubee Satellite Facility","92","77","77","77","77","78"
"Pike Satellite Facility","93","93","93","93","93","92"
"Quitman Satellite Facility","93","93","93","93","93","92"
"Rankin Satellite Facility","260","247","247","247","247","252"
"Simpson Satellite Facility","102","95","95","95","94","96"
"Washington Satellite Facility","102","70","70","70","70","67"
"Wilkinson Satellite Facility","102","56","56","56","56","53"
"Yazoo Satellite Facility","102","82","82","82","82","89"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,354","4,353","4,350","4,350","4,352"
"Alcorn County","300","299","299","298","298","298"
"Bolivar County","369","368","368","368","368","368"
"Carroll County","280","281","281","281","281","279"
"Chickasaw County","300","300","299","299","299","299"
"George County","280","279","279","279","279","279"
"Holmes County","280","280","280","280","280","279"
"Issaquena County","274","274","274","273","273","274"
"Jefferson County","280","280","280","280","280","280"
"Kemper County","355","337","337","337","337","339"
"Leake County","280","280","280","280","280","279"
"Marion County","280","280","280","280","280","280"
"Stone County","280","278","278","278","278","279"
"Washington County","300","238","238","237","237","240"
"Winston County","280","279","279","279","279","279"
"Yazoo County","300","301","301","301","301","301"
"PRIVATE PRISONS","5,972","4,346","4,343","4,339","4,335","4,287"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,125","1,124","1,123","1,122","1,127"
"Marshall County","1,000","1,000","1,000","1,000","999","998"
"Walnut Grove","1,500","1,319","1,317","1,316","1,314","1,259"
"Wilkinson County","1,000","902","902","900","900","904"
"RESTITUTION CENTERS","16","10","10","10","10","13"
"Greenwood","6","2","2","2","2","4"
"Hinds","6","5","5","5","5","6"
"Pascagoula","4","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","8","6","6","5","7"
"TOTALS","25,611","22,375","22,365","22,351","22,344","22,364"
