"Location","Capacity","28-Jan-13","29-Jan-13","30-Jan-13","31-Jan-13","Avg Population"
"Mississippi State Penitentiary","4,648","3,385","3,358","3,359","3,357","3,357"
"Central Mississippi Correctional Facility","3,557","3,233","3,233","3,303","3,300","3,342"
"Youthful Offender Unit","42","22","22","22","22","19"
"South Mississippi Correctional Institution 3,282","","3,243","3,243","3,241","3,241","3,237"
"County Jails","1,818","2,185","2,185","2,173","2,150","2,139"
"COMMUNITY WORK CENTERS","1,848","1,454","1,450","1,457","1,440","1,437"
"Alcorn Satellite Facility","92","92","92","92","92","89"
"Bolivar Satellite Facility","102","64","62","61","61","65"
"Forrest Satellite Facility","96","71","72","72","72","72"
"George Satellite Facility","102","76","77","81","81","75"
"Harrison Satellite Facility","102","64","64","70","70","66"
"Jackson Satellite Facility","102","59","59","60","60","59"
"Jefferson Satellite Facility","102","75","75","75","75","67"
"Leflore Satellite Facility","102","66","65","65","65","69"
"Madison Satellite Facility","102","78","80","77","77","82"
"Noxubee Satellite Facility","92","77","74","74","74","76"
"Pike Satellite Facility","93","92","92","91","74","91"
"Quitman Satellite Facility","93","85","87","87","87","89"
"Rankin Satellite Facility","260","233","233","232","233","233"
"Simpson Satellite Facility","102","100","100","100","100","97"
"Washington Satellite Facility","102","72","70","70","70","69"
"Wilkinson Satellite Facility","102","69","68","68","68","58"
"Yazoo Satellite Facility","102","81","80","82","81","83"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,362","4,347","4,361","4,327","4,333"
"Alcorn County","300","299","299","301","301","299"
"Bolivar County","369","368","367","367","279","361"
"Carroll County","280","280","279","279","367","279"
"Chickasaw County","300","300","300","300","279","297"
"George County","280","280","280","279","279","277"
"Holmes County","280","279","280","280","280","277"
"Issaquena County","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","280","279"
"Kemper County","355","336","337","337","337","335"
"Leake County","280","281","269","280","274","278"
"Marion County","280","280","279","280","273","279"
"Stone County","280","279","278","277","278","277"
"Washington County","300","247","247","247","247","249"
"Winston County","280","278","279","278","279","273"
"Yazoo County","300","301","299","302","300","299"
"PRIVATE PRISONS","5,972","4,276","4,282","4,271","4,271","4,300"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,116","1,116","1,114","1,115","1,118"
"Marshall County","1,000","996","996","998","999","997"
"Walnut Grove","1,500","1,266","1,272","1,257","1,254","1,284"
"Wilkinson County","1,000","898","898","902","903","901"
"RESTITUTION CENTERS","16","14","14","14","14","12"
"Greenwood","6","6","6","6","6","5"
"Hinds","6","4","4","4","4","5"
"Pascagoula","4","4","4","4","4","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0"
"E-CODE","0","11","12","7","12","22"
"TOTALS","25,611","22,185","22,146","22,208","22,151","22,200"
"","","28-Jan-13","29-Jan-13","30-Jan-13","31-Jan-13",""
