"Location","Capacity","28-Apr-13","29-Apr-13","30-Apr-13","Avg Population"
"Mississippi State Penitentiary","4,648","3,365","3,364","3,354","3,372"
"Central Mississippi Correctional Facility","3,557","3,365","3,365","3,390","3,333"
"Youthful Offender Unit","42","28","29","29","27"
"South Mississippi Correctional Institution 3,282","","3,239","3,240","3,236","3,232"
"County Jails","1,872","2,321","2,328","2,316","2,364"
"COMMUNITY WORK CENTERS","1,848","1,572","1,575","1,558","1,549"
"Alcorn Satellite Facility","92","92","92","92","92"
"Bolivar Satellite Facility","102","76","76","74","75"
"Forrest Satellite Facility","96","80","80","79","76"
"George Satellite Facility","102","86","87","87","81"
"Harrison Satellite Facility","102","85","85","84","81"
"Jackson Satellite Facility","102","72","72","72","74"
"Jefferson Satellite Facility","102","77","76","72","76"
"Leflore Satellite Facility","102","80","80","79","79"
"Madison Satellite Facility","102","92","92","92","88"
"Noxubee Satellite Facility","92","78","80","80","79"
"Pike Satellite Facility","93","92","92","90","90"
"Quitman Satellite Facility","93","83","83","85","86"
"Rankin Satellite Facility","260","242","242","240","240"
"Simpson Satellite Facility","102","94","95","90","97"
"Washington Satellite Facility","102","82","82","84","79"
"Wilkinson Satellite Facility","102","75","76","75","71"
"Yazoo Satellite Facility","102","86","85","83","84"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,422","4,418","4,418","4,405"
"Alcorn County","300","299","298","298","298"
"Bolivar County","369","366","366","367","368"
"Carroll County","280","279","279","279","279"
"Chickasaw County","300","299","297","300","299"
"George County","280","279","279","280","279"
"Holmes County","280","279","279","278","280"
"Issaquena County","274","274","274","274","274"
"Jefferson County","280","280","280","280","280"
"Kemper County","355","353","351","353","346"
"Leake County","280","279","279","278","279"
"Marion County","280","280","280","280","279"
"Stone County","280","278","278","278","279"
"Washington County","300","298","298","296","285"
"Winston County","280","280","280","280","279"
"Yazoo County","300","299","300","297","300"
"PRIVATE PRISONS","5,972","4,279","4,275","4,278","4,309"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,124","1,123","1,122","1,123"
"Marshall County","1,000","999","999","997","997"
"Walnut Grove","1,500","1,268","1,266","1,270","1,292"
"Wilkinson County","1,000","888","887","889","898"
"RESTITUTION CENTERS","16","23","24","23","25"
"Greenwood","6","3","3","3","4"
"Hinds","6","6","6","5","5"
"Pascagoula","4","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","11","12","12","13"
"TOTALS","25,681","22,614","22,618","22,602","22,617"
"","","28-Apr-13","29-Apr-13","30-Apr-13",""
