"Location","Capacity","1-Jun-13","2-Jun-13","3-Jun-13","4-Jun-13","5-Jun-13","6-Jun-13","7-Jun-13","8-Jun-13","9-Jun-13"
"Mississippi State Penitentiary","4,648","3,380","3,380","3,394","3,391","3,389","3,384","3,380","3,379","3,378"
"Central Mississippi Correctional Facility","3,557","3,317","3,314","3,329","3,344","3,341","3,354","3,347","3,341","3,343"
"Youthful Offender Unit","42","31","31","31","30","30","31","31","31","31"
"South Mississippi Correctional Institution","3,282","3,210","3,209","3,217","3,219","3,212","3,204","3,211","3,208","3,208"
"County Jails","1,872","2,306","2,306","2,304","2,282","2,313","2,324","2,337","2,337","2,337"
"COMMUNITY WORK CENTERS","1,848","1,516","1,516","1,544","1,543","1,548","1,558","1,535","1,534","1,532"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","62","62","59","58","58","58","57","57","56"
"Forrest Satellite Facility","96","78","78","78","78","78","78","77","77","77"
"George Satellite Facility","102","67","67","68","68","68","67","65","65","65"
"Harrison Satellite Facility","102","83","83","90","90","90","90","88","88","88"
"Jackson Satellite Facility","102","77","77","80","80","80","90","83","83","83"
"Jefferson Satellite Facility","102","61","61","62","62","62","62","62","62","62"
"Leflore Satellite Facility","102","87","88","88","88","88","88","92","92","92"
"Madison Satellite Facility","102","91","90","90","79","86","91","92","92","92"
"Noxubee Satellite Facility","92","75","75","80","80","79","78","75","75","75"
"Pike Satellite Facility","93","91","91","93","93","93","92","90","91","91"
"Quitman Satellite Facility","93","89","89","90","91","92","92","91","91","91"
"Rankin Satellite Facility","260","235","235","239","239","239","239","234","234","233"
"Simpson Satellite Facility","102","99","99","99","99","99","99","98","98","98"
"Washington Satellite Facility","102","82","82","83","93","93","91","92","91","91"
"Wilkinson Satellite Facility","102","78","78","78","78","76","76","74","74","74"
"Yazoo Satellite Facility","102","69","69","75","75","75","75","73","72","72"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,421","4,417","4,416","4,425","4,424","4,420","4,429","4,424","4,419"
"Alcorn County","300","296","296","296","300","300","300","300","300","300"
"Bolivar County","369","368","366","367","367","369","369","367","367","367"
"Carroll County","280","279","279","279","280","278","276","278","278","278"
"Chickasaw County","300","300","300","298","298","298","298","299","298","298"
"George County","280","281","281","281","279","280","280","279","278","278"
"Holmes County","280","279","279","279","280","278","279","280","280","280"
"Issaquena County","274","274","274","274","274","274","274","272","272","272"
"Jefferson County","280","278","278","280","280","280","281","281","281","281"
"Kemper County","355","354","354","354","355","355","355","355","354","352"
"Leake County","280","279","279","279","280","280","280","280","279","279"
"Marion County","280","279","279","279","280","279","280","280","280","280"
"Stone County","280","279","279","278","278","279","278","280","280","280"
"Washington County","300","293","293","293","295","295","293","299","299","298"
"Winston County","280","281","280","279","279","279","278","279","279","278"
"Yazoo County","300","301","300","300","300","300","299","300","299","298"
"PRIVATE PRISONS","5,972","4,297","4,297","4,293","4,301","4,304","4,308","4,308","4,307","4,304"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,119","1,119","1,118","1,125","1,126","1,126","1,126","1,126","1,126"
"Marshall County","1,000","999","999","999","999","999","997","999","999","999"
"Walnut Grove","1,500","1,294","1,294","1,294","1,296","1,296","1,300","1,298","1,298","1,296"
"Wilkinson County","1,000","885","885","882","881","883","885","885","884","883"
"RESTITUTION CENTERS","16","10","9","10","9","9","9","12","12","12"
"Greenwood","6","3","2","2","2","2","2","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","2","2","3","2","2","2","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,488","22,479","22,538","22,544","22,570","22,592","22,590","22,573","22,564"
