"","","","","",""
"Location","Capacity","28-Jun-13","29-Jun-13","30-Jun-13","Avg Population"
"Mississippi State Penitentiary","4,648","3,400","3,402","3,401","3,388"
"Central Mississippi Correctional Facility","3,557","3,335","3,334","3,331","3,344"
"Youthful Offender Unit","42","33","33","33","31"
"South Mississippi Correctional Institution 3,282","","3,237","3,234","3,231","3,219"
"County Jails","1,872","2,358","2,358","2,358","2,348"
"COMMUNITY WORK CENTERS","1,848","1,498","1,495","1,496","1,523"
"Alcorn Satellite Facility","92","90","90","90","91"
"Bolivar Satellite Facility","102","63","63","63","58"
"Forrest Satellite Facility","96","76","76","76","77"
"George Satellite Facility","102","69","69","69","64"
"Harrison Satellite Facility","102","84","85","85","89"
"Jackson Satellite Facility","102","82","81","82","83"
"Jefferson Satellite Facility","102","58","58","58","61"
"Leflore Satellite Facility","102","81","81","81","87"
"Madison Satellite Facility","102","92","92","92","89"
"Noxubee Satellite Facility","92","78","78","78","76"
"Pike Satellite Facility","93","92","92","92","92"
"Quitman Satellite Facility","93","88","87","87","89"
"Rankin Satellite Facility","260","231","230","230","237"
"Simpson Satellite Facility","102","101","101","101","98"
"Washington Satellite Facility","102","82","82","82","86"
"Wilkinson Satellite Facility","102","72","72","72","75"
"Yazoo Satellite Facility","102","59","58","58","69"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,426","4,426","4,422","4,425"
"Alcorn County","300","298","298","298","299"
"Bolivar County","369","368","368","367","368"
"Carroll County","280","279","279","279","279"
"Chickasaw County","300","299","299","298","299"
"George County","280","277","277","276","279"
"Holmes County","280","280","280","280","280"
"Issaquena County","274","274","274","274","274"
"Jefferson County","280","279","279","279","279"
"Kemper County","355","354","354","354","355"
"Leake County","280","281","281","281","279"
"Marion County","280","279","279","279","280"
"Stone County","280","280","280","279","279"
"Washington County","300","297","297","297","298"
"Winston County","280","281","281","281","279"
"Yazoo County","300","300","300","300","299"
"PRIVATE PRISONS","5,972","4,311","4,310","4,307","4,308"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,123","1,123","1,123","1,124"
"Marshall County","1,000","998","998","998","997"
"Walnut Grove","1,500","1,298","1,297","1,295","1,296"
"Wilkinson County","1,000","892","892","891","890"
"RESTITUTION CENTERS","16","10","10","10","10"
"Greenwood","6","3","3","3","3"
"Hinds","6","4","4","4","4"
"Pascagoula","4","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","0","0","0","0"
"TOTALS","25,681","22,608","22,602","22,589","22,596"
"","","28-Jun-13","29-Jun-13","30-Jun-13",""
