"Location","Capacity","22-May-14","23-May-14","24-May-14","25-May-14","26-May-14","27-May-14","28-May-14","29-May-14","30-May-14","31-May-14","Avg Pop"
"Mississippi State Penitentiary","4,648","3,274","3,296","3,295","3,295","3,290","3,291","3,293","3,281","3,284","3,283","3,289"
"Central Mississippi Correctional Facility","3,665","2,801","2,775","2,775","2,776","2,776","2,760","2,765","2,764","2,768","2,770","2,778"
"Youthful Offender Unit","42","39","39","39","39","39","39","39","38","38","37","38"
"South Mississippi Correctional Institution","3,282","3,199","3,202","3,202","3,200","3,200","3,203","3,202","3,201","3,195","3,191","3,208"
"County Jails","2,020","1,773","1,787","1,787","1,787","1,788","1,764","1,775","1,814","1,791","1,789","1,841"
"COMMUNITY WORK CENTERS","1,848","1,140","1,137","1,135","1,131","1,129","1,131","1,127","1,123","1,123","1,119","1,151"
"Alcorn Satellite Facility","92","88","89","89","89","89","89","89","92","92","92","88"
"Bolivar Satellite Facility","102","43","43","43","43","43","43","43","44","44","43","44"
"Forrest Satellite Facility","96","53","52","52","52","52","51","50","51","51","51","51"
"George Satellite Facility","102","64","64","64","64","64","65","64","61","61","61","65"
"Harrison Satellite Facility","102","60","60","60","59","59","59","58","62","62","62","58"
"Jackson Satellite Facility","102","48","51","51","51","51","51","51","56","56","56","50"
"Jefferson Satellite Facility","102","45","45","45","45","45","50","50","45","45","45","44"
"Leflore Satellite Facility","102","51","51","50","49","49","49","49","44","44","43","51"
"Madison Satellite Facility","102","56","56","56","56","56","56","56","50","50","50","59"
"Noxubee Satellite Facility","92","72","72","72","72","72","70","70","68","68","68","72"
"Pike Satellite Facility","93","76","75","75","75","75","74","73","69","69","68","81"
"Quitman Satellite Facility","93","66","70","70","68","68","68","67","66","66","66","70"
"Rankin Satellite Facility","260","186","185","185","185","185","183","181","189","189","189","191"
"Simpson Satellite Facility","102","98","93","93","93","91","91","95","95","95","95","97"
"Washington Satellite Facility","102","46","46","46","46","46","46","46","48","48","48","46"
"Wilkinson Satellite Facility","102","44","43","42","42","42","42","42","41","41","40","43"
"Yazoo Satellite Facility","102","44","42","42","42","42","44","43","42","42","42","41"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,403","4,395","4,391","4,390","4,387","4,383","4,387","4,390","4,390","4,378","4,398"
"Alcorn County","300","299","299","298","298","298","297","296","298","298","298","298"
"Bolivar County","369","367","367","367","367","367","369","369","367","367","367","368"
"Carroll County","280","279","279","278","278","277","278","278","280","280","279","278"
"Chickasaw County","300","297","301","301","301","301","299","299","299","299","299","299"
"George County","280","277","276","276","276","276","278","279","280","280","279","278"
"Holmes County","280","280","278","278","278","278","279","280","277","277","276","278"
"Issaquena County","274","274","273","273","273","273","272","274","274","274","272","273"
"Jefferson County","280","280","279","279","279","279","279","280","280","280","279","279"
"Kemper County","355","354","349","348","348","348","346","346","350","350","349","351"
"Leake County","280","280","280","280","280","280","280","280","280","280","278","278"
"Marion County","280","280","279","279","279","279","280","280","279","279","279","279"
"Stone County","280","280","279","279","279","279","277","276","278","278","278","280"
"Washington County","300","278","278","278","278","277","276","276","272","272","271","282"
"Winston County","280","280","278","277","276","275","278","280","277","277","277","277"
"Yazoo County","300","298","300","300","300","300","295","294","299","299","297","298"
"PRIVATE PRISONS","5000","4322","4318","4317","4315","4309","4305","4299","4304","4304","4302","4,331"
"East Mississippi","1,500","1,190","1,194","1,194","1,194","1,194","1,195","1,197","1,198","1,198","1,198","1,195"
"Marshall County","1,000","998","997","996","996","996","995","992","1,000","1000","1,001","998"
"Walnut Grove","1,500","1,256","1,251","1,251","1,250","1,249","1,245","1,241","1,240","1,240","1,237","1,262"
"Wilkinson County","1,000","878","876","876","875","870","870","869","866","866","866","875"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","13","12","12","12","11"
"Greenwood","6","6","6","6","6","6","6","5","5","5","5","4"
"Hinds","6","5","5","5","5","5","5","5","4","4","4","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TOTALS","24,959","20,965","20,963","20,955","20,947","20,932","20,890","20,900","20,927","20,905","20,881","21,044"
