"Location","Capacity","1-Jun-14","2-Jun-14","3-Jun-14","4-Jun-14","5-Jun-14","6-Jun-14","7-Jun-14","8-Jun-14","9-Jun-14","10-Jun-14","11-Jun-14"
"Mississippi State Penitentiary","4,648","3,283","3,289","3,283","3,313","3,319","3,314","3,312","3,309","3,308","3,308","3,302"
"Central Mississippi Correctional Facility","3,665","2,770","2,750","2,791","2,786","2,791","2,754","2,751","2,751","2,723","2,730","2,709"
"Youthful Offender Unit","42","37","38","40","40","40","40","40","40","40","40","40"
"South Mississippi Correctional Institution","3,282","3,191","3,195","3,189","3,178","3,181","3,172","3,171","3,171","3,171","3,171","3,172"
"County Jails","2,020","1,789","1,763","1,751","1,735","1,699","1,764","1,764","1,764","1,756","1,729","1,732"
"COMMUNITY WORK CENTERS","1,848","1,119","1,142","1,119","1,131","1,130","1,114","1,113","1,112","1,139","1,139","1,147"
"Alcorn Satellite Facility","92","92","92","92","90","88","87","87","87","88","88","90"
"Bolivar Satellite Facility","102","43","43","43","43","44","44","44","44","44","43","43"
"Forrest Satellite Facility","96","51","52","51","52","53","52","52","52","52","52","50"
"George Satellite Facility","102","61","64","61","63","63","63","63","62","60","60","60"
"Harrison Satellite Facility","102","62","61","62","63","62","63","63","63","64","63","62"
"Jackson Satellite Facility","102","56","55","56","51","51","48","48","48","50","50","49"
"Jefferson Satellite Facility","102","45","48","45","48","47","47","47","47","52","52","53"
"Leflore Satellite Facility","102","43","51","43","51","52","51","51","51","56","55","55"
"Madison Satellite Facility","102","50","51","50","52","52","56","56","56","57","57","55"
"Noxubee Satellite Facility","92","68","69","68","66","66","65","65","65","66","66","72"
"Pike Satellite Facility","93","68","71","68","72","72","70","70","70","70","70","70"
"Quitman Satellite Facility","93","66","66","66","65","66","65","65","65","66","69","68"
"Rankin Satellite Facility","260","189","192","189","191","191","187","187","187","190","191","191"
"Simpson Satellite Facility","102","95","96","95","96","96","91","91","91","95","96","99"
"Washington Satellite Facility","102","48","48","48","48","48","48","47","47","48","47","47"
"Wilkinson Satellite Facility","102","40","40","40","37","37","37","37","37","36","35","38"
"Yazoo Satellite Facility","102","42","43","42","43","42","40","40","40","45","45","45"
"REGIONAL CORRECTIONAL FACILITIES","4,560","4,378","4,394","4,378","4,337","4,394","4,386","4,379","4,377","4,389","4,398","4,401"
"Alcorn County","360","298","298","298","301","300","300","299","299","299","298","301"
"Bolivar County","369","367","367","367","369","368","368","367","367","364","366","367"
"Carroll County","280","279","279","279","280","280","280","279","279","279","279","280"
"Chickasaw County","362","299","298","299","300","298","300","300","300","300","300","300"
"George County","280","279","279","279","279","278","278","277","276","278","278","277"
"Holmes County","280","276","280","276","280","280","280","280","280","280","280","278"
"Issaquena County","274","272","274","272","274","273","273","273","273","273","273","273"
"Jefferson County","280","279","279","279","279","280","272","272","272","279","279","279"
"Kemper County","355","349","355","349","355","353","355","354","354","353","353","355"
"Leake County","280","278","278","278","278","278","271","271","271","277","277","277"
"Marion County","280","279","280","279","279","280","280","280","280","280","280","280"
"Stone County","280","278","280","278","280","279","279","279","279","279","280","280"
"Washington County","300","271","271","271","269","268","276","275","275","280","280","280"
"Winston County","280","277","276","277","279","280","277","277","276","276","276","276"
"Yazoo County","300","297","300","297","235","299","297","296","296","292","299","298"
"PRIVATE PRISONS","5000","4302","4306","4302","4300","4289","4290","4287","4286","4290","4295","4298"
"East Mississippi","1,500","1,198","1,199","1,198","1,200","1,195","1,196","1,194","1,193","1,196","1,198","1,198"
"Marshall County","1,000","1001","1001","1,001","998","995","998","998","998","998","998","1,000"
"Walnut Grove","1,500","1,237","1,242","1,237","1,243","1,240","1,238","1,237","1,237","1,237","1,242","1,244"
"Wilkinson County","1,000","866","864","866","859","859","858","858","858","859","857","856"
"RESTITUTION CENTERS","16","12","13","12","14","13","13","13","14","14","13","13"
"Greenwood","6","5","5","5","6","6","6","6","6","6","6","6"
"Hinds","6","4","5","4","5","4","4","4","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","2","2"
"TOTALS","25,081","20,881","20,890","20,865","20,834","20,856","20,847","20,830","20,824","20,830","20,823","20,814"
