"Location","Capacity","1-Sep-14","2-Sep-14","3-Sep-14","4-Sep-14","5-Sep-14","6-Sep-14","7-Sep-14","8-Sep-14","9-Sep-14","10-Sep-14"
"Mississippi State Penitentiary","4,648","3,256","3,276","3,270","3,270","3,272","3,266","3,263","3,284","3,314","3,324"
"Central Mississippi Correctional Facility","3,469","2,427","2,378","2,367","2,374","2,386","2,389","2,389","2,396","2,499","2,370"
"Youthful Offender Unit","58","37","37","39","39","39","39","39","39","39","40"
"CMCF TVC","350","119","118","120","120","120","119","119","107","109","111"
"South Mississippi Correctional Institution","3,282","3,122","3,142","3,145","3,145","3,148","3,147","3,147","3,131","3,127","3,128"
"County Jails","1,973","1,736","1,760","1,782","1,775","1,790","1,790","1,789","1,755","1,837","1,752"
"COMMUNITY WORK CENTERS","1,848","1,180","1,168","1,167","1,167","1,157","1,155","1,154","1,150","963","1,157"
"Alcorn Satellite Facility","92","86","87","87","87","87","87","87","86","84","85"
"Bolivar Satellite Facility","102","55","55","54","54","52","52","52","52","53","53"
"Forrest Satellite Facility","96","57","56","56","56","54","54","54","57","56","56"
"George Satellite Facility","102","62","62","62","62","61","61","61","60","60","63"
"Harrison Satellite Facility","102","51","51","51","51","53","53","53","53","54","54"
"Jackson Satellite Facility","102","52","52","53","53","52","52","52","49","49","48"
"Jefferson Satellite Facility","102","51","51","50","50","49","49","49","51","51","51"
"Leflore Satellite Facility","102","53","50","50","50","50","50","50","49","49","50"
"Madison Satellite Facility","102","55","54","55","55","55","55","55","55","53","53"
"Noxubee Satellite Facility","92","68","66","64","64","68","68","68","68","68","67"
"Pike Satellite Facility","93","88","88","87","87","87","87","87","89","90","90"
"Quitman Satellite Facility","93","58","57","60","60","59","59","58","55","56","55"
"Rankin Satellite Facility","260","190","185","186","186","186","186","186","184","0","188"
"Simpson Satellite Facility","102","102","102","102","102","93","92","92","95","95","99"
"Washington Satellite Facility","102","49","49","48","48","50","50","50","47","47","47"
"Wilkinson Satellite Facility","102","51","51","50","50","50","49","49","48","50","50"
"Yazoo Satellite Facility","102","52","52","52","52","51","51","51","52","48","48"
"REGIONAL CORRECTIONAL FACILITIES","4,500","4,387","4,382","4,365","4,365","4,349","4,349","4,349","4,349","4,351","4,355"
"Alcorn County","300","295","295","297","297","297","297","297","300","298","300"
"Bolivar County","369","366","366","362","362","363","363","363","360","359","363"
"Carroll County","280","277","277","275","275","275","275","275","278","277","280"
"Chickasaw County","362","299","297","300","300","297","297","297","299","299","300"
"George County","280","278","279","278","278","276","276","276","274","278","276"
"Holmes County","280","280","277","278","278","280","280","280","280","279","276"
"Issaquena County","274","274","271","270","270","263","263","263","262","267","267"
"Jefferson County","280","274","273","267","267","268","268","268","267","267","266"
"Kemper County","355","351","354","353","353","354","354","354","354","353","355"
"Leake County","280","279","277","274","274","269","269","268","270","269","268"
"Marion County","280","279","279","280","280","279","279","280","279","281","280"
"Stone County","280","279","279","278","278","279","279","279","279","278","278"
"Washington County","300","282","282","280","280","280","280","280","279","277","277"
"Winston County","280","279","280","279","279","278","278","278","278","279","277"
"Yazoo County","300","295","296","294","294","291","291","291","290","290","292"
"PRIVATE PRISONS","5000","4106","4089","4110","4110","4105","4105","4106","4099","4107","4126"
"East Mississippi","1,500","1,195","1,196","1,198","1,198","1,197","1,197","1,197","1,199","1,199","1,200"
"Marshall County","1,000","1000","999","998","998","997","997","997","996","995","995"
"Walnut Grove","1,500","1,086","1,071","1,086","1,086","1,074","1,074","1,075","1,069","1,079","1,074"
"Wilkinson County","1,000","825","823","828","828","837","837","837","835","834","857"
"RESTITUTION CENTERS","16","6","7","7","7","7","7","7","7","7","6"
"Greenwood","6","4","5","5","5","5","5","5","5","5","4"
"Hinds","6","1","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","1","1","1","1","1","1","1","1","1","1"
"TOTALS","25,144","20,376","20,357","20,372","20,372","20,373","20,366","20,362","20,317","20,353","20,369"
