"Location","Capacity","10-Oct-14","11-Oct-14","12-Oct-14","13-Oct-14","14-Oct-14","15-Oct-14","16-Oct-14","17-Oct-14","18-Oct-14"
"Mississippi State Penitentiary","4,648","3,297","3,292","3,290","3,295","3,297","3,292","3,280","3,273","3,269"
"Central Mississippi Correctional Facility","3,469","2,377","2,404","2,405","2,390","2,359","2,310","2,363","2,359","2,359"
"Youthful Offender Unit","58","34","34","34","32","34","30","34","34","32"
"CMCF TVC","350","113","114","112","108","113","111","86","86","83"
"South Mississippi Correctional Institution","3,282","2,837","2,837","2,838","2,818","2,836","2,849","2,847","2,847","2,847"
"County Jails","1,973","1,526","1,593","1,593","1,591","1,570","1,588","1,573","1,570","1,570"
"COMMUNITY WORK CENTERS","1,848","1,043","1,043","1,039","1,060","1,059","1,056","1,056","1,053","1,051"
"Alcorn Satellite Facility","92","83","83","83","84","84","86","86","90","90"
"Bolivar Satellite Facility","102","48","48","47","47","47","47","47","45","45"
"Forrest Satellite Facility","96","49","49","48","47","46","44","44","46","46"
"George Satellite Facility","102","52","52","52","52","52","52","52","47","47"
"Harrison Satellite Facility","102","41","41","41","44","44","41","41","40","40"
"Jackson Satellite Facility","102","43","43","43","47","47","45","45","42","42"
"Jefferson Satellite Facility","102","47","47","47","51","51","51","51","48","48"
"Leflore Satellite Facility","102","47","47","47","48","48","48","48","52","52"
"Madison Satellite Facility","102","52","52","52","51","51","52","52","49","49"
"Noxubee Satellite Facility","92","67","67","66","67","67","67","67","67","66"
"Pike Satellite Facility","93","81","81","81","83","83","82","82","81","81"
"Quitman Satellite Facility","93","57","57","57","56","57","56","56","58","58"
"Rankin Satellite Facility","260","165","165","164","167","167","167","167","167","166"
"Simpson Satellite Facility","102","91","91","91","95","94","94","94","94","94"
"Washington Satellite Facility","102","42","42","42","41","41","43","43","43","43"
"Wilkinson Satellite Facility","102","40","40","40","40","41","42","42","42","42"
"Yazoo Satellite Facility","102","38","38","38","40","39","39","39","42","42"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,298","4,297","4,296","4,292","4,279","4,298","4,287","4,284","4,279"
"Alcorn County","300","297","296","296","296","294","293","293","299","299"
"Bolivar County","369","363","363","363","362","364","368","368","369","369"
"Carroll County","280","276","276","276","275","275","275","275","275","275"
"Chickasaw County","300","300","300","300","300","300","299","300","300","300"
"George County","280","279","279","279","280","276","272","271","268","268"
"Holmes County","280","270","270","270","270","271","273","273","270","269"
"Issaquena County","274","267","267","267","266","268","268","267","265","264"
"Jefferson County","280","256","256","256","257","259","260","261","259","259"
"Kemper County","355","339","339","339","341","340","344","339","336","336"
"Leake County","280","273","273","273","271","268","270","270","270","270"
"Marion County","280","277","277","277","277","279","280","280","278","278"
"Stone County","280","277","277","277","276","274","277","278","278","278"
"Washington County","300","276","276","276","276","273","280","278","277","277"
"Winston County","280","264","264","263","262","262","263","259","262","261"
"Yazoo County","300","284","284","284","283","276","276","275","278","276"
"PRIVATE PRISONS","5,972","4,200","4,199","4,199","4,220","4,230","4,229","4,234","4,230","4,229"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,187","1,187","1,187","1,191","1,188","1,186","1,185","1,185","1,185"
"Marshall County","1,000","1,000","1,000","1,000","1,000","997","999","998","997","997"
"Walnut Grove","1,500","1,212","1,211","1,211","1,225","1,242","1,237","1,235","1,233","1,233"
"Wilkinson County","1,000","801","801","801","804","803","807","816","815","814"
"RESTITUTION CENTERS","16","5","5","5","4","4","5","5","5","5"
"Greenwood","6","2","2","2","2","2","3","3","3","3"
"Hinds","6","1","1","1","1","1","1","1","1","1"
"Pascagoula","4","2","2","2","1","1","1","1","1","1"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,710","19,730","19,818","19,811","19,810","19,781","19,768","19,765","19,741","19,724"
