"Location","Capacity","28-Jan-15","29-Jan-15","30-Jan-15","31-Jan-15","Avg Population"
"Mississippi State Penitentiary","4,648","3,093","3,104","3,111","3,111","3,102"
"MSP TVC","108","77","76","77","77","76"
"Central Mississippi Correctional Facility","3,469","2,219","2,235","2,205","2,205","2,178"
"Youthful Offender Unit","58","29","28","27","27","35"
"CMCF TVC","158","115","115","118","118","103"
"South Mississippi Correctional Institution 3,282","","2,364","2,341","2,423","2,405","2,511"
"SMCI TVC","0","94","93","93","93","89"
"County Jails","1,973","1,465","1,475","1,472","1,493","1,382"
"COMMUNITY WORK CENTERS","1,848","1,092","1,086","1,071","1,069","1,080"
"Alcorn Satellite Facility","92","59","59","59","59","63"
"Bolivar Satellite Facility","102","56","56","56","56","56"
"Forrest Satellite Facility","96","50","52","46","46","49"
"George Satellite Facility","102","51","51","50","50","49"
"Harrison Satellite Facility","102","48","48","49","49","47"
"Jackson Satellite Facility","102","50","47","46","46","48"
"Jefferson Satellite Facility","102","53","51","51","51","53"
"Leflore Satellite Facility","102","49","47","44","44","51"
"Madison Satellite Facility","102","52","52","50","50","49"
"Noxubee Satellite Facility","92","67","66","65","65","69"
"Pike Satellite Facility","93","89","89","88","88","84"
"Quitman Satellite Facility","93","60","62","63","63","49"
"Rankin Satellite Facility","260","178","176","174","174","176"
"Simpson Satellite Facility","102","95","96","99","99","97"
"Washington Satellite Facility","102","46","46","45","45","50"
"Wilkinson Satellite Facility","102","43","42","40","38","42"
"Yazoo Satellite Facility","102","46","46","46","46","49"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,129","4,138","4,138","4,132","4,145"
"Alcorn County","300","300","300","299","299","298"
"Bolivar County","369","360","364","363","362","359"
"Carroll County","280","259","262","261","261","264"
"Chickasaw County","300","298","298","298","297","299"
"George County","280","250","248","248","248","254"
"Holmes County","280","253","253","253","252","256"
"Issaquena County","274","247","248","254","254","245"
"Jefferson County","280","250","252","252","251","250"
"Kemper County","355","313","318","319","319","321"
"Leake County","280","245","245","242","242","250"
"Marion County","280","271","271","274","274","270"
"Stone County","280","264","267","267","266","272"
"Washington County","300","266","265","265","265","270"
"Winston County","280","270","267","264","263","270"
"Yazoo County","300","283","280","279","279","269"
"PRIVATE PRISONS","5,972","4,192","4,185","4,212","4,208","4,232"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,174","1,178","1,181","1,180","1,172"
"Marshall County","1,000","997","996","996","996","998"
"Walnut Grove","1,500","1,152","1,138","1,143","1,142","1,194"
"Wilkinson County","1,000","869","873","892","890","869"
"RESTITUTION CENTERS","16","9","10","9","9","10"
"Greenwood","6","4","4","4","4","4"
"Hinds","6","3","4","3","3","4"
"Pascagoula","4","2","2","2","2","3"
"TOTALS","25,704","18,878","18,886","18,956","18,947","18,944"
"","","28-Jan-15","29-Jan-15","30-Jan-15","31-Jan-15",""
