"Location","Capacity","28-Jul-15","29-Jul-15","30-Jul-15","31-Jul-15","Avg Population"
"Mississippi State Penitentiary","4,648","3,104","3,104","3,104","3,104","3,117"
"MSP TVC","108","82","82","82","82","91"
"Central Mississippi Correctional Facility","3,469","2,524","2,524","2,524","2,524","2,522"
"Youthful Offender Unit","58","19","19","19","19","21"
"CMCF TVC","158","118","118","118","118","131"
"South Mississippi Correctional Institution","3,282","2,529","2,529","2,529","2,529","2,533"
"SMCI TVC","0","93","93","93","93","96"
"County Jails","2,006","1,146","1,146","1,146","1,146","1,178"
"COMMUNITY WORK CENTERS","1,848","1,136","1,130","1,121","1,121","1,114"
"Alcorn Satellite Facility","92","58","57","57","57","53"
"Bolivar Satellite Facility","102","61","60","60","60","65"
"Forrest Satellite Facility","96","52","51","51","51","52"
"George Satellite Facility","102","50","49","49","49","52"
"Harrison Satellite Facility","102","49","48","48","48","50"
"Jackson Satellite Facility","102","62","61","61","61","59"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Leflore Satellite Facility","102","58","58","57","57","51"
"Madison Satellite Facility","102","75","75","74","74","70"
"Noxubee Satellite Facility","92","72","72","71","71","72"
"Pike Satellite Facility","93","73","73","72","72","74"
"Quitman Satellite Facility","93","72","72","71","71","62"
"Rankin Satellite Facility","260","184","184","184","184","190"
"Simpson Satellite Facility","102","82","82","81","81","78"
"Washington Satellite Facility","102","58","58","57","57","63"
"Wilkinson Satellite Facility","102","55","55","54","54","49"
"Yazoo Satellite Facility","102","75","75","74","74","74"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,285","4,285","4,089","4,282","4,222"
"Alcorn County","300","299","299","298","298","299"
"Bolivar County","369","366","366","366","366","367"
"Carroll County","280","279","279","279","279","270"
"Chickasaw County","300","300","300","300","300","299"
"George County","280","277","277","277","277","266"
"Holmes County","280","272","272","272","271","265"
"Issaquena County","274","266","266","71","265","255"
"Jefferson County","280","280","280","280","280","266"
"Kemper County","355","354","354","354","354","341"
"Leake County","280","263","263","263","263","265"
"Marion County","280","278","278","278","278","276"
"Stone County","280","280","280","280","280","277"
"Washington County","300","209","209","209","209","219"
"Winston County","280","274","274","274","274","269"
"Yazoo County","300","288","288","288","288","289"
"PRIVATE PRISONS","5,972","3,757","3,757","3,757","3,757","3,830"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,129","1,129","1,129","1,129","1,132"
"Marshall County","1,000","993","993","993","993","994"
"Walnut Grove","1,500","888","888","888","888","911"
"Wilkinson County","1,000","747","747","747","747","793"
"RESTITUTION CENTERS","16","14","14","14","14","12"
"Greenwood","6","5","5","5","5","4"
"Hinds","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3"
"TOTALS","25,737","18,807","18,801","18,596","18,789","18,867"
