"Location","Capacity","28-Oct-15","29-Oct-15","30-Oct-15","31-Oct-15","Avg Population"
"Mississippi State Penitentiary","3,590","3,211","3,211","3,210","3,210","3,172"
"MSP TVC","","89","89","88","88","80"
"Central Mississippi Correctional Facility","2,932","2,688","2,688","2,687","2,687","2,631"
"Youthful Offender Unit","58","25","25","24","24","27"
"CMCF TVC","","134","134","133","133","138"
"South Mississippi Correctional Institution 2,882","","2,674","2,674","2,673","2,673","2,696"
"SMCI TVC","","95","95","94","94","94"
"County Jails","2,002","1,266","1,264","1,286","1,287","1,256"
"COMMUNITY WORK CENTERS","1,870","1,136","1,130","1,115","1,110","1,137"
"Alcorn Satellite Facility","92","80","80","79","79","84"
"Bolivar Satellite Facility","102","68","68","67","67","70"
"Forrest Satellite Facility","96","48","48","47","47","49"
"George Satellite Facility","102","49","49","48","48","50"
"Harrison Satellite Facility","102","49","49","48","48","47"
"Jackson Satellite Facility","102","54","54","53","53","51"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Leflore Satellite Facility","102","75","74","73","73","74"
"Madison Satellite Facility","102","65","64","63","62","63"
"Noxubee Satellite Facility","92","70","69","68","67","68"
"Pike Satellite Facility","93","73","72","71","70","77"
"Quitman Satellite Facility","93","65","64","63","62","59"
"Rankin Satellite Facility","260","167","167","167","167","169"
"Simpson Satellite Facility","102","96","95","94","93","96"
"Washington Satellite Facility","102","69","69","68","68","70"
"Wilkinson Satellite Facility","102","50","50","49","49","50"
"Yazoo Satellite Facility","102","58","58","57","57","61"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,684","3,684","3,673","3,673","3,854"
"Alcorn County","300","239","239","238","238","266"
"Bolivar County","369","278","278","277","277","301"
"Carroll County","280","228","228","227","227","231"
"Chickasaw County","300","271","271","270","270","286"
"George County","280","223","223","222","222","234"
"Holmes County","280","257","257","256","256","260"
"Issaquena County","274","241","241","240","240","253"
"Jefferson County","280","241","241","240","240","247"
"Kemper County","355","275","275","274","274","308"
"Leake County","280","236","236","235","235","244"
"Marion County","280","255","255","254","254","253"
"Stone County","280","272","272","272","272","275"
"Washington County","300","189","189","189","189","195"
"Winston County","280","226","226","226","226","245"
"Yazoo County","300","253","253","253","253","256"
"PRIVATE PRISONS","5,972","3,924","3,924","3,924","3,924","3,844"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,110","1,110","1,110","1,110","1,114"
"Marshall County","1,000","998","998","998","998","997"
"Walnut Grove","1,500","921","921","921","921","880"
"Wilkinson County","1,000","895","895","895","895","853"
"RESTITUTION CENTERS","16","11","11","11","11","12"
"Greenwood","6","4","4","4","4","5"
"Hinds","6","6","6","6","6","6"
"Pascagoula","4","1","1","1","1","1"
"TOTALS","23,744","18,937","18,929","18,918","18,914","18,942"
"","","28-Oct-15","29-Oct-15","30-Oct-15","31-Oct-15","Avg Population"
