"Location","Capacity","19-Nov-15","20-Nov-15","21-Nov-15","22-Nov-15","23-Nov-15","24-Nov-15","25-Nov-15","26-Nov-15","27-Nov-15"
"Mississippi State Penitentiary","3,590","3,283","3,282","3,283","3,282","3,278","3,273","3,264","3,262","3,261"
"MSP TVC","","86","85","86","97","97","90","89","89","88"
"Central Mississippi Correctional Facility","2,932","2,692","2,691","2,692","2,656","2,659","2,675","2,676","2,676","2,675"
"Youthful Offender Unit","58","27","27","26","28","28","28","28","28","27"
"CMCF TVC","","117","117","116","113","113","79","105","105","104"
"South Mississippi Correctional Institution 2,882","","2,690","2,690","2,689","2,691","2,691","2,716","2,711","2,711","2,710"
"SMCI TVC","","99","99","98","93","93","89","88","88","87"
"County Jails","1,780","1,200","1,200","1,199","1,198","1,198","1,278","1,282","1,278","1,282"
"COMMUNITY WORK CENTERS","1,848","1,093","1,093","1,088","1,116","1,110","1,095","1,100","1,100","1,087"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","77","77","76","78","78","77","77","77","76"
"Forrest Satellite Facility","96","51","51","50","52","52","48","48","48","47"
"George Satellite Facility","102","52","52","51","55","55","54","53","53","52"
"Harrison Satellite Facility","102","48","48","47","49","49","48","48","48","47"
"Jackson Satellite Facility","102","56","56","55","63","63","62","62","62","61"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","74","74","74","79","79","77","77","77","76"
"Madison Satellite Facility","102","72","72","72","74","74","71","73","73","72"
"Noxubee Satellite Facility","92","75","75","75","76","76","74","74","74","73"
"Pike Satellite Facility","93","66","66","66","67","67","74","75","75","74"
"Quitman Satellite Facility","93","64","64","64","65","64","63","63","63","62"
"Rankin Satellite Facility","260","176","176","176","176","176","175","178","178","178"
"Simpson Satellite Facility","102","97","97","97","94","93","92","92","92","91"
"Washington Satellite Facility","102","75","75","75","76","74","72","72","72","71"
"Wilkinson Satellite Facility","102","49","49","49","50","49","48","48","48","47"
"Yazoo Satellite Facility","102","61","61","61","62","61","60","60","60","60"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,661","3,661","3,661","3,669","3,669","3,673","3,705","3,704","3,704"
"Alcorn County","300","0","0","0","0","0","0","0","0","0"
"Bolivar County","369","315","315","315","317","317","321","319","319","319"
"Carroll County","280","270","270","270","270","270","270","269","269","269"
"Chickasaw County","300","257","257","257","257","257","253","253","253","253"
"George County","280","232","232","232","233","233","241","259","258","258"
"Holmes County","280","272","272","272","274","274","279","277","277","277"
"Issaquena County","274","253","253","253","253","253","250","260","260","260"
"Jefferson County","280","262","262","262","261","261","259","261","261","261"
"Kemper County","355","305","305","305","305","305","314","316","316","316"
"Leake County","280","242","242","242","241","241","236","235","235","235"
"Marion County","280","256","256","256","261","261","260","265","265","265"
"Stone County","280","276","276","276","275","275","274","277","277","277"
"Washington County","300","215","215","215","215","215","214","212","212","212"
"Winston County","280","232","232","232","231","231","234","235","235","235"
"Yazoo County","300","274","274","274","276","276","268","267","267","267"
"PRIVATE PRISONS","5,972","3,910","3,910","3,910","3,912","3,912","3,909","3,898","3,897","3,897"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,116","1,116","1,116","1,120","1,120","1,117","1,116","1,115","1,115"
"Marshall County","1,000","997","997","997","997","997","1,001","1,000","1,000","1,000"
"Walnut Grove","1,500","908","908","908","907","907","903","895","895","895"
"Wilkinson County","1,000","889","889","889","888","888","888","887","887","887"
"RESTITUTION CENTERS","16","12","12","12","12","12","13","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","2","2","2"
"TOTALS","23,516","18,870","18,867","18,860","18,867","18,860","18,918","18,958","18,950","18,934"
