"Location","Capacity","28-Feb-16","29-Feb-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,386","3,385","3,359"
"MSP TVC","","0","0","2"
"Central Mississippi Correctional Facility","2,876","2,804","2,841","2,681"
"Youthful Offender Unit","58","31","30","29"
"CMCF TVC","","2","2","6"
"South Mississippi Correctional Institution","2,882","2,797","2,794","2,796"
"County Jails","1,986","1,540","1,518","1,465"
"COMMUNITY WORK CENTERS","1,950","1,077","1,114","1,049"
"Alcorn Satellite Facility","92","0","0","0"
"Bolivar Satellite Facility","102","30","33","33"
"Forrest Satellite Facility","96","72","72","73"
"George Satellite Facility","102","76","80","72"
"Harrison Satellite Facility","102","66","68","64"
"Jackson Satellite Facility","102","38","40","38"
"Jefferson Satellite Facility","102","0","0","0"
"Leflore Satellite Facility","102","0","0","16"
"Leflore TVC Support","20","21","20","4"
"Leflore TVC","82","23","24","4"
"Madison Satellite Facility","102","91","91","85"
"Noxubee Satellite Facility","92","82","86","84"
"Pike Satellite Facility","93","79","79","85"
"Quitman Satellite Facility","93","87","87","85"
"Rankin Satellite Facility","260","125","153","134"
"Flowood TVC","","24","22","19"
"Simpson TVC and Simpson TVC support","102","88","87","82"
"Washington Satellite Facility","102","79","79","79"
"Wilkinson Satellite Facility","102","60","60","58"
"Yazoo Satellite Facility","102","36","33","34"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,400","3,396","3,603"
"Alcorn County","240","240","240","215"
"Bolivar County","369","293","293","292"
"Carroll County","280","234","234","246"
"Chickasaw County","300","238","238","241"
"George County","280","194","194","227"
"Holmes County","280","200","200","225"
"Issaquena County","274","240","240","243"
"Jefferson County","280","239","238","244"
"Kemper County","355","257","256","278"
"Leake County","280","199","199","226"
"Marion County","280","199","199","231"
"Stone County","280","198","198","231"
"Washington County","300","232","231","234"
"Winston County","280","199","199","221"
"Yazoo County","300","238","237","249"
"PRIVATE PRISONS","5,972","3,941","3,937","3,926"
"Delta","972","0","0","0"
"East Mississippi","1,500","1,132","1,130","1,137"
"Marshall County","1,000","996","995","990"
"Walnut Grove","1,500","934","933","922"
"Wilkinson County","1,000","879","879","877"
"RESTITUTION CENTERS","16","10","12","9"
"Greenwood","6","4","5","3"
"Hinds","6","4","5","4"
"Pascagoula","4","2","2","2"
"TOTALS","23,606","18,988","19,029","18,925"
"","","28-Feb-16","29-Feb-16","Avg Population"
