"Location","Capacity","1-Mar-16","2-Mar-16","3-Mar-16","4-Mar-16","5-Mar-16","6-Mar-16","7-Mar-16","8-Mar-16","9-Mar-16"
"Mississippi State Penitentiary","3,590","3,390","3,388","3,375","3,374","3,374","3,374","3,390","3,382","3,379"
"Central Mississippi Correctional Facility","3,506","2,838","2,863","2,818","2,847","2,849","2,850","2,851","2,834","2,852"
"Youthful Offender Unit","58","30","30","30","30","30","30","30","30","30"
"CMCF TVC","","5","5","5","6","6","6","6","6","6"
"South Mississippi Correctional Institution","3,082","2,799","2,802","2,803","2,798","2,802","2,803","2,807","2,796","2,796"
"County Jails","1,986","1,517","1,524","1,541","1,533","1,533","1,533","1,560","1,561","1,555"
"COMMUNITY WORK CENTERS","1,848","1,140","1,141","1,173","1,163","1,159","1,158","1,168","1,173","1,172"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","33","33","33","33","33","33","33","33","33"
"Forrest Satellite Facility","96","72","75","74","69","68","68","72","73","73"
"George Satellite Facility","102","81","82","82","81","81","81","81","79","81"
"Harrison Satellite Facility","102","68","69","69","73","73","73","74","74","75"
"Jackson Satellite Facility","102","40","39","39","39","36","36","39","39","39"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC Support","20","20","20","22","21","21","21","20","20","20"
"Lefore TVC","82","24","23","44","45","45","45","45","46","46"
"Madison Satellite Facility","102","101","101","101","95","95","95","96","96","96"
"Noxubee Satellite Facility","92","88","88","92","90","90","90","92","92","92"
"Pike Satellite Facility","93","83","83","83","81","81","81","83","84","83"
"Quitman Satellite Facility","93","86","84","86","86","86","86","85","89","90"
"Rankin Satellite Facility","260","177","177","179","177","177","177","176","176","174"
"Flowood TVC","","22","22","22","27","27","27","26","26","25"
"Simpson TVC support","20","8","8","8","8","8","8","8","8","8"
"Simpson TVC","82","78","77","78","76","76","75","74","74","73"
"Washington Satellite Facility","102","79","83","88","94","94","94","94","94","95"
"Wilkinson Satellite Facility","102","64","63","61","68","68","68","70","70","69"
"Yazoo Satellite Facility","102","16","14","12","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,418","3,406","3,414","3,405","3,405","3,402","3,411","3,424","3,422"
"Alcorn County","240","239","239","239","239","239","239","239","238","238"
"Bolivar County","369","295","293","294","293","293","293","295","294","293"
"Carroll County","280","240","240","239","238","239","239","240","240","241"
"Chickasaw County","300","238","237","240","240","239","239","239","239","238"
"George County","280","199","199","200","198","198","198","197","200","200"
"Holmes County","280","196","196","199","199","199","199","200","199","200"
"Issaquena County","274","239","237","237","235","235","235","238","238","237"
"Jefferson County","280","238","236","235","239","239","239","236","239","240"
"Kemper County","355","256","255","255","254","254","252","253","259","259"
"Leake County","280","200","199","199","198","198","197","198","200","200"
"Marion County","280","198","198","200","200","200","200","200","200","200"
"Stone County","280","200","201","201","200","200","200","199","199","200"
"Washington County","300","240","238","238","238","238","238","238","241","241"
"Winston County","280","200","200","200","194","194","194","199","198","198"
"Yazoo County","300","240","238","238","240","240","240","240","240","237"
"PRIVATE PRISONS","5,972","3,937","3,936","3,950","3,942","3,940","3,938","3,935","3,948","3,954"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,131","1,132","1,131","1,130","1,130","1,128","1,127","1,127","1,132"
"Marshall County","1,000","995","994","998","997","997","997","997","996","999"
"Walnut Grove","1,500","933","932","932","929","929","929","927","931","930"
"Wilkinson County","1,000","878","878","889","886","884","884","884","894","893"
"RESTITUTION CENTERS","16","12","12","12","14","14","14","14","14","13"
"Greenwood","6","5","5","5","6","6","6","6","6","5"
"Hinds","6","5","5","5","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","24,436","19,086","19,107","19,121","19,112","19,112","19,108","19,172","19,168","19,179"
