"Location","Capacity","10-Apr-16","11-Apr-16","12-Apr-16","13-Apr-16","14-Apr-16","15-Apr-16","16-Apr-16","17-Apr-16","18-Apr-16"
"Mississippi State Penitentiary","3,590","3,353","3,350","3,350","3,350","3,350","3,350","3,350","3,350","3,349"
"Central Mississippi Correctional Facility","3,506","2,828","2,818","2,818","2,818","2,818","2,818","2,818","2,818","2,817"
"Youthful Offender Unit","58","32","31","31","31","31","31","31","31","30"
"CMCF TVC","","5","1","1","1","1","1","1","1","0"
"South Mississippi Correctional Institution","3,082","2,961","2,971","2,971","2,971","2,971","2,971","2,971","2,971","2,970"
"County Jails","1,986","1,452","1,470","1,465","1,492","1,471","1,476","1,476","1,476","1,475"
"COMMUNITY WORK CENTERS","1,848","1,187","1,201","1,201","1,201","1,201","1,201","1,201","1,201","1,195"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","30","31","31","31","31","31","31","31","30"
"Forrest Satellite Facility","96","75","81","81","81","81","81","81","81","80"
"George Satellite Facility","102","82","87","87","87","87","87","87","87","86"
"Harrison Satellite Facility","102","76","84","84","84","84","84","84","84","83"
"Jackson Satellite Facility","102","42","23","23","23","23","23","23","23","22"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Lefore TVC Support","20","75","0","0","0","0","0","0","0","0"
"Lefore TVC","82","20","76","76","76","76","76","76","76","75"
"Madison Satellite Facility","102","93","90","90","90","90","90","90","90","90"
"Noxubee Satellite Facility","92","88","88","88","88","88","88","88","88","88"
"Pike Satellite Facility","93","85","85","85","85","85","85","85","85","85"
"Quitman Satellite Facility","93","87","91","91","91","91","91","91","91","91"
"Rankin Satellite Facility","260","170","174","174","174","174","174","174","174","174"
"Flowood TVC","","27","32","32","32","32","32","32","32","32"
"Simpson TVC support","20","5","85","85","85","85","85","85","85","85"
"Simpson TVC","82","73","6","6","6","6","6","6","6","6"
"Washington Satellite Facility","102","89","97","97","97","97","97","97","97","97"
"Wilkinson Satellite Facility","102","70","71","71","71","71","71","71","71","71"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,410","3,404","3,404","3,413","3,409","3,409","3,406","3,400","3,400"
"Alcorn County","240","236","240","240","240","240","240","240","240","240"
"Bolivar County","369","292","289","289","290","290","290","290","290","290"
"Carroll County","280","239","238","238","239","239","239","239","239","239"
"Chickasaw County","300","242","239","239","240","240","240","240","240","240"
"George County","280","200","199","199","200","200","200","200","199","199"
"Holmes County","280","199","199","199","200","200","200","200","199","199"
"Issaquena County","274","240","239","239","240","240","240","240","239","239"
"Jefferson County","280","240","240","240","241","241","241","241","240","240"
"Kemper County","355","259","258","258","259","259","259","259","258","258"
"Leake County","280","197","198","198","199","199","199","199","198","198"
"Marion County","280","201","202","202","202","201","201","201","201","201"
"Stone County","280","199","200","200","200","199","199","198","198","198"
"Washington County","300","233","231","231","231","231","231","231","231","231"
"Winston County","280","196","194","194","194","193","193","192","192","192"
"Yazoo County","300","237","238","238","238","237","237","236","236","236"
"PRIVATE PRISONS","5,972","3,932","3,921","3,925","3,925","3,920","3,921","3,918","3,918","3,918"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,120","1,112","1,113","1,113","1,112","1,112","1,111","1,111","1,111"
"Marshall County","1,000","992","994","995","995","994","994","993","993","993"
"Walnut Grove","1,500","929","919","920","920","919","919","918","918","918"
"Wilkinson County","1,000","891","896","897","897","895","896","896","896","896"
"RESTITUTION CENTERS","16","19","11","11","11","6","6","6","6","6"
"Greenwood","6","6","4","4","4","3","3","3","3","3"
"Hinds","6","9","5","5","5","3","3","3","3","3"
"Pascagoula","4","4","2","2","2","0","0","0","0","0"
"TOTALS","24,436","19,179","19,178","19,177","19,213","19,178","19,184","19,178","19,172","19,160"
"","","10-Apr-16","11-Apr-16","12-Apr-16","13-Apr-16","14-Apr-16","15-Apr-16","16-Apr-16","17-Apr-16","18-Apr-16"
