"Location","Capacity","19-Jul-16","20-Jul-16","21-Jul-16","Location","Capacity","22-Jul-16","23-Jul-16","24-Jul-16","25-Jul-16"
"Mississippi State Penitentiary","3,590","3,392","3,388","3,400","Mississippi State Penitentiary","3,590","3,394","3,394","3,393","3,396"
"Central Mississippi Correctional Facility","3,506","3,217","3,238","3,220","Central Mississippi Correctional Facility","3,506","3,205","3,208","3,209","3,230"
"Youthful Offender Unit","58","32","32","31","Youthful Offender Unit","58","32","31","31","30"
"CMCF TVC","","11","11","11","CMCF TVC","","21","21","21","21"
"South Mississippi Correctional Institution","3,082","3,004","2,999","2,997","South Mississippi Correctional Institution","3,082","2,990","2,987","2,984","2,977"
"County Jails","1,986","1,481","1,507","1,507","County Jails","1,781","1,487","1,487","1,487","1,481"
"COMMUNITY WORK CENTERS","1,848","1,071","1,069","1,072","COMMUNITY WORK CENTERS","1,848","1,081","1,081","1,079","1,078"
"Alcorn Satellite Facility","92","0","0","0","Alcorn Satellite Facility","92","0","0","0","0"
"Bolivar Satellite Facility","102","0","0","0","Bolivar Satellite Facility","102","0","0","0","0"
"Forrest Satellite Facility","96","76","75","75","Forrest Satellite Facility","96","73","73","73","73"
"George Satellite Facility","102","81","80","81","George Satellite Facility","102","80","80","80","80"
"Harrison Satellite Facility","102","68","68","67","Harrison Satellite Facility","102","67","67","67","67"
"Jackson Satellite Facility","102","0","0","0","Jackson Satellite Facility","102","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","Jefferson Satellite Facility","102","0","0","0","0"
"Leflore TVC","82","56","56","55","Leflore TVC","82","65","65","64","63"
"Leflore TVC Support","20","19","19","19","Leflore TVC Support","20","19","19","19","19"
"Madison Satellite Facility","102","94","94","93","Madison Satellite Facility","102","92","92","92","91"
"Noxubee Satellite Facility","92","83","83","83","Noxubee Satellite Facility","92","78","78","78","83"
"Pike Satellite Facility","93","90","88","89","Pike Satellite Facility","93","89","89","89","90"
"Quitman Satellite Facility","93","87","86","84","Quitman Satellite Facility","93","84","84","84","84"
"Rankin Satellite Facility","260","165","164","164","Rankin Satellite Facility","260","160","160","160","162"
"Flowood TVC","","25","25","25","Flowood TVC","","30","30","30","28"
"Simpson TVC","82","56","56","56","Simpson TVC","82","64","64","64","60"
"Simpson TVC Support","20","15","15","15","Simpson TVC Support","20","15","15","15","15"
"Washington Satellite Facility","102","89","93","93","Washington Satellite Facility","102","92","92","91","91"
"Wilkinson Satellite Facility","102","67","67","73","Wilkinson Satellite Facility","102","73","73","73","72"
"Yazoo Satellite Facility","102","0","0","0","Yazoo Satellite Facility","102","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,504","3,501","3,503","REGIONAL CORRECTIONAL FACILITIES","4,378","3,503","3,503","3,502","3,506"
"Alcorn County","240","240","240","240","Alcorn County","240","239","239","239","239"
"Bolivar County","369","294","294","291","Bolivar County","369","292","292","292","292"
"Carroll County","280","238","240","239","Carroll County","280","240","240","239","239"
"Chickasaw County","300","240","240","240","Chickasaw County","300","240","240","240","240"
"George County","280","199","197","197","George County","280","197","197","197","199"
"Holmes County","280","200","200","200","Holmes County","280","199","199","199","198"
"Issaquena County","274","270","270","270","Issaquena County","274","270","270","270","268"
"Jefferson County","280","271","270","267","Jefferson County","280","266","266","266","268"
"Kemper County","355","259","259","259","Kemper County","355","260","260","260","260"
"Leake County","280","199","199","200","Leake County","280","200","200","200","199"
"Marion County","280","199","198","199","Marion County","280","199","199","199","200"
"Stone County","280","239","239","240","Stone County","280","240","240","240","240"
"Washington County","300","219","219","224","Washington County","300","224","224","224","224"
"Winston County","280","198","197","199","Winston County","280","200","200","200","200"
"Yazoo County","300","239","239","238","Yazoo County","300","237","237","237","240"
"PRIVATE PRISONS","5,972","3,848","3,841","3,849","PRIVATE PRISONS","5,972","3,847","3,847","3,847","3,843"
"Delta","972","0","0","0","Delta","972","0","0","0","0"
"East Mississippi","1,500","1,151","1,152","1,159","East Mississippi","1,500","1,161","1,161","1,161","1,161"
"Marshall County","1,000","1,000","995","1,000","Marshall County","1,000","999","999","999","997"
"Walnut Grove","1,500","811","808","793","Walnut Grove","1,500","791","791","791","789"
"Wilkinson County","1,000","886","886","897","Wilkinson County","1,000","896","896","896","896"
"RESTITUTION CENTERS","16","15","15","14","RESTITUTION CENTERS","16","11","11","11","13"
"Greenwood","6","4","4","4","Greenwood","6","4","4","4","4"
"Hinds","6","6","6","6","Hinds","6","4","4","4","5"
"Pascagoula","4","5","5","4","Pascagoula","4","3","3","3","4"
"TOTALS","24,436","19,575","19,601","19,604","TOTALS","24,231","19,571","19,570","19,564","19,575"
"","","19-Jul-16","20-Jul-16","21-Jul-16","","","22-Jul-16","23-Jul-16","24-Jul-16","25-Jul-16"
