"Location","Capacity","11-Nov-16","12-Nov-16","13-Nov-16","14-Nov-16","15-Nov-16","16-Nov-16"
"Mississippi State Penitentiary","3590","3270","3270","3,269","3279","3298","3290"
"Central Mississippi Correctional Facility","3,858","3,296","3,295","3,296","3,256","3,259","3,276"
"Youthful Offender Unit","58","32","32","32","31","31","31"
"CMCF TVC","","25","25","25","23","23","22"
"South Mississippi Correctional Institution","3,082","2,941","2,944","2,944","2,957","2,960","2,960"
"County Jails","1,781","1,250","1,250","1,250","1,229","1,243","1,202"
"COMMUNITY WORK CENTERS","1,348","923","920","913","948","938","934"
"Alcorn Satellite Facility","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","62","62","60","67","67","66"
"George Satellite Facility","102","77","77","77","81","80","79"
"Harrison Satellite Facility","102","49","49","49","50","49","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0"
"Leflore TVC","82","70","67","67","67","62","61"
"Leflore TVC Support","20","14","14","14","14","14","14"
"Madison Satellite Facility","102","70","70","70","75","75","74"
"Noxubee Satellite Facility","92","63","63","63","67","65","70"
"Pike Satellite Facility","93","89","89","88","88","85","84"
"Quitman Satellite Facility","93","57","57","56","56","56","57"
"Rankin Satellite Facility","182","142","142","142","147","151","151"
"Rankin RID","28","4","4","4","3","3","3"
"Flowood TVC","50","23","23","21","23","22","22"
"Simpson TVC","82","60","60","59","66","66","65"
"Simpson TVC Support","20","13","13","13","13","13","13"
"Washington Satellite Facility","102","63","63","63","64","64","62"
"Wilkinson Satellite Facility","102","67","67","67","67","66","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,214","4,214","4,212","4,211","4,201","4,203"
"Alcorn County","300","300","300","300","299","299","300"
"Bolivar County","369","294","294","294","294","290","293"
"Carroll County","280","269","269","269","269","268","269"
"Chickasaw County","300","310","310","310","309","309","310"
"George County","280","279","279","278","278","278","275"
"Holmes County","280","279","279","279","279","278","280"
"Issaquena County","274","272","272","272","272","270","272"
"Jefferson County","280","279","279","279","278","278","277"
"Kemper County","355","344","344","344","344","342","341"
"Leake County","280","191","191","191","197","194","192"
"Marion County","280","280","280","280","281","279","278"
"Stone County","280","328","328","327","327","325","325"
"Washington County","300","222","222","222","220","219","219"
"Winston County","280","277","277","277","276","278","279"
"Yazoo County","300","290","290","290","288","294","293"
"PRIVATE PRISONS","5,972","3,053","3,052","3,051","3,052","3,053","3,057"
"Delta","972","0","0","0","0","0","0"
"East Mississippi","1,500","1,160","1,159","1,159","1,160","1,160","1,160"
"Marshall County","1,000","997","997","996","996","994","998"
"Walnut Grove","1,500","0","0","0","0","0","0"
"Wilkinson County","1,000","896","896","896","896","899","899"
"RESTITUTION CENTERS","16","12","12","12","12","12","12"
"Greenwood","6","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5"
"Pascagoula","4","2","2","2","2","2","2"
"TOTALS","24,143","19,016","19,014","19,004","18,998","19,018","18,987"
"","","11-Nov-16","12-Nov-16","13-Nov-16","14-Nov-16","15-Nov-16","16-Nov-16"
