"Location","Capacity","1-Feb-17","2-Feb-17","3-Feb-17","4-Feb-17","5-Feb-17","6-Feb-17","7-Feb-17","8-Feb-17","9-Feb-17","10-Feb-17"
"Mississippi State Penitentiary","3590","3378","3382","3371","3367","3367","3376","3365","3368","3361","3368"
"Central Mississippi Correctional Facility3,882","","3,398","3,385","3,357","3,365","3,365","3,400","3,436","3,401","3,420","3,380"
"Youthful Offender Unit","58","25","26","25","25","25","25","25","25","25","26"
"CMCF TVC","","10","11","7","7","7","6","6","6","6","3"
"South Mississippi Correctional Institution3,082","","3,062","3,067","3,063","3,062","3,062","3,059","3,059","3,062","3,067","3,069"
"County Jails","1,781","1,260","1,318","1,321","1,321","1,321","1,287","1,269","1,320","1,332","1,360"
"COMMUNITY WORK CENTERS","1,348","931","931","940","931","931","951","945","945","940","955"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","61","63","57","57","57","62","61","64","63","59"
"George Satellite Facility","102","70","69","66","66","66","71","71","71","71","69"
"Harrison Satellite Facility","102","53","53","52","52","52","52","52","61","60","59"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","57","57","63","59","59","59","58","57","58","68"
"Leflore TVC Support","20","7","7","6","6","6","6","5","5","5","5"
"Madison Satellite Facility","102","68","74","75","75","75","75","75","74","73","76"
"Noxubee Satellite Facility","92","86","86","86","86","86","88","88","88","89","88"
"Pike Satellite Facility","93","86","86","86","86","86","87","88","79","79","78"
"Quitman Satellite Facility","93","63","63","66","65","65","65","65","64","65","62"
"Rankin Satellite Facility","182","163","162","161","160","160","163","162","164","165","163"
"Rankin RID","28","2","2","2","2","2","2","2","2","2","2"
"Flowood TVC","50","17","17","24","24","24","24","23","22","22","26"
"Simpson TVC","82","44","43","51","49","49","47","46","48","44","57"
"Simpson TVC Support","20","17","17","17","16","16","16","15","14","13","13"
"Washington Satellite Facility","102","72","67","67","67","67","68","68","68","68","68"
"Wilkinson Satellite Facility","102","65","65","61","61","61","66","66","64","63","62"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES4,494","","3,768","3,779","3,777","3,775","3,775","3,772","3,764","3,785","3,765","3,768"
"Alcorn County","300","240","238","238","237","237","237","237","240","240","240"
"Bolivar County","369","291","293","293","293","293","293","292","293","291","294"
"Carroll County","280","224","224","224","224","224","224","224","224","224","224"
"Chickasaw County","310","248","248","248","248","248","248","247","248","247","247"
"George County","280","221","224","223","223","223","223","221","224","221","221"
"Holmes County","280","221","222","222","222","222","224","223","223","222","224"
"Issaquena County","274","273","273","274","274","274","274","274","274","274","274"
"Jefferson County","280","277","280","280","279","279","279","279","279","278","278"
"Kemper County","355","348","352","352","352","352","348","346","352","346","348"
"Leake County","280","199","196","199","199","199","198","198","198","199","199"
"Marion County","280","250","248","247","247","247","247","246","246","245","244"
"Stone County","326","304","303","302","302","302","302","302","301","301","301"
"Washington County","300","217","215","211","211","211","211","211","218","214","214"
"Winston County","280","217","223","224","224","224","224","224","224","222","219"
"Yazoo County","300","238","240","240","240","240","240","240","241","241","241"
"PRIVATE PRISONS","5,972","3,078","3,078","3,079","3,077","3,077","3,076","3,076","3,073","3,070","3,071"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,181","1,181","1,180","1,180","1,180","1,180","1,179","1,178","1,176","1,176"
"Marshall County","1,000","1,000","999","1,000","999","999","998","999","998","998","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","897","898","899","898","898","898","898","897","896","896"
"RESTITUTION CENTERS","16","14","14","14","14","14","11","11","11","11","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","4","4","4","4","6"
"Pascagoula","4","4","4","4","4","4","3","3","3","3","3"
"TOTALS","24,223","18,924","18,991","18,954","18,944","18,944","18,963","18,956","18,996","18,997","19,013"
