"Location","Capacity","11-Jun-17","12-Jun-17","13-Jun-17","14-Jun-17","15-Jun-17","16-Jun-17","17-Jun-17","18-Jun-17","19-Jun-17","20-Jun-17","21-Jun-17"
"Mississippi State Penitentiary","3590","3296","3311","3,331","3334","3329","3329","3328","3327","3349","3348","3364"
"Central Mississippi Correctional Facility","3,710","3,315","3,339","3,337","3,324","3,364","3,354","3,352","3,350","3,391","3,416","3,380"
"Youthful Offender Unit","58","32","32","32","31","31","31","31","31","31","31","31"
"CMCF TVC","","7","8","8","8","7","13","13","13","31","8","9"
"South Mississippi Correctional Institution","3,082","2,998","2,998","3,012","3,005","3,007","3,002","3,001","3,001","2,985","2,979","2,996"
"County Jails","1,781","1,388","1,360","1,349","1,371","1,362","1,347","1,347","1,347","1,356","1,330","1,357"
"COMMUNITY WORK CENTERS","1,348","950","961","950","946","939","927","927","926","941","939","930"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","66","67","69","67","67","62","62","62","65","65","65"
"George Satellite Facility","102","82","85","84","84","84","81","81","81","83","84","83"
"Harrison Satellite Facility","102","63","63","63","61","60","61","61","61","61","61","61"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","71","73","66","67","64","63","63","63","63","61","58"
"Leflore TVC Support","20","13","13","13","13","14","14","14","14","13","13","13"
"Madison Satellite Facility","102","62","62","58","57","57","56","56","56","57","57","57"
"Noxubee Satellite Facility","92","51","54","54","52","52","49","49","49","51","51","51"
"Pike Satellite Facility","93","77","77","81","86","83","79","79","79","83","82","82"
"Quitman Satellite Facility","93","59","59","59","59","59","57","57","57","57","58","57"
"Rankin Satellite Facility","182","170","174","173","174","174","170","170","170","172","172","171"
"Rankin RID","28","9","7","7","7","7","7","7","7","7","7","7"
"Flowood TVC","50","24","24","24","21","21","21","21","21","23","24","22"
"Simpson TVC","82","77","77","73","72","71","80","80","79","80","79","75"
"Simpson TVC Support","20","12","12","12","12","12","12","12","12","12","12","12"
"Washington Satellite Facility","102","59","59","59","59","59","56","56","56","55","55","58"
"Wilkinson Satellite Facility","102","55","55","55","55","55","59","59","59","59","58","58"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,796","3,783","3,781","3,755","3,748","3,763","3,761","3,761","3,769","3,767","3,771"
"Alcorn County","300","240","240","240","240","240","240","240","240","240","240","240"
"Bolivar County","369","293","293","293","290","292","292","292","292","292","292","294"
"Carroll County","280","252","242","242","242","242","242","242","242","242","240","240"
"Chickasaw County","310","286","286","286","283","283","282","282","282","281","279","278"
"George County","280","225","225","223","221","220","223","223","223","226","225","225"
"Holmes County","280","224","223","224","223","223","223","223","223","222","221","223"
"Issaquena County","274","274","274","274","273","272","271","271","271","271","272","272"
"Jefferson County","280","279","278","279","277","276","273","272","272","276","271","279"
"Kemper County","355","351","351","351","347","347","350","350","350","352","351","349"
"Leake County","280","198","198","198","196","193","200","199","199","198","197","199"
"Marion County","280","224","224","224","223","220","223","223","223","224","224","224"
"Stone County","326","262","261","261","261","262","262","262","262","262","261","261"
"Washington County","300","226","226","226","221","221","221","221","221","221","239","239"
"Winston County","280","223","223","221","220","219","222","222","222","222","220","218"
"Yazoo County","300","239","239","239","238","238","239","239","239","240","235","230"
"PRIVATE PRISONS","5,972","3,038","3,038","3,038","3,037","3,036","3,041","3,039","3,039","3,035","3,032","3,030"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,174","1,173","1,173","1,171","1,171","1,170","1,169","1,169","1,164","1,163","1,162"
"Marshall County","1,000","995","996","996","994","994","1,000","1,000","1,000","1,000","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","869","869","869","872","871","871","870","870","871","870","869"
"RESTITUTION CENTERS","16","11","12","12","12","12","12","12","12","14","14","14"
"Greenwood","6","5","5","5","5","5","4","4","4","5","5","5"
"Hinds","6","3","4","4","4","4","5","5","5","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","47","45","52","51","43","40","39","39","39","40","40"
"Madison","40","8","6","7","7","7","5","5","5","5","5","5"
"Noxubee","34","22","22","28","28","27","27","27","27","27","27","27"
"Rankin/Flowood","8","5","5","5","5","5","5","5","5","5","5","5"
"Washington","42","10","10","10","10","3","2","1","1","1","1","1"
"Wilkinson","40","2","2","2","1","1","1","1","1","1","2","2"
"TOTALS","24,215","18,878","18,887","18,902","18,874","18,878","18,859","18,850","18,846","18,941","18,904","18,922"
"","","11-Jun-17","12-Jun-17","13-Jun-17","14-Jun-17","15-Jun-17","16-Jun-17","17-Jun-17","18-Jun-17","19-Jun-17","20-Jun-17","21-Jun-17"
