"Location","Capacity 1-Nov-18","","2-Nov-18","3-Nov-18","4-Nov-18","5-Nov-18","6-Nov-18","7-Nov-18","8-Nov-18","9-Nov-18","10-Nov-18","11-Nov-18","12-Nov-18","13-Nov-18","14-Nov-18","15-Nov-18","16-Nov-18","17-Nov-18","18-Nov-18","19-Nov-18"
"Mississippi State Penitentiary","3,560","3,274","3,277","3,273","3,273","3,270","3,264","3,271","3,261","3,271","3,270","3,270","3,270","3,270","3,264","3,273","3,269","3,267","3,266","3,258"
"Central Mississippi Correctional Facility","4,131","3,850","3,828","3,827","3,828","3,838","3,850","3,839","3,816","3,841","3,842","3,838","3,842","3,842","3,895","3,876","3,881","3,881","3,880","3,913"
"Youthful Offender Unit","58","35","41","41","41","42","42","42","42","42","42","42","40","40","40","40","40","40","39","39"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,039","3,058","3,057","3,057","3,042","3,051","3,018","3,052","3,049","3,050","3,049","3,048","3,048","3,043","3,050","3,052","3,052","3,050","3,041"
"County Jails","1,781","1,375","1,346","1,346","1,346","1,332","1,314","1,313","1,313","1,284","1,284","1,284","1,288","1,288","1,264","1,233","1,253","1,253","1,253","1,232"
"COMMUNITY WORK CENTERS","1,512","1,072","1,063","1,064","1,061","1,074","1,069","1,052","1,050","1,037","1,034","1,029","1,027","1,029","1,024","1,020","1,017","1,014","1,010","1,012"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","76","74","74","74","73","75","78","75","72","72","72","73","75","74","74","72","72","72","72"
"Delta TVC","300","300","297","296","293","309","308","285","284","282","280","275","270","270","269","265","263","260","257","263"
"Forrest Satellite Facility","96","62","61","61","62","61","59","59","59","59","59","59","59","59","59","60","60","60","60","59"
"George Satellite Facility","102","72","72","72","72","72","71","73","73","70","69","69","72","71","71","72","72","72","72","72"
"Harrison Satellite Facility","102","52","52","52","52","52","52","62","52","52","52","52","52","53","53","54","54","54","54","54"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","68","70","70","70","70","68","68","70","71","71","71","72","70","70","70","71","71","71","72"
"Noxubee Satellite Facility","58","39","38","38","38","39","39","36","36","36","36","36","36","37","37","37","37","37","37","37"
"Pike Satellite Facility","93","70","69","69","69","67","67","65","65","64","64","64","64","65","65","64","66","66","66","66"
"Quitman Satellite Facility","93","63","63","63","63","62","62","62","62","62","62","62","62","62","60","60","60","60","60","58"
"Rankin Satellite Facility","178","159","156","156","155","157","157","157","161","158","158","159","161","161","161","160","160","160","160","158"
"Rankin RID","28","21","21","21","22","22","22","22","22","22","22","22","22","22","21","20","19","19","19","19"
"Flowood TVC","50","38","38","40","39","38","38","34","34","33","33","32","28","28","28","28","27","27","26","26"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","52","52","52","52","52","51","51","57","56","56","56","56","56","56","56","56","56","56","56"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,694","3,719","3,719","3,719","3,708","3,691","3,728","3,731","3,725","3,725","3,725","3,723","3,723","3,707","3,711","3,716","3,713","3,713","3,707"
"Alcorn County","300","239","240","240","240","239","238","240","240","240","240","240","240","240","240","240","239","239","239","240"
"Bolivar County","369","293","293","293","293","293","292","291","291","290","290","290","290","290","288","288","291","290","290","290"
"Carroll County","280","268","268","268","268","268","266","266","266","266","266","266","266","266","265","263","262","262","262","266"
"Chickasaw County","310","238","240","240","240","240","240","239","239","240","240","240","240","240","239","239","240","240","240","240"
"George County","342","193","196","196","196","194","193","204","200","200","200","200","199","199","198","201","201","201","201","201"
"Holmes County","280","200","200","200","200","200","200","200","200","199","199","199","199","199","200","199","199","198","198","198"
"Issaquena County","274","266","270","270","270","270","268","268","268","268","268","268","267","267","270","270","270","270","270","270"
"Jefferson County","280","269","268","268","268","267","265","269","269","269","269","269","269","269","268","269","269","269","269","269"
"Kemper County","355","252","260","260","260","260","258","260","260","257","257","257","257","257","256","259","259","259","259","259"
"Leake County","280","266","268","268","268","267","264","270","270","270","270","270","270","270","263","264","268","268","268","268"
"Marion County","280","270","270","270","270","268","268","258","267","266","266","266","266","266","268","270","270","270","270","270"
"Stone County","326","246","246","246","246","244","244","266","265","265","265","265","265","265","265","265","265","265","265","265"
"Washington County","300","191","191","191","191","190","189","189","188","187","187","187","187","187","185","182","181","181","181","172"
"Winston County","280","264","270","270","270","270","269","268","268","268","268","268","268","268","266","265","265","264","264","263"
"Yazoo County","300","239","239","239","239","238","237","240","240","240","240","240","240","240","236","237","237","237","237","236"
"PRIVATE PRISONS","5,472","3,190","3,184","3,183","3,182","3,180","3,170","3,169","3,168","3,168","3,167","3,165","3,165","3,165","3,163","3,180","3,186","3,186","3,185","3,180"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,270","1,265","1,264","1,264","1,259","1,255","1,255","1,253","1,252","1,251","1,249","1,249","1,249","1,249","1,264","1,263","1,263","1,262","1,259"
"Marshall County","1,000","996","996","996","995","999","997","996","999","999","999","999","999","998","997","999","999","998","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","924","923","923","923","922","918","918","916","917","917","917","917","918","917","917","924","925","925","924"
"RESTITUTION CENTERS","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"TRANSITIONAL HOUSING","122","38","38","38","38","38","38","42","42","41","41","40","41","39","39","39","39","39","39","41"
"Madison","40","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3"
"Noxubee","34","30","30","30","30","30","30","32","32","32","32","31","32","30","30","30","30","30","30","30"
"Rankin/Flowood","8","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","6","6","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,284","19,577","19,564","19,558","19,555","19,534","19,499","19,484","19,485","19,468","19,465","19,452","19,454","19,454","19,449","19,432","19,463","19,455","19,445","19,433"
