"Location","Capacity","1-Mar-19","","2-Mar-19","3-Mar-19","4-Mar-19","5-Mar-19","6-Mar-19","7-Mar-19","8-Mar-19","9-Mar-19","10-Mar-19","11-Mar-19","12-Mar-19","13-Mar-19","14-Mar-19","15-Mar-19","16-Mar-19","17-Mar-19"
"Mississippi State Penitentiary","3,560","3,276","3,276","3,275","3,270","3,266","3,272","3,267","3,276","3,276","3,276","3,270","3,264","3,271","3,268","3,271","3,270","3,269"
"Central Mississippi Correctional Facility","4,131","3,636","3,635","3,637","3,662","3,677","3,645","3,664","3,772","3,670","3,669","3,697","3,631","3,631","3,668","3,665","3,665","3,666"
"Youthful Offender Unit","58","34","35","35","35","36","35","35","35","34","34","34","33","31","32","32","32","32"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,655","2,654","2,655","2,658","2,658","2,659","2,660","2,650","2,650","2,652","2,657","2,648","2,640","2,656","2,660","2,660","2,659"
"County Jails","1,793","1,395","1,395","1,395","1,416","1,403","1,407","1,420","1,384","1,384","1,384","1,204","1,422","1,409","1,398","1,393","1,393","1,393"
"COMMUNITY WORK CENTERS","1,372","1,069","1,067","1,065","1,083","1,079","1,080","1,087","1,097","1,094","1,083","1,088","1,079","1,086","1,075","1,056","1,050","1,047"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","79","79","79","81","81","80","81","81","80","80","79","79","79","78","78","78","78"
"Delta TVC","324","311","310","308","318","308","308","312","310","308","302","304","303","313","305","301","297","295"
"Forrest Satellite Facility","96","60","60","60","60","60","59","59","57","57","57","57","55","55","55","52","52","52"
"George Satellite Facility","102","75","75","75","75","73","75","75","75","75","75","75","74","74","74","71","71","71"
"Harrison Satellite Facility","102","53","53","53","53","53","55","54","54","54","54","54","56","55","55","54","53","52"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","68","67","67","69","68","68","69","68","68","68","68","69","69","69","66","66","66"
"Noxubee Satellite Facility","58","46","46","46","46","49","49","49","52","52","52","52","51","50","50","50","50","50"
"Pike Satellite Facility","93","69","69","69","70","70","71","73","72","72","72","72","69","69","68","67","66","66"
"Quitman Satellite Facility","93","59","59","59","59","64","63","63","63","63","59","60","60","59","56","57","57","57"
"Rankin Satellite Facility","178","159","159","159","162","163","163","163","156","156","156","162","160","161","161","157","157","157"
"Rankin RID","28","16","16","16","15","15","14","14","14","14","14","14","13","13","13","13","13","13"
"Flowood TVC","50","21","21","21","21","21","16","16","36","36","35","33","32","31","31","30","30","30"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","53","53","53","54","54","59","59","59","59","59","58","58","58","60","60","60","60"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,221","4,218","4,217","4,199","4,199","4,209","4,206","4,222","4,221","4,218","4,206","4,240","4,260","4,247","4,253","4,252","4,251"
"Alcorn County","300","301","301","301","301","301","298","298","298","298","298","298","297","299","299","299","299","299"
"Bolivar County","369","293","293","293","293","293","291","292","292","292","292","291","290","292","291","290","290","290"
"Carroll County","280","274","274","274","276","276","274","273","273","273","273","271","270","269","269","269","269","269"
"Chickasaw County","310","309","308","308","308","308","308","308","309","309","309","309","311","311","310","308","308","308"
"George County","342","334","334","334","334","334","333","333","342","342","340","338","337","340","336","338","338","338"
"Holmes County","280","269","268","268","257","257","272","271","271","271","270","268","268","268","270","271","271","270"
"Issaquena County","297","273","273","273","272","272","272","272","272","272","272","272","269","274","274","274","274","274"
"Jefferson County","280","281","280","280","278","278","278","278","278","278","278","277","279","278","278","278","278","278"
"Kemper County","355","346","346","346","343","343","341","341","341","341","341","340","348","352","351","352","352","352"
"Leake County","280","263","263","263","263","263","266","266","266","266","266","266","276","280","278","278","278","278"
"Marion County","280","280","280","280","279","279","279","279","279","279","279","279","279","277","276","278","278","278"
"Stone County","326","275","275","275","274","274","273","273","280","280","280","279","279","279","279","279","278","278"
"Washington County","300","169","169","169","169","169","174","174","174","174","174","173","170","170","169","169","169","169"
"Winston County","280","267","267","267","267","267","267","266","266","265","265","264","277","281","278","281","281","281"
"Yazoo County","300","287","287","286","285","285","283","282","281","281","281","281","290","290","289","289","289","289"
"PRIVATE PRISONS","5,472","3,128","3,128","3,128","3,127","3,127","3,139","3,133","3,133","3,133","3,133","3,129","3,141","3,159","3,159","3,165","3,164","3,184"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,193","1,193","1,193","1,194","1,194","1,212","1,207","1,205","1,205","1,205","1,204","1,218","1,233","1,235","1,241","1,241","1,261"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","997","997","1,000","1,000","1,000","998","997","1,000","999","999","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","935","935","935","933","933","930","929","928","928","928","927","926","926","925","925","924","924"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","31","31","31","30","33","33","35","33","33","0","33","36","38","37","38","38","38"
"Madison","40","7","7","7","6","6","6","8","8","8","8","8","11","12","11","12","12","12"
"Noxubee","34","18","18","18","18","21","21","21","19","19","19","19","19","20","20","20","20","20"
"Rankin/Flowood","8","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,179","19,452","19,446","19,445","19,487","19,485","19,486","19,514","19,609","19,502","19,456","19,325","19,501","19,532","19,547","19,540","19,531","19,546"
