"Location","Capacity","18-Mar-19","19-Mar-19","20-Mar-19","21-Mar-19","22-Mar-19","23-Mar-19","24-Mar-19","25-Mar-19","26-Mar-19","27-Mar-19","28-Mar-19","29-Mar-19","30-Mar-19","31-Mar-19","Avg Population"
"Mississippi State Penitentiary","3,560","3,266","3,259","3,264","3,273","3,263","3,267","3,263","3,272","3,271","3,294","3,284","3,286","3,283","3,281","3,272"
"Central Mississippi Correctional Facility","4,131","3,645","3,634","3,634","3,605","3,622","3,622","3,622","3,616","3,609","3,608","3,616","3,640","3,640","3,640","3647"
"Youthful Offender Unit","58","32","32","35","35","33","33","33","33","33","32","33","33","33","33","33"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,652","2,648","2,654","2,651","2,645","2,647","2,645","2,650","2,655","2,662","2,659","2,659","2,657","2,654","2654"
"County Jails","1,793","1,382","1,393","1,393","1,414","1,425","1,425","1,425","1,415","1,403","1,410","1,388","1,389","1,389","1,389","1395"
"COMMUNITY WORK CENTERS","1,372","1,061","1,353","1,057","1,042","1,051","1,047","1,048","1,080","1,071","1,094","1,109","1,129","1,095","1,082","1084"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","78","78","77","78","77","77","77","77","77","77","77","77","77","77","78"
"Delta TVC","324","296","292","300","300","300","297","298","312","305","318","313","312","312","303","306"
"Forrest Satellite Facility","96","55","55","54","54","54","54","54","61","61","60","60","58","58","58","57"
"George Satellite Facility","102","73","72","73","73","72","72","72","72","72","74","78","76","76","76","74"
"Harrison Satellite Facility","102","53","52","51","51","50","50","50","51","51","57","55","54","54","54","53"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","70","70","70","70","69","69","69","69","67","70","70","69","69","68","68"
"Noxubee Satellite Facility","58","50","51","51","51","51","51","51","49","49","49","48","48","48","48","50"
"Pike Satellite Facility","93","67","65","65","65","61","61","61","71","71","71","71","71","71","71","69"
"Quitman Satellite Facility","93","56","56","55","36","55","55","55","55","60","60","57","89","56","56","59"
"Rankin Satellite Facility","178","161","460","161","161","159","159","159","161","158","158","163","158","158","158","169"
"Rankin RID","28","13","13","12","12","12","12","12","12","10","10","11","11","11","11","13"
"Flowood TVC","50","29","29","28","28","28","27","27","27","27","27","43","43","42","39","29"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","60","60","60","63","63","63","63","63","63","63","63","63","63","63","60"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,265","4,252","4,248","4,271","4,268","4,268","4,268","4,256","4,247","4,242","4,252","4,257","4,256","4,255","4240"
"Alcorn County","300","298","298","299","299","299","299","299","299","298","298","298","298","298","298","299"
"Bolivar County","369","289","294","293","293","293","293","293","293","293","292","292","292","292","292","292"
"Carroll County","280","273","272","272","274","274","274","274","274","273","272","276","276","276","276","273"
"Chickasaw County","310","307","309","307","306","303","303","303","302","302","302","304","309","308","308","307"
"George County","342","338","335","333","337","337","337","337","337","335","335","342","341","341","341","337"
"Holmes County","280","270","268","268","274","274","274","274","274","273","273","274","272","272","272","270"
"Issaquena County","297","273","272","271","274","274","274","274","273","273","272","272","274","274","274","273"
"Jefferson County","280","279","278","278","280","280","280","280","280","279","279","279","279","279","279","279"
"Kemper County","355","353","347","347","351","351","351","351","350","349","348","347","346","346","346","347"
"Leake County","280","279","279","279","280","279","279","279","276","276","276","274","274","274","274","273"
"Marion County","280","278","278","281","281","281","281","281","280","279","279","279","279","279","279","279"
"Stone County","326","278","277","277","277","280","280","280","279","279","279","279","279","279","279","278"
"Washington County","300","168","168","169","169","169","169","169","168","168","168","168","168","168","168","170"
"Winston County","280","282","279","277","276","274","274","274","273","272","271","270","270","270","269","272"
"Yazoo County","300","300","298","297","300","300","300","300","298","298","298","298","300","300","300","292"
"PRIVATE PRISONS","5,472","3,172","3,169","3,168","3,169","3,175","3,175","3,174","3,178","3,175","3,175","3,174","3,174","3,171","3,171","3156"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,250","1,249","1,248","1,248","1,251","1,251","1,250","1,248","1,248","1,248","1,247","1,249","1,248","1,248","1230"
"Marshall County","1,000","998","998","998","1,000","1,000","1,000","1,000","999","999","1,000","1,000","998","997","997","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","924","922","922","921","924","924","924","931","928","927","927","927","926","926","927"
"RESTITUTION CENTERS","10","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","40","39","39","39","35","35","35","36","36","35","36","36","36","36","35"
