Location,Capacity_x,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,Capacity_y,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,Capacity,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
MS STATE PENITENTIARY,"5,631","5,334","5,334","5,334","5,333","5,362","5,377","5,371","5,381","5,378","5,376","5,631","5,371","5,394","5,375","5,382","5,360","5,359","5,359","5,356","5,379","5,368","5,631","5,379","5,344","5,343","5,340","5,356","5,326","5,267","5,284","5,212","5,210"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,967","2,965","2,964","2,972","2,979","3,000","3,006","3,008","3,010","3,011","3,049","3,023","2,995","3,008","3,007","3,013","3,013","3,015","3,012","3,008","3,035","3,049","3,052","3,035","3,034","3,033","3,029","3,051","3,056","3,042","3,031","3,031"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","1,982","1,981","1,981","1,989","1,978","1,972","1,960","1,955","1,955","1,955","2,214","1,970","1,967","1,962","1,978","1,980","1,980","1,980","2,011","1,999","1,998","2,214","1,993","1,993","1,992","1,990","1,979","1,896","1,913","1,886","1,905","1,904"
COUNTY JAILS (capacity increased by 18 on 6/7/01),"2,122","1,459","1,458","1,458","1,476","1,456","1,414","1,400","1,395","1,394","1,395","2,122","1,403","1,424","1,419","1,408","1,425","1,426","1,426","1,442","1,410","1,410","2,122","1,397","1,387","1,387","1,387","1,363","1,369","1,341","1,356","1,359","1,364"
COMMUNITY WORK CENTERS,"1,320","1,204","1,205","1,204","1,265","1,266","1,263","1,265","1,242","1,240","1,240","1,320","1,268","1,274","1,276","1,283","1,253","1,250","1,250","1,266","1,272","1,278","1,320","1,278","1,246","1,247","1,246","1,278","1,278","1,281","1,279","1,269","1,269"
Alcorn Satellite Facility,75,69,69,69,72,73,73,73,68,68,68,75,73,74,74,74,70,70,70,75,75,74,75,74,72,72,72,75,75,75,75,75,75
Bolivar Satellite Facility,75,69,69,69,74,74,75,75,69,69,69,75,73,74,74,74,72,72,72,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Forrest Satellite Facility,75,69,69,69,75,75,74,74,73,73,73,75,75,75,75,75,73,73,73,75,75,75,75,75,67,67,67,75,74,74,74,73,73
George Satellite Facility,75,69,69,69,69,69,69,69,74,74,74,75,73,73,73,74,74,74,74,75,75,74,75,74,67,67,67,75,75,74,74,72,72
Harrison Satellite Facility,75,70,70,70,73,72,71,71,69,69,69,75,70,74,74,74,74,71,71,52,60,69,75,69,73,74,74,75,73,73,72,70,70
