Location,Capacity_x,1-Oct-01,2-Oct-01,3-Oct-01,4-Oct-01,5-Oct-01,6-Oct-01,7-Oct-01,8-Oct-01,9-Oct-01,10-Oct-01,Capacity_y,11-Oct-01,12-Oct-01,13-Oct-01,14-Oct-01,15-Oct-01,16-Oct-01,17-Oct-01,18-Oct-01,19-Oct-01,20-Oct-01,Capacity,21-Oct-01,22-Oct-01,23-Oct-01,24-Oct-01,25-Oct-01,26-Oct-01,27-Oct-01,28-Oct-01,29-Oct-01,30-Oct-01,31-Oct-01
MS STATE PENITENTIARY,"5,612","5,224","5,244","5,239","5,262","5,254","5,252","5,250","5,241","5,270","5,271","5,612","5,223","5,218","5,213","5,211","5,231","5,230","5,239","5,243","5,262","5,261","5,612","5,261","5,256","5,239","5,267","5,250","5,251","5,248","5,247","5,269","5,274","5,262"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","3,037","3,017","3,006","2,996","3,009","3,009","3,004","3,008","2,997","2,989","3,049","3,017","2,988","2,986","2,985","2,988","2,980","2,976","3,000","3,030","3,030","3,049","3,031","3,036","2,999","2,949","2,991","2,978","2,975","2,973","2,956","2,972","2,952"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,057","2,056","2,084","2,075","2,078","2,077","2,077","2,076","2,071","2,068","2,214","2,055","2,078","2,077","2,077","2,072","2,092","2,094","2,077","2,057","2,057","2,214","2,059","2,046","2,065","2,091","2,088","2,108","2,105","2,104","2,110","2,109","2,142"
COUNTY JAILS,"2,122","1,574","1,562","1,562","1,618","1,611","1,609","1,609","1,600","1,615","1,623","2,122","1,620","1,609","1,608","1,609","1,619","1,627","1,648","1,637","1,600","1,598","2,122","1,599","1,611","1,627","1,643","1,628","1,636","1,637","1,637","1,638","1,651","1,660"
COMMUNITY WORK CENTERS,"1,320","1,239","1,243","1,245","1,243","1,189","1,187","1,188","1,239","1,241","1,246","1,320","1,235","1,212","1,212","1,211","1,248","1,247","1,249","1,241","1,196","1,196","1,320","1,196","1,241","1,241","1,241","1,239","1,213","1,212","1,212","1,249","1,245","1,255"
Alcorn Satellite Facility,75,75,74,74,74,72,72,72,74,72,73,75,72,70,70,70,74,75,75,73,68,68,75,68,72,72,73,72,72,72,72,75,75,75
Bolivar Satellite Facility,75,74,74,74,74,68,68,68,73,75,73,75,73,69,69,69,75,75,75,74,71,71,75,71,75,75,75,75,75,75,75,75,75,75
Forrest Satellite Facility,75,71,73,73,73,71,71,71,73,73,74,75,74,73,73,73,74,74,74,74,71,71,75,71,73,73,73,72,69,68,68,72,72,72
George Satellite Facility,75,71,71,72,71,73,73,73,74,74,74,75,74,74,74,73,74,73,73,73,71,71,75,71,73,73,73,73,72,72,72,74,74,74
Harrison Satellite Facility,75,74,74,74,74,69,69,69,74,74,74,75,74,71,71,71,74,74,74,72,71,71,75,71,71,73,73,73,70,70,70,74,73,73
