Location,Capacity_x,1-Apr-02,2-Apr-02,3-Apr-02,4-Apr-02,5-Apr-02,6-Apr-02,7-Apr-02,8-Apr-02,9-Apr-02,10-Apr-02,Capacity_y,11-Apr-02,12-Apr-02,13-Apr-02,14-Apr-02,15-Apr-02,16-Apr-02,17-Apr-02,18-Apr-02,19-Apr-02,20-Apr-02,Capacity,21-Apr-02,22-Apr-02,23-Apr-02,24-Apr-02,25-Apr-02,26-Apr-02,27-Apr-02,28-Apr-02,29-Apr-02,30-Apr-02,1-May-02
MS STATE PENITENTIARY,"5,551","5,287","5,309","5,304","5,300","5,297","5,298","5,296","5,288","5,308","5,305","5,551","5,325","5,321","5,321","5,319","5,320","5,341","5,323","5,341","5,336","5,336","5,551","5,336","5,334","5,352","5,351","5,338","5,324","5,323","5,322","5,319","5,332",0
CENTRAL MS CORRECTIONAL FACILITY,"3,049","2,979","2,995","2,988","2,985","2,983","2,983","2,983","3,002","3,018","3,027","3,049","3,025","3,025","3,023","3,022","3,027","3,035","3,008","3,005","2,988","2,989","3,049","2,988","2,984","3,025","3,004","3,000","2,990","2,989","2,990","2,987","3,017",0
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,063","2,061","2,080","2,069","2,050","2,049","2,048","2,041","2,038","2,050","2,214","2,051","2,048","2,048","2,047","2,055","2,054","2,064","2,061","2,057","2,056","2,214","2,054","2,057","2,052","2,053","2,074","2,059","2,058","2,057","2,057","2,053",0
COUNTY JAILS,"2,137","1,637","1,612","1,594","1,617","1,620","1,622","1,622","1,640","1,638","1,642","2,137","1,623","1,623","1,623","1,607","1,587","1,571","1,612","1,598","1,610","1,611","2,137","1,611","1,610","1,592","1,603","1,579","1,606","1,606","1,606","1,606","1,583",0
COMMUNITY WORK CENTERS,"1,328","1,266","1,262","1,273","1,286","1,257","1,256","1,256","1,283","1,281","1,281","1,328","1,281","1,254","1,254","1,255","1,274","1,270","1,278","1,297","1,290","1,290","1,328","1,289","1,299","1,300","1,298","1,283","1,286","1,286","1,286","1,288","1,286",0
Alcorn Satellite Facility,75,69,69,69,75,73,73,73,75,75,75,75,75,72,72,72,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Bolivar Satellite Facility,75,75,74,74,74,70,70,70,74,74,73,75,74,71,71,71,74,74,74,75,75,75,75,75,75,74,74,71,74,74,74,74,74,0
Forrest Satellite Facility,75,72,73,74,75,70,70,70,75,75,75,75,75,75,75,75,73,73,75,75,73,73,75,73,75,75,75,75,75,75,75,75,75,0
George Satellite Facility,75,74,74,74,75,68,68,68,73,73,74,75,74,71,71,71,74,74,75,73,72,72,75,72,73,75,75,72,72,72,72,72,72,0
Harrison Satellite Facility,75,74,74,75,75,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0
Jackson Satellite Facility,75,75,75,74,74,71,71,71,75,75,75,75,75,74,74,75,74,73,75,75,75,75,75,75,75,75,75,74,74,74,74,74,74,0
Jefferson Satellite Facility,75,73,74,74,74,73,73,73,73,72,74,75,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,75,73,73,73,74,74,0
Leflore Satellite Facility,75,74,74,74,74,75,75,75,75,75,75,75,74,71,71,71,71,70,70,75,72,72,75,72,74,74,74,72,74,74,74,74,74,0
Madison Satellite Facility,75,73,73,73,75,75,75,75,75,75,75,75,75,72,72,72,75,75,75,74,75,75,75,75,75,75,75,72,75,75,75,75,74,0
Noxubee Satellite Facility,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,74,75,74,75,75,75,74,73,73,73,74,74,0
Pike Satellite Facility,75,72,71,73,73,73,73,73,74,74,74,75,74,74,74,74,74,74,75,74,73,73,75,73,74,74,74,73,73,73,73,73,72,0
Quitman Satellite Facility,75,68,66,66,64,64,64,64,62,62,62,75,61,61,61,61,61,60,60,64,64,64,75,64,63,63,63,62,62,62,62,62,61,0
Rankin Satellite Facility,128,101,99,104,104,105,104,104,105,104,103,128,103,101,101,101,102,103,107,114,117,117,128,117,117,118,118,117,117,117,117,117,117,0
Simpson Satellite Facility,75,74,71,74,75,72,72,71,73,73,72,75,74,74,74,74,74,73,71,75,75,75,75,74,74,74,74,73,73,73,73,73,74,0
Washington Satellite Facility,75,73,73,73,75,74,74,74,74,74,74,75,74,70,70,70,74,74,75,75,74,74,75,74,74,75,75,74,74,74,74,74,74,0
Wilikinson Satellite Facility,75,72,75,75,75,71,71,71,75,75,75,75,75,71,71,71,75,75,74,73,71,71,75,71,75,75,75,74,74,74,74,72,72,0
Yazoo Satellite Facility,75,72,72,72,74,74,74,75,75,75,75,75,74,73,73,73,73,72,72,75,75,75,75,75,75,73,71,75,73,73,73,75,75,0
REGIONAL CORRECTIONAL FACILITIES,"2,500","1,983","1,981","1,976","1,995","1,989","1,989","1,988","1,986","1,986","1,993","2,500","1,991","1,995","1,995","1,995","1,992","1,992","1,993","1,985","1,992","1,992","2,500","1,990","1,986","1,983","1,994","1,991","1,987","1,986","1,985","1,986","1,978",0
Bolivar County,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
Carroll County,250,216,217,216,218,218,218,218,216,215,215,250,213,218,218,218,218,218,222,218,220,220,250,220,220,220,220,216,215,215,215,215,214,0
Holmes County,250,214,214,214,219,218,218,218,218,218,217,250,217,217,217,217,217,217,216,216,215,215,250,215,215,215,218,217,217,217,217,217,217,0
Issaquena County,250,217,217,215,217,214,214,214,216,216,215,250,217,215,215,215,214,214,212,210,215,215,250,214,213,214,218,215,214,214,214,214,214,0
Jefferson County,250,228,227,227,229,229,229,229,229,229,229,250,229,229,229,229,230,230,230,229,226,226,250,226,224,222,222,230,228,228,228,228,227,0
