Location,Capacity_x,1-Aug-02,2-Aug-02,3-Aug-02,4-Aug-02,5-Aug-02,6-Aug-02,7-Aug-02,8-Aug-02,9-Aug-02,10-Aug-02,Capacity_y,11-Aug-02,12-Aug-02,13-Aug-02,14-Aug-02,15-Aug-02,16-Aug-02,17-Aug-02,18-Aug-02,19-Aug-02,20-Aug-02,Capacity,21-Aug-02,22-Aug-02,23-Aug-02,24-Aug-02,25-Aug-02,26-Aug-02,27-Aug-02,28-Aug-02,29-Aug-02,30-Aug-02,31-Aug-02
MS STATE PENITENTIARY,"5,551","5,300","5,295","5,292","5,290","5,283","5,301","5,283","5,277","5,267","5,263","5,551","5,261","5,216","5,237","5,201","5,220","5,207","5,205","5,204","5,158","5,169","5,551","5,116","5,147","5,106","5,104","5,103","5,095","5,112","5,079","5,102","5,096","5,095"
CENTRAL MS CORRECTIONAL FACILITY,"3,099","2,994","3,007","3,009","3,008","2,997","2,985","2,952","2,947","2,910","2,911","3,099","2,910","2,922","2,931","2,910","2,896","2,883","2,884","2,880","2,884","2,892","3,099","2,903","2,909","2,930","2,931","2,932","2,928","2,927","2,947","2,956","2,929","2,929"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","2,052","2,051","2,047","2,045","2,019","2,008","2,028","2,041","2,033","2,031","2,214","2,030","2,045","2,042","2,035","2,050","2,047","2,047","2,047","2,052","2,046","2,214","2,052","2,049","2,025","2,024","2,024","2,007","2,001","2,002","1,989","2,010","2,010"
COUNTY JAILS      ***,"2,113","1,879","1,867","1,867","1,867","1,913","1,904","1,918","1,900","1,886","1,886","2,113","1,886","1,888","1,875","1,892","1,899","1,912","1,912","1,912","1,903","1,907","2,113","1,914","1,904","1,896","1,896","1,896","1,935","1,939","1,946","1,936","1,938","1,938"
COMMUNITY WORK CENTERS,"1,350","1,314","1,291","1,289","1,290","1,309","1,312","1,317","1,315","1,291","1,291","1,350","1,290","1,310","1,302","1,297","1,309","1,286","1,286","1,285","1,297","1,301","1,350","1,305","1,305","1,269","1,269","1,267","1,295","1,301","1,289","1,300","1,301","1,301"
Alcorn Satellite Facility,75,74,72,72,72,74,74,75,75,72,72,75,72,75,75,75,75,74,74,74,75,75,75,75,75,73,73,72,74,75,75,75,75,75
Bolivar Satellite Facility,75,74,73,73,73,73,73,74,74,72,72,75,72,73,73,73,74,71,71,71,73,72,75,72,72,69,69,69,72,73,70,71,71,71
Forrest Satellite Facility,75,75,75,75,75,75,75,75,73,69,69,75,69,74,74,75,74,71,71,71,73,71,75,74,74,73,73,73,74,74,74,75,75,75
George Satellite Facility,75,71,69,69,69,70,72,72,72,71,71,75,71,72,72,70,74,75,75,75,73,73,75,73,75,72,72,72,75,75,74,75,75,75
Harrison Satellite Facility,75,72,72,72,72,75,75,75,74,72,72,75,72,75,72,72,75,73,73,73,75,75,75,75,75,75,75,75,75,74,73,73,74,74
Jackson Satellite Facility,75,73,73,73,73,74,75,75,75,73,73,75,73,75,75,75,75,73,73,73,75,75,75,75,75,72,72,72,73,73,72,74,74,74
Jefferson Satellite Facility,75,74,72,71,72,74,74,74,74,73,73,75,73,74,74,72,72,75,75,75,72,74,75,72,72,72,72,72,72,75,72,71,75,75
Leflore Satellite Facility,75,72,71,70,70,71,71,74,74,71,71,75,70,73,73,75,75,73,73,73,75,75,75,75,75,72,72,72,75,75,74,74,72,72
Madison Satellite Facility,75,73,72,72,72,75,75,75,75,74,74,75,74,75,75,75,74,73,73,73,73,73,75,74,74,74,74,74,74,73,73,75,75,75
Noxubee Satellite Facility,75,72,70,70,70,72,72,70,70,69,69,75,69,68,67,72,72,71,71,71,69,68,75,68,68,67,67,67,69,73,72,72,72,72
Pike Satellite Facility,75,75,74,74,74,71,71,70,70,74,74,75,74,75,75,74,74,74,74,73,73,73,75,74,73,72,72,72,72,72,72,71,70,70
Quitman Satellite Facility,75,69,68,68,68,68,68,69,69,69,69,75,68,68,67,67,67,67,67,67,67,66,75,66,66,64,64,63,64,63,63,63,62,62
Rankin Satellite Facility,150,142,141,141,141,143,143,142,142,141,141,150,141,138,138,136,140,137,137,137,136,141,150,141,141,135,135,135,139,138,138,141,139,139
Simpson Satellite Facility,75,75,70,70,70,72,72,73,74,72,72,75,72,74,74,72,72,70,70,70,70,70,75,70,70,69,69,69,70,70,69,68,70,70
Washington Satellite Facility,75,74,71,71,71,73,73,74,74,74,74,75,74,73,70,69,69,69,69,69,73,73,75,74,73,71,71,71,72,73,73,72,72,72
