Location,Capacity_x_x,1-Feb-07,2-Feb-07,3-Feb-07,4-Feb-07,5-Feb-07,6-Feb-07,7-Feb-07,8-Feb-07,9-Feb-07,Capacity_y_x,10-Feb-07,11-Feb-07,12-Feb-07,13-Feb-07,14-Feb-07,15-Feb-07,16-Feb-07,17-Feb-07,18-Feb-07,Capacity_x_y,19-Feb-07,20-Feb-07,21-Feb-07,22-Feb-07,23-Feb-07,24-Feb-07,25-Feb-07,26-Feb-07,27-Feb-07,Capacity_y_y,28-Feb-07,Unnamed: 3,Avg Population
Mississippi State Penitentiary,"4,534","4,512","4,506","4,501","4,498","4,495","4,498","4,503","4,487","4,474","4,534","4,471","4,469","4,478","4,478","4,495","4,499","4,475","4,472","4,471","4,534","4,470","4,459","4,469","4,456","4,453","4,453","4,451","4,444","4,449","4,534","4,453",,"4,476"
Central Mississippi Correctional Facility,"3,381","3,399","3,422","3,421","3,418","3,402","3,398","3,419","3,422","3,430","3,381","3,428","3,427","3,403","3,436","3,421","3,386","3,370","3,370","3,368","3,381","3,367","3,353","3,363","3,424","3,435","3,433","3,432","3,472","3,478","3,381","3,441",,"3,412"
South Mississippi Correctional Institution,"2,484","2,270","2,262","2,261","2,259","2,249","2,262","2,262","2,285","2,297","2,484","2,295","2,296","2,304","2,284","2,304","2,300","2,318","2,316","2,313","2,484","2,312","2,308","2,303","2,305","2,281","2,279","2,277","2,275","2,273","2,484","2,310",,"2,288"
County Jails,"1,727","1,781","1,763","1,763","1,763","1,822","1,861","1,890","1,883","1,883","1,727","1,883","1,883","1,879","1,899","1,876","1,910","1,966","1,966","1,966","1,727","1,967","1,954","1,942","1,900","1,880","1,880","1,880","1,853","1,827","1,727","1,807",,"1,876"
COMMUNITY WORK CENTERS,"1,816","1,755","1,705","1,701","1,698","1,757","1,758","1,752","1,755","1,688","1,816","1,684","1,683","1,751","1,744","1,761","1,761","1,674","1,670","1,669","1,816","1,748","1,759","1,761","1,763","1,699","1,698","1,699","1,758","1,771","1,816","1,771",,"1,728"
Alcorn Satellite Facility,92,91,83,83,83,92,92,92,92,88,92,88,88,91,90,91,90,81,81,81,92,91,91,91,92,86,87,87,92,92,92,92,,89
Bolivar Satellite Facility,102,100,99,99,99,100,100,100,99,93,102,93,93,98,98,99,99,93,92,92,102,98,98,98,98,93,93,93,101,101,102,100,,97
Forrest Satellite Facility,96,96,92,92,92,96,96,96,96,89,96,89,89,95,95,96,96,93,93,93,96,96,96,94,95,93,93,93,94,95,96,95,,94
George Satellite Facility,102,102,100,100,100,100,102,102,102,98,102,98,99,102,101,101,101,97,97,97,102,101,100,102,102,100,100,101,102,102,102,102,,100
Harrison Satellite Facility,102,99,96,96,96,99,99,99,99,95,102,94,94,96,99,99,100,97,97,97,102,100,100,100,99,96,96,96,98,99,102,100,,98
Jackson Satellite Facility,102,100,99,99,99,100,101,101,101,99,102,98,97,98,98,97,101,96,96,96,102,101,101,101,101,95,95,96,101,99,102,99,,99
Jefferson Satellite Facility,102,100,95,95,95,100,100,96,95,90,102,90,90,102,102,102,101,96,96,96,102,101,101,101,101,94,94,94,101,102,102,101,,98
Leflore Satellite Facility,102,100,95,94,94,99,98,98,101,93,102,92,92,100,98,98,97,84,84,84,102,92,99,99,98,92,92,92,95,102,102,102,,95
Madison Satellite Facility,102,102,101,101,101,101,101,101,101,100,102,100,100,100,100,101,101,99,99,99,102,101,101,101,100,101,101,101,101,101,102,100,,101
Noxubee Satellite Facility,92,89,88,88,88,90,90,90,90,86,92,86,86,91,91,91,91,85,85,85,92,90,90,92,92,85,85,85,92,92,92,90,,89
Pike Satellite Facility,93,89,86,84,84,89,89,88,87,85,93,84,84,87,87,87,88,86,85,85,93,87,87,86,86,82,82,82,91,90,93,89,,86
Quitman Satellite Facility,93,82,80,79,79,81,80,80,83,78,93,78,79,82,80,80,78,74,73,73,93,76,77,77,77,84,83,83,87,87,93,85,,80
Rankin Satellite Facility,228,211,206,206,205,209,209,208,212,204,228,204,204,210,209,216,216,208,208,207,228,215,214,216,216,208,207,206,214,215,228,215,,210
Simpson Satellite Facility,102,100,98,98,97,101,101,101,100,98,102,98,96,99,96,102,102,99,98,98,102,101,101,101,101,97,97,97,97,99,102,101,,99
Washington Satellite Facility,102,100,96,96,95,99,99,101,100,97,102,97,97,99,100,101,101,94,94,94,102,99,99,98,102,93,93,93,91,95,102,102,,97
Wilkinson Satellite Facility,102,95,92,92,92,100,100,100,100,98,102,98,98,99,98,98,97,95,95,95,102,97,102,102,102,101,101,101,101,100,102,98,,98
Yazoo Satellite Facility,102,99,99,99,99,101,101,99,97,97,102,97,97,102,102,102,102,97,97,97,102,102,102,102,101,99,99,99,100,100,102,100,,100
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,078","3,074","3,072","3,070","3,067","3,071","3,065","3,071","3,071","3,082","3,070","3,067","3,066","3,066","3,052","3,070","3,077","3,075","3,074","3,082","3,072","3,069","3,069","3,071","3,071","3,065","3,064","3,053","3,067","3,082","3,074",,"3,069"
Bolivar County,294,294,292,292,292,289,291,292,294,294,294,294,293,294,294,294,294,294,293,293,294,293,293,292,292,294,294,294,293,294,294,293,,293
Carroll County,280,280,280,280,280,276,277,276,280,280,280,280,280,279,279,278,278,279,279,279,280,279,273,275,277,279,279,278,277,280,280,280,,278
George County,280,280,279,278,278,278,278,277,275,279,280,279,279,278,277,279,279,279,279,278,280,277,279,279,279,278,278,278,276,276,280,278,,278
