Location,Capacity_x_x,1-Jun-08,2-Jun-08,3-Jun-08,4-Jun-08,5-Jun-08,6-Jun-08,7-Jun-08,8-Jun-08,9-Jun-08,Capacity_y_x,10-Jun-08,11-Jun-08,12-Jun-08,13-Jun-08,14-Jun-08,15-Jun-08,16-Jun-08,17-Jun-08,18-Jun-08,Capacity_x_y,19-Jun-08,20-Jun-08,21-Jun-08,22-Jun-08,23-Jun-08,24-Jun-08,25-Jun-08,26-Jun-08,27-Jun-08,Capacity_y_y,28-Jun-08,29-Jun-08,30-Jun-08,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,527","4,200","4,201","4,206","4,204","4,207","4,195","4,191","4,191","4,192","4,527","4,192","4,186","4,185","4,187","4,184","4,184","4,191","4,184","4,208","4,527","4,220","4,214","4,213","4,213","4,212","4,207","4,210","4,210","4,208","4,527","4,207","4,206","4,213",,"4,201"
Central Mississippi Correctional Facility,"3,665","3,702","3,721","3,716","3,709","3,689","3,708","3,707","3,706","3,712","3,665","3,732","3,732","3,724","3,738","3,737","3,735","3,745","3,728","3,735","3,665","3,722","3,751","3,750","3,751","3,747","3,742","3,761","3,782","3,791","3,665","3,789","3,788","3,772",,"3,737"
South Mississippi Correctional Institution,"3,204","3,121","3,120","3,122","3,149","3,152","3,134","3,130","3,128","3,122","3,204","3,125","3,125","3,127","3,120","3,117","3,116","3,116","3,141","3,141","3,204","3,139","3,126","3,125","3,123","3,130","3,146","3,145","3,145","3,141","3,204","3,137","3,135","3,134",,"3,131"
County Jails,"1,645","1,971","1,944","1,928","1,923","1,931","1,948","1,948","1,948","1,975","1,645","1,959","1,977","2,008","2,007","2,007","2,007","2,004","1,992","1,977","1,645","1,961","1,947","1,947","1,947","1,965","1,961","1,954","1,961","1,958","1,645","1,958","1,958","1,972",,"1,965"
COMMUNITY WORK CENTERS,"1,848","1,695","1,788","1,787","1,784","1,787","1,720","1,714","1,715","1,773","1,848","1,796","1,797","1,817","1,751","1,747","1,747","1,808","1,816","1,812","1,848","1,818","1,756","1,756","1,755","1,801","1,801","1,807","1,801","1,752","1,848","1,749","1,746","1,794",,"1,773"
Alcorn Satellite Facility,92,87,91,91,90,90,82,82,82,92,92,92,91,91,88,88,88,91,92,92,92,92,86,86,86,92,92,92,92,83,92,83,83,92,,89
Bolivar Satellite Facility,102,90,94,93,92,98,96,95,95,97,102,97,97,101,98,98,98,101,100,100,102,102,97,97,97,102,101,101,100,100,102,98,98,100,,98
Forrest Satellite Facility,96,89,93,93,96,96,96,96,96,94,96,94,93,96,91,91,91,94,95,93,96,94,92,92,92,94,96,96,95,93,96,93,93,95,,94
George Satellite Facility,102,94,101,101,100,100,99,99,99,98,102,98,102,102,100,101,101,102,102,101,102,101,97,97,97,102,99,98,98,96,102,96,96,98,,99
Harrison Satellite Facility,102,97,101,102,100,100,98,97,97,100,102,99,98,98,98,98,98,102,102,102,102,102,101,101,101,99,99,99,99,95,102,95,95,96,,99
Jackson Satellite Facility,102,93,102,102,102,100,95,94,94,98,102,98,98,102,97,97,97,99,99,102,102,102,100,100,100,101,102,102,102,98,102,98,98,101,,99
Jefferson Satellite Facility,102,86,99,99,99,99,98,98,98,98,102,100,100,100,89,89,89,97,100,100,102,100,95,95,94,99,99,102,102,100,102,100,100,102,,98
Leflore Satellite Facility,102,95,102,100,100,100,98,98,98,100,102,100,99,99,95,95,95,101,101,100,102,101,96,96,96,100,100,99,99,98,102,97,97,101,,99
Madison Satellite Facility,102,100,101,101,101,101,100,100,100,101,102,102,98,102,100,100,100,98,102,100,102,101,96,96,96,99,100,100,99,101,102,101,100,100,,100
Noxubee Satellite Facility,92,85,88,88,88,88,80,79,79,86,92,91,91,91,84,82,82,90,92,92,92,92,88,88,88,91,91,91,91,85,92,85,84,90,,87
Pike Satellite Facility,93,88,92,92,92,93,85,85,85,91,93,91,92,91,88,88,88,92,90,89,93,90,87,87,87,89,89,89,89,84,93,84,84,88,,89
Quitman Satellite Facility,93,81,88,88,88,88,83,83,83,92,93,93,92,92,83,82,82,89,90,90,93,90,87,87,87,90,89,88,89,88,93,88,88,89,,88
Rankin Satellite Facility,260,237,245,246,246,246,240,239,239,246,260,249,250,250,245,245,245,250,250,250,260,248,245,245,245,249,248,249,250,242,260,242,242,248,,246
Simpson Satellite Facility,102,96,96,90,90,89,85,85,85,88,102,98,102,101,100,100,100,101,102,101,102,101,93,93,93,97,100,100,100,98,102,98,98,99,,96
Washington Satellite Facility,102,92,100,100,100,100,94,94,94,96,102,96,96,102,100,100,100,102,101,100,102,101,99,99,99,101,101,100,100,96,102,96,96,98,,98
Wilkinson Satellite Facility,102,91,96,102,101,101,97,97,98,100,102,100,100,101,96,96,96,99,99,102,102,100,98,98,98,98,98,100,98,97,102,97,97,97,,98
Yazoo Satellite Facility,102,94,99,99,99,98,94,93,93,96,102,98,98,98,99,97,97,100,99,98,102,101,99,99,99,98,97,101,98,98,102,98,97,100,,98
REGIONAL CORRECTIONAL FACILITIES,"3,088","3,071","3,077","3,083","3,084","3,087","3,084","3,081","3,079","3,084","3,088","3,082","3,083","3,084","3,084","3,083","3,082","3,084","3,089","3,087","3,088","3,086","3,087","3,085","3,083","3,083","3,087","3,082","3,082","3,084","3,088","3,084","3,084","3,082",,"3,083"
Bolivar County,294,294,294,294,295,294,293,293,293,294,294,294,294,293,294,294,294,294,294,294,294,293,294,294,294,290,294,294,293,294,294,294,294,294,,294
Carroll County,280,280,280,280,281,281,281,281,280,280,280,280,280,280,280,280,279,280,280,280,280,280,279,278,277,279,280,279,279,279,280,279,279,279,,280
George County,280,280,280,278,275,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,280,280,279,280,279,279,279,,280
Holmes County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
Issaquena County,274,273,273,274,274,274,274,274,274,274,274,274,274,274,273,272,272,273,273,272,274,274,274,274,274,274,274,274,274,275,274,275,275,274,,274
Jefferson County,280,273,277,280,280,279,278,276,276,280,280,277,279,279,278,278,278,279,283,282,280,281,281,280,279,280,279,278,278,278,280,278,278,278,,279
Kemper County,280,279,279,280,280,280,279,278,278,278,280,278,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280,,280
Leake County,280,277,279,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,279,280,280,279,280,280,280,281,281,281,280,279,280,279,279,280,,280
Marion County,280,279,279,279,280,279,279,279,278,279,280,279,278,278,280,280,280,280,280,279,280,279,280,280,280,280,280,280,280,280,280,280,280,279,,279
Stone County,280,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,279,277,278,280,280,280,280,279,,280
Winston County,280,277,277,279,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,280
PRIVATE PRISONS,"4,972","4,789","4,788","4,795","4,798","4,806","4,809","4,806","4,804","4,804","4,972","4,808","4,809","4,810","4,807","4,807","4,805","4,805","4,808","4,811","4,972","4,816","4,805","4,801","4,801","4,804","4,807","4,804","4,810","4,811","4,972","4,810","4,808","4,810",,"4,805"
Delta,972,968,969,971,972,972,972,971,971,971,972,971,970,970,971,971,971,970,969,968,972,970,967,966,966,966,969,970,971,973,972,973,973,974,,970
East Mississippi,"1,000",892,889,889,893,894,895,894,893,893,"1,000",897,898,897,897,897,896,896,896,897,"1,000",897,896,896,896,898,899,896,896,898,"1,000",898,897,898,,896
Marshall County,"1,000",998,"1,000","1,000","1,000","1,000","1,000",999,999,999,"1,000",999,"1,000","1,000","1,000","1,000",999,999,"1,000","1,000","1,000","1,000",999,998,998,"1,000","1,000",999,"1,000","1,000","1,000",999,999,"1,000",,999
Tallahatchie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Walnut Grove,"1,000",951,950,953,952,955,954,954,953,953,"1,000",952,950,954,951,951,951,953,956,959,"1,000",960,957,956,956,954,956,953,956,954,"1,000",954,954,956,,954
Wilkinson County,"1,000",980,980,982,981,985,988,988,988,988,"1,000",989,991,989,988,988,988,987,987,987,"1,000",989,986,985,985,986,983,986,987,986,"1,000",986,985,982,,986
RESTITUTION CENTERS,16,13,13,23,23,23,23,23,23,22,16,12,12,12,12,12,12,12,11,11,16,12,12,12,12,12,12,12,12,12,16,12,12,12,,15
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4,4,4,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
Hinds,6,4,4,14,14,14,14,14,14,14,6,4,4,4,4,4,4,5,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,,6
Pascagoula,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,,3
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
E-CODE,0,107,4,6,6,9,71,72,70,7,0,7,5,6,76,77,78,9,11,12,0,9,63,62,62,7,7,8,7,59,0,115,171,9,,40
TOTALS,"22,971","22,675","22,662","22,672","22,686","22,697","22,698","22,678","22,670","22,697","22,971","22,719","22,732","22,779","22,788","22,777","22,772","22,780","22,786","22,800","22,971","22,789","22,767","22,757","22,753","22,767","22,776","22,789","22,816","22,822","22,971","22,867","22,914","22,804",,"22,756"
