Location,Capacity_x_x,1-Jul-12,2-Jul-12,3-Jul-12,4-Jul-12,5-Jul-12,6-Jul-12,7-Jul-12,8-Jul-12,9-Jul-12,Capacity_y_x,10-Jul-12,11-Jul-12,12-Jul-12,13-Jul-12,14-Jul-12,15-Jul-12,16-Jul-12,17-Jul-12,18-Jul-12,Capacity_x_y,19-Jul-12,20-Jul-12,21-Jul-12,22-Jul-12,23-Jul-12,24-Jul-12,25-Jul-12,26-Jul-12,27-Jul-12,Capacity_y_y,28-Jul-12,29-Jul-12,30-Jul-12,31-Jul-12,Avg Population
Mississippi State Penitentiary,"4,648","3,269","3,280","3,278","3,274","3,280","3,285","3,286","3,284","3,285","4,648","3,301","3,294","3,307","3,309","3,304","3,303","3,304","3,298","3,292","4,648","3,305","3,299","3,296","3,294","3,294","3,304","3,323","3,334","3,335","4,648","3,331","3,327","3,329","3,336","3,301"
Central Mississippi Correctional Facility,"3,665","3,212","3,207","3,236","3,239","3,253","3,264","3,260","3,260","3,266","3,665","3,251","3,260","3,227","3,207","3,206","3,203","3,171","3,208","3,226","3,665","3,234","3,223","3,217","3,217","3,174","3,174","3,168","3,157","3,170","3,665","3,164","3,161","3,171","3,191","3,212"
South Mississippi Correctional Institution,"3,282","3,191","3,198","3,190","3,186","3,184","3,176","3,173","3,174","3,179","3,282","3,187","3,194","3,198","3,193","3,195","3,194","3,204","3,208","3,206","3,282","3,196","3,181","3,181","3,182","3,202","3,200","3,210","3,207","3,209","3,282","3,207","3,207","3,203","3,212","3,194"
County Jails,"1,753","2,075","2,057","2,017","2,017","2,000","2,013","2,013","2,013","2,008","1,753","2,000","1,981","1,987","1,978","1,978","1,978","2,047","2,016","1,993","1,753","1,971","2,018","2,018","2,018","2,015","2,021","1,997","1,988","1,991","1,753","1,991","1,991","2,012","1,983","2,006"
COMMUNITY WORK CENTERS,"1,848","1,607","1,597","1,594","1,594","1,595","1,592","1,589","1,586","1,581","1,848","1,579","1,578","1,582","1,542","1,542","1,541","1,591","1,590","1,593","1,848","1,596","1,566","1,562","1,557","1,594","1,587","1,590","1,595","1,587","1,848","1,585","1,583","1,593","1,611","1,583"
Alcorn Satellite Facility,92,91,89,89,89,90,90,90,90,88,92,85,85,84,82,82,82,84,84,84,92,84,84,84,84,84,91,91,89,89,92,89,89,90,91,87
Bolivar Satellite Facility,102,76,76,76,76,76,75,75,74,73,102,72,72,72,73,73,73,73,73,73,102,73,73,72,72,84,80,81,81,81,102,80,80,80,80,76
Forrest Satellite Facility,96,85,85,84,84,83,83,83,83,83,96,84,84,84,77,77,77,85,82,82,96,81,77,75,75,77,76,77,79,79,96,79,79,79,80,81
George Satellite Facility,102,88,86,86,86,86,85,84,84,84,102,85,83,82,80,80,80,82,82,82,102,82,79,79,79,82,83,80,82,81,102,81,81,80,80,82
Harrison Satellite Facility,102,78,78,78,78,78,79,78,77,78,102,76,75,75,76,76,76,77,80,80,102,81,83,83,81,81,81,81,84,82,102,82,82,84,84,79
