Location,Capacity_x_x,1-May-13,2-May-13,3-May-13,4-May-13,5-May-13,6-May-13,7-May-13,8-May-13,9-May-13,Capacity_y_x,10-May-13,11-May-13,12-May-13,13-May-13,14-May-13,15-May-13,16-May-13,17-May-13,18-May-13,Capacity_x_y,19-May-13,20-May-13,21-May-13,22-May-13,23-May-13,24-May-13,25-May-13,26-May-13,27-May-13,Capacity_y_y,28-May-13,29-May-13,30-May-13,31-May-13,Avg Population
Mississippi State Penitentiary,"4,648","3,364","3,354","3,339","3,337","3,335","3,337","3,339","3,350","3,337","4,648","3,335","3,335","3,334","3,345","3,348","3,369","3,366","3,367","3,366","4,648","3,366","3,366","3,378","3,380","3,368","3,374","3,373","3,374","3,374","4,648","3,371","3,373","3,388","3,382","3,359"
Central Mississippi Correctional Facility,"3,557","3,340","3,319","3,314","3,309","3,309","3,320","3,320","3,328","3,316","3,557","3,329","3,327","3,326","3,328","3,348","3,344","3,376","3,355","3,353","3,557","3,354","3,361","3,333","3,349","3,336","3,338","3,338","3,336","3,337","3,557","3,338","3,351","3,347","3,318","3,335"
Youthful Offender Unit,42,29,30,30,30,28,30,29,29,30,42,31,31,31,29,30,31,31,32,32,42,31,31,31,28,30,30,30,30,29,42,29,31,31,31,30
South Mississippi Correctional Institution,"3,282","3,234","3,231","3,213","3,214","3,213","3,223","3,240","3,242","3,242","3,282","3,237","3,234","3,233","3,235","3,236","3,235","3,237","3,225","3,223","3,282","3,223","3,228","3,232","3,231","3,237","3,228","3,229","3,229","3,229","3,282","3,228","3,222","3,217","3,211","3,229"
County Jails,"1,872","2,348","2,361","2,405","2,405","2,405","2,382","2,373","2,353","2,322","1,872","2,312","2,312","2,312","2,310","2,295","2,308","2,305","2,331","2,331","1,872","2,331","2,304","2,323","2,299","2,321","2,309","2,309","2,309","2,310","1,872","2,322","2,305","2,311","2,306","2,330"
COMMUNITY WORK CENTERS,"1,848","1,567","1,588","1,581","1,579","1,576","1,575","1,567","1,563","1,554","1,848","1,553","1,552","1,551","1,540","1,534","1,538","1,529","1,482","1,481","1,848","1,479","1,528","1,530","1,533","1,540","1,549","1,545","1,545","1,542","1,848","1,535","1,531","1,531","1,518","1,542"
Alcorn Satellite Facility,92,92,92,92,92,92,92,91,92,92,92,92,92,91,87,91,92,92,92,92,92,92,92,92,90,89,91,90,90,90,92,90,91,92,92,91
Bolivar Satellite Facility,102,75,74,72,72,72,72,72,72,72,102,71,71,71,71,68,68,68,68,68,102,68,68,68,68,68,67,67,67,67,102,66,66,65,63,69
Forrest Satellite Facility,96,79,77,78,78,78,78,78,75,75,96,76,75,75,74,74,73,71,62,62,96,62,69,69,69,76,79,79,79,79,96,79,80,79,78,75
George Satellite Facility,102,87,86,86,85,85,85,83,82,83,102,85,86,86,83,83,83,82,77,77,102,75,76,76,75,72,72,72,72,72,102,70,70,68,67,79
Harrison Satellite Facility,102,87,87,87,87,87,87,86,83,79,102,82,82,82,81,82,80,82,79,79,102,79,83,83,85,85,89,89,89,89,102,89,88,91,83,85
Jackson Satellite Facility,102,72,85,85,85,85,83,82,79,79,102,77,77,77,77,77,77,78,73,73,102,73,80,79,79,79,80,80,80,80,102,79,79,78,77,79
Jefferson Satellite Facility,102,73,73,73,73,73,73,73,73,71,102,72,72,72,71,72,71,71,69,69,102,69,70,69,69,69,68,66,66,64,102,64,63,63,62,70
Leflore Satellite Facility,102,79,80,82,82,82,83,83,83,83,102,84,84,84,81,80,81,80,80,80,102,80,86,86,86,86,87,87,87,87,102,87,85,89,87,84
Madison Satellite Facility,102,90,91,89,89,89,88,88,86,92,102,89,89,89,90,89,91,88,91,91,102,91,90,90,91,91,91,91,91,91,102,91,92,90,91,90
Noxubee Satellite Facility,92,79,74,74,74,74,74,78,77,76,92,76,75,75,75,75,80,81,74,73,92,73,80,79,79,81,81,81,81,81,92,81,80,80,75,77
Pike Satellite Facility,93,89,92,89,89,88,86,83,91,91,93,92,92,92,92,92,92,92,92,92,93,92,93,93,93,93,93,93,93,93,93,93,93,93,91,91
Quitman Satellite Facility,93,84,89,88,88,88,88,88,89,88,93,91,91,91,91,91,92,88,91,91,93,91,92,92,92,92,92,92,92,92,93,92,92,90,89,90
Rankin Satellite Facility,260,242,242,240,239,239,242,242,242,238,260,236,236,236,237,237,235,235,232,232,260,232,233,234,239,238,240,240,240,240,260,240,239,239,235,238
Simpson Satellite Facility,102,93,99,101,101,101,102,100,100,99,102,99,99,99,99,98,98,97,94,94,102,94,98,98,97,97,97,96,96,96,102,95,95,94,99,98
Washington Satellite Facility,102,84,84,84,84,84,84,84,83,82,102,81,81,81,79,76,77,76,70,70,102,70,75,74,73,75,74,74,74,74,102,72,71,71,82,78
Wilkinson Satellite Facility,102,79,78,78,78,77,75,75,75,73,102,73,73,73,72,70,69,69,64,64,102,64,66,71,71,72,72,72,72,72,102,72,72,74,78,72
