Location,Capacity_x_x,1-Feb-15,2-Feb-15,3-Feb-15,4-Feb-15,5-Feb-15,6-Feb-15,7-Feb-15,8-Feb-15,9-Feb-15,Capacity_y_x,10-Feb-15,11-Feb-15,12-Feb-15,13-Feb-15,14-Feb-15,15-Feb-15,16-Feb-15,17-Feb-15,18-Feb-15,Capacity_x_y,19-Feb-15,20-Feb-15,21-Feb-15,22-Feb-15,23-Feb-15,24-Feb-15,25-Feb-15,26-Feb-15,27-Feb-15,Capacity_y_y,28-Feb-15,Avg Population
Mississippi State Penitentiary,"4,648","3,110","3,184","3,131","3,137","3,158","3,145","3,145","3,147","3,146","4,648","3,150","3,148","3,130","3,128","3,126","3,126","3,123","3,124","3,125","4,648","3,112","3,111","3,112","3,111","3,117","3,108","3,107","3,110","3,105","4,648","3,102","3,128"
MSP TVC,108,74,74,74,95,90,90,89,88,88,108,85,83,82,81,81,79,78,73,73,108,84,83,82,80,79,78,79,79,100,108,100,83
Central Mississippi Correctional Facility,"3,469","2,196","2,220","2,215","2,268","2,303","2,363","2,325","2,329","2,363","3,469","2,356","2,366","2,381","2,379","2,379","2,379","2,383","2,376","2,376","3,469","2,356","2,356","2,360","2,359","2,383","2,375","2,379","2,308","2,352","3,469","2,353","2,341"
Youthful Offender Unit,58,27,27,27,26,27,27,27,27,27,58,27,27,27,27,27,30,30,26,26,58,22,22,22,22,22,22,22,22,23,58,23,25
CMCF TVC,158,125,125,123,122,116,118,117,115,115,158,114,113,113,109,108,108,106,107,114,158,119,119,119,115,113,106,101,101,92,158,92,112
South Mississippi Correctional Institution,"3,282","2,365","2,313","2,415","2,416","2,416","2,408","2,408","2,405","2,403","3,282","2,421","2,422","2,417","2,410","2,410","2,409","2,408","2,411","2,398","3,282","2,436","2,436","2,431","2,431","2,463","2,456","2,465","2,462","2,463","3,282","2,461","2,420"
SMCI TVC,0,147,95,98,93,93,93,91,90,85,0,94,93,90,90,90,90,88,89,88,0,95,95,95,92,92,97,99,100,100,0,100,95
County Jails,"1,995","1,472","1,478","1,476","1,480","1,469","1,454","1,490","1,491","1,473","1,995","1,474","1,483","1,508","1,540","1,540","1,537","1,536","1,513","1,537","1,995","1,541","1,510","1,510","1,510","1,430","1,451","1,457","1,458","1,487","1,995","1,487","1,493"
COMMUNITY WORK CENTERS,"1,848","1,068","1,068","1,080","1,077","1,077","1,059","1,059","1,056","1,065","1,848","1,064","1,054","1,046","1,014","1,002","1,008","1,041","1,029","1,029","1,848","1,037","1,031","1,030","1,029","1,032","1,033","1,033","1,044","1,030","1,848","1,028","1,044"
Alcorn Satellite Facility,92,59,59,59,56,57,57,57,57,57,92,57,56,55,51,51,51,53,53,52,92,51,52,52,52,52,52,51,51,50,92,49,54
Bolivar Satellite Facility,102,56,56,55,55,55,54,54,54,55,102,55,55,55,48,48,51,53,52,52,102,52,51,51,51,52,52,52,52,52,102,52,53
Forrest Satellite Facility,96,46,46,52,52,51,51,51,51,50,96,50,50,50,47,47,47,49,48,48,96,47,47,47,47,47,47,46,45,43,96,43,48
George Satellite Facility,102,50,50,53,53,52,55,55,55,54,102,54,54,54,53,53,53,55,54,53,102,53,51,51,51,49,48,49,50,49,102,49,52
Harrison Satellite Facility,102,49,49,51,52,51,50,50,50,50,102,50,48,45,43,42,43,45,45,44,102,44,46,46,46,47,47,47,47,43,102,43,47
Jackson Satellite Facility,102,46,46,46,51,51,47,47,47,52,102,52,53,53,45,45,45,53,53,52,102,52,50,50,50,52,52,54,57,56,102,55,50
Jefferson Satellite Facility,102,51,51,52,52,52,48,48,48,53,102,53,53,53,50,50,50,51,48,48,102,47,47,47,47,47,46,46,46,46,102,46,49
Leflore Satellite Facility,102,44,44,49,49,49,45,45,45,48,102,49,48,47,45,45,47,47,47,47,102,47,48,48,48,48,47,47,47,47,102,47,47
Madison Satellite Facility,102,50,50,48,47,46,47,47,47,46,102,46,46,44,43,43,43,44,44,45,102,47,46,46,46,46,46,47,47,51,102,51,46
Noxubee Satellite Facility,92,65,65,64,64,66,65,65,65,65,92,65,65,64,60,60,60,64,63,63,92,63,64,63,63,63,62,62,62,60,92,60,63
Pike Satellite Facility,93,88,88,83,82,81,79,79,78,75,93,75,75,78,77,77,77,79,79,79,93,79,78,78,78,79,79,78,88,85,93,85,80
Quitman Satellite Facility,93,63,63,61,61,61,61,61,61,61,93,61,60,60,60,60,60,60,59,58,93,58,57,57,57,58,59,58,56,56,93,56,59
Rankin Satellite Facility,260,173,173,173,170,175,170,170,168,170,260,169,167,163,169,159,159,161,158,159,260,160,155,155,155,158,158,158,158,159,260,159,164
