Location,Capacity_x_x,1-Nov-16,2-Nov-16,3-Nov-16,4-Nov-16,5-Nov-16,6-Nov-16,7-Nov-16,8-Nov-16,9-Nov-16,10-Nov-16,Capacity_y_x,11-Nov-16,12-Nov-16,13-Nov-16,14-Nov-16,15-Nov-16,16-Nov-16,Capacity_x_y,17-Nov-16,18-Nov-16,19-Nov-16,20-Nov-16,21-Nov-16,22-Nov-16,23-Nov-16,Capacity_y_y,24-Nov-16,25-Nov-16,26-Nov-16,27-Nov-16,28-Nov-16,29-Nov-16,30-Nov-16,Avg Population
Mississippi State Penitentiary,3590,3281,3275,3288,3293,3293,3292,3308,3293,3301,3278,3590,3270,3270,"3,269",3279,3298,3290,"3,590","3,289","3,285","3,284","3,284","3,354","3,386","3,373","3,590","3,371","3,371","3,373","3,370",3342,3367,3332,3312
Central Mississippi Correctional Facility,"3,858","3,343","3,291","3,285","3,232","3,232","3,233","3,262","3,288","3,282","3,311","3,858","3,296","3,295","3,296","3,256","3,259","3,276","3,858","3,278","3,245","3,248","3,249","3,219","3,266","3,246","3,858","3,243","3,243","3,242","3,241",3271,3241,3222,3263
Youthful Offender Unit,58,36,36,36,35,35,35,34,34,34,32,58,32,32,32,31,31,31,58,31,32,32,32,32,32,32,58,32,32,32,32,32,32,32,33
CMCF TVC,,22,20,7,13,13,13,13,13,13,25,,25,25,25,23,23,22,,19,20,20,20,23,8,4,,4,4,4,4,4,4,6,15
South Mississippi Correctional Institution,"3,082","2,962","2,963","2,958","2,955","2,955","2,955","2,955","2,956","2,955","2,948","3,082","2,941","2,944","2,944","2,957","2,960","2,960","3,082","2,975","2,969","2,969","2,969","2,970","2,978","2,980","3,082","2,975","2,975","2,974","2,974",2997,2993,3020,2966
County Jails,"1,781","1,247","1,271","1,294","1,299","1,299","1,301","1,316","1,294","1,281","1,252","1,781","1,250","1,250","1,250","1,229","1,243","1,202","1,781","1,199","1,184","1,184","1,184","1,185","1,147","1,179","1,781","1,179","1,179","1,179","1,179",1180,1202,1231,1229
COMMUNITY WORK CENTERS,"1,348",976,968,955,970,964,961,967,961,951,948,"1,348",923,920,913,948,938,934,"1,348",928,933,930,921,916,914,906,"1,348",903,900,896,893,894,881,873,930
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,64,64,64,64,64,64,64,64,64,64,96,62,62,60,67,67,66,96,68,68,68,68,68,68,68,96,68,67,67,67,67,65,64,66
George Satellite Facility,102,83,83,83,83,83,82,82,82,82,82,102,77,77,77,81,80,79,102,78,78,78,78,78,78,78,102,78,78,78,78,78,77,78,80
Harrison Satellite Facility,102,53,52,51,48,48,48,51,51,51,50,102,49,49,49,50,49,49,102,49,49,49,49,50,50,50,102,50,50,50,50,50,50,50,50
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,69,69,66,76,75,75,74,74,72,71,82,70,67,67,67,62,61,82,57,64,63,56,51,48,45,82,44,44,42,41,41,38,38,60
Leflore TVC Support,20,13,14,14,14,14,14,14,13,14,14,20,14,14,14,14,14,14,20,14,14,14,13,13,13,12,20,11,11,11,11,11,11,11,13
Madison Satellite Facility,102,76,77,77,76,76,76,77,75,73,71,102,70,70,70,75,75,74,102,74,73,73,73,73,72,73,102,73,73,72,72,72,72,72,74
Noxubee Satellite Facility,92,72,72,71,70,68,68,68,67,67,67,92,63,63,63,67,65,70,92,70,70,70,70,70,70,69,92,69,69,69,69,69,69,69,68
Pike Satellite Facility,93,87,87,86,85,85,85,85,85,85,89,93,89,89,88,88,85,84,93,86,85,85,85,84,84,84,93,84,84,84,84,84,84,86,86
Quitman Satellite Facility,93,64,64,61,61,61,61,60,59,59,59,93,57,57,56,56,56,57,93,57,57,56,56,57,57,58,93,58,57,57,57,57,55,50,58
Rankin Satellite Facility,182,151,151,149,147,147,147,151,151,149,148,182,142,142,142,147,151,151,182,151,149,148,148,149,150,150,182,150,150,150,150,150,148,148,149
Rankin RID,28,5,5,5,5,5,5,5,5,5,5,28,4,4,4,3,3,3,28,3,3,3,3,3,3,3,28,3,3,3,3,3,3,2,4
