Location,Capacity_x,1-Sep-17,Unnamed: 3,2-Sep-17,3-Sep-17,4-Sep-17,5-Sep-17,6-Sep-17,7-Sep-17,8-Sep-17,9-Sep-17,10-Sep-17,11-Sep-17,12-Sep-17,13-Sep-17,14-Sep-17,15-Sep-17,16-Sep-17,17-Sep-17,Capacity_y,18-Sep-17,19-Sep-17,20-Sep-17,21-Sep-17,22-Sep-17,23-Sep-17,24-Sep-17,25-Sep-17,26-Sep-17,27-Sep-17,28-Sep-17,29-Sep-17,30-Sep-17,Avg Population
Mississippi State Penitentiary,"3,590","3,365","3,365","3,363","3,360","3,353","3,361","3,363","3,356","3,352","3,351","3,347","3,343","3,338","3,345","3,353","3,352","3,352",,"3,590","3,353","3,371","3,357","3,350","3,342","3,342","3,342","3,344","3,347","3,327","3,334","3,325","3,323","3,349"
Central Mississippi Correctional Facility,"3,750","3,288","3,286","3,287","3,286","3,315","3,331","3,322","3,321","3,317","3,318","3,339","3,395","3,390","3,394","3,383","3,384","3,386",,"3,750","3,430","3,419","3,460","3,462","3,475","3,471","3,472","3,475","3,510","3,539","3,529","3,501","3,501",3400
Youthful Offender Unit,58,32,32,32,32,33,33,33,33,33,33,33,33,32,32,32,32,32,,58,33,33,33,33,34,34,34,34,34,33,33,33,33,33
CMCF TVC,0,10,10,10,10,11,11,12,10,10,10,8,8,7,12,27,27,27,,0,28,28,27,28,27,27,27,27,27,27,28,26,26,19
South Mississippi Correctional Institution,"3,082","3,044","3,046","3,044","3,044","3,039","3,049","3,047","3,047","3,045","3,045","3,044","3,032","3,035","3,038","3,034","3,032","3,032",,"3,082","3,035","3,037","3,048","3,047","3,043","3,040","3,040","3,039","3,032","3,019","3,013","3,051","3,048",3040
County Jails,"1,781","1,299","1,299","1,299","1,299","1,329","1,287","1,297","1,331","1,331","1,331","1,367","1,361","1,356","1,352","1,351","1,351","1,351",,"1,781","1,351","1,365","1,332","1,324","1,351","1,351","1,351","1,407","1,396","1,398","1,387","1,394","1,394",1346
COMMUNITY WORK CENTERS,"1,188",914,913,913,911,902,900,904,913,910,908,907,893,890,898,908,907,900,,"1,188",898,895,890,889,896,894,891,912,903,900,902,890,889,901
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,62,62,62,62,62,61,61,60,60,60,62,61,61,61,61,61,61,,96,59,58,57,56,54,53,53,62,65,65,65,64,64,61
George Satellite Facility,102,70,70,70,70,69,67,68,67,67,67,68,67,69,69,69,69,69,,102,69,70,71,71,69,69,69,71,71,71,71,70,70,69
Harrison Satellite Facility,102,59,59,59,59,59,59,65,63,63,63,63,63,63,62,62,62,62,,102,62,62,61,61,58,57,57,60,60,62,61,59,59,61
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,74,73,73,72,66,68,68,80,80,78,78,75,72,73,80,80,76,,82,76,75,75,75,80,80,79,78,74,73,73,72,71,75
Leflore TVC Support,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,17,17,17,,20,18,18,19,19,19,19,19,19,19,19,19,19,19,19
Madison Satellite Facility,62,60,60,60,60,60,59,59,56,56,56,57,57,56,56,60,60,60,,62,60,60,60,60,61,61,61,62,61,62,62,62,62,60
Noxubee Satellite Facility,58,50,50,50,50,50,50,50,49,49,49,48,47,47,53,51,51,51,,58,51,50,50,49,47,47,46,48,48,48,48,46,46,49
Pike Satellite Facility,93,76,76,76,75,75,76,76,76,76,76,77,77,77,77,79,79,79,,93,79,79,79,79,79,79,79,78,78,78,78,71,71,77
Quitman Satellite Facility,93,49,49,49,49,51,50,50,50,49,49,48,47,47,46,46,46,46,,93,46,46,49,48,48,48,48,48,48,48,48,47,47,48
Rankin Satellite Facility,178,166,166,166,166,164,162,162,167,167,167,165,163,163,161,160,160,160,,178,159,159,158,158,158,158,158,162,159,158,158,161,161,162
Rankin RID,28,10,10,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,,28,9,9,9,9,9,9,9,9,9,9,9,10,10,9
Flowood TVC,50,11,11,10,11,11,11,11,11,11,11,11,11,10,10,9,9,8,,50,8,8,8,8,8,8,8,8,7,7,7,7,7,9
Simpson TVC,82,80,80,80,80,80,81,80,81,80,80,79,75,75,73,76,75,73,,82,72,71,69,68,80,80,79,79,77,76,76,75,75,77
Simpson TVC Support,20,15,15,15,15,15,15,14,14,14,14,14,14,14,15,15,15,15,,20,15,15,15,15,13,13,13,15,15,15,15,15,15,15
Washington Satellite Facility,60,60,60,60,60,58,59,59,58,58,58,58,58,58,59,59,59,59,,60,59,60,56,55,55,55,55,55,54,54,54,55,55,57
Wilkinson Satellite Facility,62,53,53,53,53,53,53,52,52,52,52,52,51,51,56,55,55,55,,62,56,55,54,58,58,58,58,58,58,55,58,57,57,55
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,494","3,823","3,822","3,821","3,819","3,815","3,805","3,820","3,822","3,819","3,818","3,809","3,807","3,828","3,815","3,815","3,814","3,809",,"4,494","3,800","3,797","3,799","3,807","3,794","3,793","3,793","3,806","3,802","3,776","3,806","3,804","3,803",3809
Alcorn County,300,239,239,239,238,238,239,239,240,240,240,240,240,241,239,239,239,239,,300,238,238,238,238,238,238,238,238,238,237,236,236,236,239
Bolivar County,369,293,293,293,292,291,291,291,292,292,292,292,292,294,294,294,294,294,,369,294,294,294,294,294,294,294,293,293,292,292,294,294,293
Carroll County,280,249,249,249,249,249,249,250,249,248,248,248,248,247,244,243,243,243,,280,243,243,253,253,253,253,253,253,253,250,260,259,259,250
Chickasaw County,310,278,277,277,277,277,277,277,277,277,277,278,278,279,279,278,278,278,,310,278,278,277,277,277,277,277,277,275,274,283,283,283,278
George County,280,273,273,273,273,273,273,273,273,272,272,271,271,276,276,276,276,272,,280,271,271,273,271,271,271,271,270,272,271,273,272,272,273
Holmes County,280,224,224,224,224,223,222,222,223,223,223,222,222,224,222,222,222,222,,280,219,219,219,224,224,224,224,224,224,223,223,222,222,223
Issaquena County,274,274,274,274,274,274,273,270,271,271,271,270,270,274,274,273,273,273,,274,272,272,272,272,273,273,273,273,272,268,267,274,274,272
Jefferson County,280,276,276,275,275,275,272,278,280,280,279,279,279,280,278,278,278,278,,280,277,278,268,277,277,277,277,279,278,276,276,275,274,277
Kemper County,355,350,350,350,350,351,349,352,350,349,349,349,348,347,343,349,349,349,,355,349,350,350,350,350,349,349,351,349,348,346,343,343,349
Leake County,280,202,202,202,202,201,201,201,201,201,201,200,199,199,200,199,199,198,,280,197,197,197,196,194,194,194,198,198,196,200,200,200,199
Marion County,280,224,224,224,224,224,223,224,224,224,224,224,224,224,224,223,223,223,,280,223,222,222,222,221,221,221,221,223,223,222,221,221,223
Stone County,326,263,263,263,263,263,263,262,261,261,261,261,261,263,261,261,261,261,,326,261,261,261,261,261,261,261,260,260,260,261,261,261,261
Washington County,300,216,216,216,216,214,212,222,222,222,222,220,220,219,218,218,217,217,,300,216,216,216,215,210,210,210,210,210,208,206,204,204,215
Winston County,280,224,224,224,224,223,222,221,220,220,220,218,218,223,224,223,223,223,,280,223,219,219,217,217,217,217,220,219,218,221,220,220,221
Yazoo County,300,238,238,238,238,239,239,238,239,239,239,237,237,238,239,239,239,239,,300,239,239,240,240,234,234,234,239,238,232,240,240,240,238
PRIVATE PRISONS,"5,972","3,122","3,120","3,120","3,117","3,113","3,108","3,106","3,108","3,107","3,106","3,102","3,102","3,118","3,115","3,110","3,109","3,108",,"5,972","3,106","3,105","3,106","3,107","3,100","3,100","3,100","3,099","3,098","3,088","3,087","3,076","3,075",3105
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,227","1,226","1,226","1,224","1,223","1,222","1,222","1,216","1,215","1,215","1,214","1,214","1,213","1,211","1,207","1,206","1,205",,"1,500","1,204","1,203","1,202","1,203","1,201","1,201","1,201","1,200","1,199","1,195","1,194","1,193","1,192",1209
