Location,Capacity_x,1-Nov-18,Unnamed: 3,2-Nov-18,3-Nov-18,4-Nov-18,5-Nov-18,6-Nov-18,7-Nov-18,8-Nov-18,9-Nov-18,10-Nov-18,11-Nov-18,12-Nov-18,13-Nov-18,14-Nov-18,15-Nov-18,16-Nov-18,17-Nov-18,18-Nov-18,19-Nov-18,Capacity_y,20-Nov-18,21-Nov-18,22-Nov-18,23-Nov-18,24-Nov-18,25-Nov-18,26-Nov-18,27-Nov-18,28-Nov-18,29-Nov-18,30-Nov-18,Avg Population
Mississippi State Penitentiary,"3,560","3,274","3,277","3,273","3,273","3,270","3,264","3,271","3,261","3,271","3,270","3,270","3,270","3,270","3,264","3,273","3,269","3,267","3,266","3,258",,"3,560","3,274","3,271","3,269","3,269","3,264","3,264","3,251","3,255","3,258","3,272","3,263","3,267"
Central Mississippi Correctional Facility,"4,131","3,850","3,828","3,827","3,828","3,838","3,850","3,839","3,816","3,841","3,842","3,838","3,842","3,842","3,895","3,876","3,881","3,881","3,880","3,913",,"4,131","3,902","3,902","3,891","3,889","3,888","3,887","3,894","3,905","3,875","3,865","3,867","3,866"
Youthful Offender Unit,58,35,41,41,41,42,42,42,42,42,42,42,40,40,40,40,40,40,39,39,,58,39,39,39,38,38,38,38,38,37,37,37,40
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","3,039","3,058","3,057","3,057","3,042","3,051","3,018","3,052","3,049","3,050","3,049","3,048","3,048","3,043","3,050","3,052","3,052","3,050","3,041",,"3,082","3,043","3,054","3,052","3,051","3,048","3,048","3,048","3,054","3,048","3,044","3,045","3,048"
County Jails,"1,781","1,375","1,346","1,346","1,346","1,332","1,314","1,313","1,313","1,284","1,284","1,284","1,288","1,288","1,264","1,233","1,253","1,253","1,253","1,232",,"1,781","1,232","1,249","1,249","1,249","1,249","1,249","1,251","1,227","1,199","1,210","1,250",1274
COMMUNITY WORK CENTERS,"1,512","1,072","1,063","1,064","1,061","1,074","1,069","1,052","1,050","1,037","1,034","1,029","1,027","1,029","1,024","1,020","1,017","1,014","1,010","1,012",,"1,512","1,001",995,994,991,991,991,987,980,989,992,986,1022
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,76,74,74,74,73,75,78,75,72,72,72,73,75,74,74,72,72,72,72,,124,72,72,72,72,72,72,72,77,77,77,77,74
Delta TVC,300,300,297,296,293,309,308,285,284,282,280,275,270,270,269,265,263,260,257,263,,300,262,258,257,254,254,254,252,248,258,256,252,271
Forrest Satellite Facility,96,62,61,61,62,61,59,59,59,59,59,59,59,59,59,60,60,60,60,59,,96,58,58,58,58,58,58,58,57,57,57,57,59
George Satellite Facility,102,72,72,72,72,72,71,73,73,70,69,69,72,71,71,72,72,72,72,72,,102,71,71,71,71,71,71,71,71,74,74,74,72
Harrison Satellite Facility,102,52,52,52,52,52,52,62,52,52,52,52,52,53,53,54,54,54,54,54,,102,51,51,51,51,51,51,51,51,50,50,49,52
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
