Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,612","3,049","2,214","2,122","1,320",75,75,75,75,75,75,75,75,75,75,75,75,120,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,747"
21-Oct-01,"5,261","3,031","2,059","1,599","1,196",68,71,71,71,71,73,66,69,71,71,46,47,109,75,71,71,75,"2,031",205,199,199,196,212,226,198,199,199,198,"3,501",841,495,862,412,891,13,5,7,1,5,"18,696"
22-Oct-01,"5,256","3,036","2,046","1,611","1,241",72,75,73,73,71,75,73,75,74,74,46,50,113,75,75,72,75,"2,026",205,198,196,194,212,226,198,200,199,198,"3,496",841,493,860,412,890,14,6,7,1,6,"18,732"
23-Oct-01,"5,239","2,999","2,065","1,627","1,241",72,75,73,73,73,75,73,75,73,74,46,50,113,75,75,72,74,"2,025",205,198,196,194,212,226,197,200,199,198,"3,511",839,493,871,415,893,14,6,7,1,6,"18,727"
24-Oct-01,"5,267","2,949","2,091","1,643","1,241",73,75,73,73,73,75,73,74,73,74,44,50,115,75,75,72,74,"2,020",204,198,196,192,212,225,197,200,199,197,"3,508",839,492,870,415,892,18,6,11,1,6,"18,743"
25-Oct-01,"5,250","2,991","2,088","1,628","1,239",72,75,72,73,73,75,75,74,73,74,43,50,115,74,75,71,75,"2,039",207,200,200,200,212,225,198,200,199,198,"3,511",841,492,870,416,892,18,6,11,1,6,"18,770"
26-Oct-01,"5,251","2,978","2,108","1,636","1,213",72,75,69,72,70,73,69,72,73,74,43,50,115,72,72,67,75,"2,035",207,199,199,198,212,225,198,200,199,198,"3,509",841,492,868,416,892,18,6,11,1,5,"18,753"
27-Oct-01,"5,248","2,975","2,105","1,637","1,212",72,75,68,72,70,73,69,72,73,74,43,50,115,72,72,67,75,"2,035",207,199,199,198,212,225,198,200,199,198,"3,507",840,492,867,416,892,18,6,11,1,5,"18,742"
28-Oct-01,"5,247","2,973","2,104","1,637","1,212",72,75,68,72,70,73,69,72,73,74,43,50,115,72,72,67,75,"2,035",207,199,199,198,212,225,198,200,199,198,"3,506",840,492,867,416,891,18,6,11,1,5,"18,737"
29-Oct-01,"5,269","2,956","2,110","1,638","1,249",75,75,72,74,74,75,75,74,74,74,45,49,116,73,75,74,75,"2,027",207,199,198,193,212,224,198,200,198,198,"3,507",840,492,866,416,893,18,6,11,1,6,"18,780"
30-Oct-01,"5,274","2,972","2,109","1,651","1,245",75,75,72,74,73,75,75,74,75,73,45,48,115,72,75,74,75,"2,023",207,199,197,193,212,223,198,200,197,197,"3,506",839,492,864,418,893,18,6,11,1,6,"18,804"
31-Oct-01,"5,262","2,952","2,142","1,660","1,255",75,75,72,74,73,75,74,73,75,73,50,59,113,71,74,74,75,"2,023",207,200,197,192,212,222,199,200,198,196,"3,500",838,490,862,418,892,18,6,11,1,6,"18,818"
