date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,709"
1-Mar-02,"5,288","2,927","2,007","1,597","1,243",72,72,72,73,73,71,66,73,73,72,65,64,114,70,69,70,74,"1,997",0,218,219,218,230,246,216,218,217,215,"3,555",857,496,884,439,879,15,4,9,2,5,"18,634"
2-Mar-02,"5,285","2,927","2,007","1,599","1,243",72,72,72,73,73,71,66,73,73,72,65,64,114,70,69,70,74,"1,995",0,217,219,217,230,246,216,218,217,215,"3,555",857,496,884,439,879,15,4,9,2,5,"18,631"
3-Mar-02,"5,284","2,925","2,007","1,599","1,243",72,72,72,73,73,71,66,73,73,72,65,64,114,70,69,70,74,"1,994",0,217,219,217,230,246,216,218,217,214,"3,553",857,496,884,438,878,15,4,9,2,5,"18,625"
4-Mar-02,"5,295","2,914","2,003","1,605","1,274",72,73,74,74,75,75,70,74,72,74,65,63,117,74,74,75,73,"1,989",0,217,219,214,230,246,216,216,217,214,"3,556",857,495,884,442,878,15,4,9,2,6,"18,657"
5-Mar-02,"5,285","2,934","1,996","1,613","1,272",71,73,74,74,75,74,70,74,71,74,67,63,117,72,75,75,73,"1,988",0,217,219,214,231,245,216,215,217,214,"3,557",857,495,887,442,876,15,4,9,2,6,"18,666"
6-Mar-02,"5,286","2,936","1,996","1,605","1,273",74,73,74,72,75,74,70,74,71,73,67,65,116,72,75,75,73,"1,986",0,217,218,213,231,245,216,215,217,214,"3,556",855,497,887,442,875,15,4,9,2,6,"18,659"
7-Mar-02,"5,287","2,930","2,013","1,625","1,274",73,73,74,71,75,75,73,74,70,73,67,65,116,72,75,75,73,"1,982",0,214,218,214,230,244,216,215,217,214,"3,561",853,497,886,450,875,15,4,9,2,6,"18,693"
8-Mar-02,"5,278","2,930","2,010","1,611","1,242",67,72,73,74,73,73,70,71,68,71,64,62,115,70,74,73,72,"1,996",0,214,218,218,230,244,218,219,217,218,"3,566",859,497,886,449,875,12,3,7,2,6,"18,651"
9-Mar-02,"5,278","2,930","2,010","1,613","1,242",67,72,73,74,73,73,70,71,68,71,64,62,115,70,74,73,72,"1,995",0,214,217,218,230,244,218,219,217,218,"3,566",860,496,886,449,875,12,3,7,2,6,"18,652"
10-Mar-02,"5,275","2,929","2,010","1,613","1,242",67,72,73,74,73,73,70,71,68,71,64,62,115,70,74,73,72,"1,995",0,214,217,218,230,244,218,219,217,218,"3,565",860,496,886,448,875,12,3,7,2,6,"18,647"
