Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS      ***,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
1-Aug-02,"5,300","2,994","2,052","1,879","1,314",74,74,75,71,72,73,74,72,73,72,75,69,142,75,74,75,74,"2,014",0,201,201,201,202,201,201,202,202,201,202,"3,702",831,500,932,541,898,14,5,8,1,6,"19,275"
2-Aug-02,"5,295","3,007","2,051","1,867","1,291",72,73,75,69,72,73,72,71,72,70,74,68,141,70,71,75,73,"2,013",0,201,201,201,202,201,200,202,202,201,202,"3,721",828,500,955,539,899,14,5,7,2,6,"19,265"
3-Aug-02,"5,292","3,009","2,047","1,867","1,289",72,73,75,69,72,73,71,70,72,70,74,68,141,70,71,75,73,"2,012",0,201,201,201,202,200,200,202,202,201,202,"3,720",828,500,955,539,898,14,5,7,2,6,"19,256"
4-Aug-02,"5,290","3,008","2,045","1,867","1,290",72,73,75,69,72,73,72,70,72,70,74,68,141,70,71,75,73,"2,011",0,201,201,201,202,200,200,201,202,201,202,"3,719",828,500,954,539,898,14,5,7,2,6,"19,250"
5-Aug-02,"5,283","2,997","2,019","1,913","1,309",74,73,75,70,75,74,74,71,75,72,71,68,143,72,73,75,74,"2,015",0,203,201,201,202,200,202,201,202,201,202,"3,737",828,500,980,534,895,15,5,8,2,6,"19,294"
6-Aug-02,"5,301","2,985","2,008","1,904","1,312",74,73,75,72,75,75,74,71,75,72,71,68,143,72,73,75,74,"2,017",0,203,202,201,202,202,202,201,202,200,202,"3,756",827,500,"1,001",534,894,15,5,8,2,6,"19,304"
7-Aug-02,"5,283","2,952","2,028","1,918","1,317",75,74,75,72,75,75,74,74,75,70,70,69,142,73,74,75,75,"2,018",0,203,202,202,202,201,202,201,202,200,203,"3,806",827,553,999,533,894,15,5,8,2,6,"19,343"
8-Aug-02,"5,277","2,947","2,041","1,900","1,315",75,74,73,72,74,75,74,74,75,70,70,69,142,74,74,75,75,"2,016",0,203,202,202,201,201,202,201,202,200,202,"3,843",827,553,"1,000",532,931,15,5,8,2,6,"19,360"
9-Aug-02,"5,267","2,910","2,033","1,886","1,291",72,72,69,71,72,73,73,71,74,69,74,69,141,72,74,72,73,"2,022",0,203,202,204,200,200,203,203,202,203,202,"3,882",827,596,999,531,929,14,4,8,2,6,"19,311"
10-Aug-02,"5,263","2,911","2,031","1,886","1,291",72,72,69,71,72,73,73,71,74,69,74,69,141,72,74,72,73,"2,021",0,203,202,203,200,200,203,203,202,203,202,"3,878",825,595,999,531,928,14,4,8,2,6,"19,301"
