date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS      ***,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
11-Aug-02,"5,261","2,910","2,030","1,886","1,290",72,72,69,71,72,73,73,70,74,69,74,68,141,72,74,72,74,"2,020",0,203,202,203,200,200,203,203,202,202,202,"3,878",825,595,999,531,928,14,4,8,2,6,"19,295"
12-Aug-02,"5,216","2,922","2,045","1,888","1,310",75,73,74,72,75,75,74,73,75,68,75,68,138,74,73,75,73,"2,016",0,202,202,203,200,200,203,203,202,201,200,"3,909",824,595,999,531,960,15,5,8,2,6,"19,327"
13-Aug-02,"5,237","2,931","2,042","1,875","1,302",75,73,74,72,72,75,74,73,75,67,75,67,138,74,70,75,73,"2,019",0,202,202,203,201,201,202,203,202,202,201,"3,900",823,594,995,529,959,14,5,8,1,6,"19,326"
14-Aug-02,"5,201","2,910","2,035","1,892","1,297",75,73,75,70,72,75,72,75,75,72,74,67,136,72,69,74,71,"2,017",0,201,202,202,202,202,201,203,201,202,201,"3,930",823,593,991,528,995,14,5,8,1,6,"19,302"
15-Aug-02,"5,220","2,896","2,050","1,899","1,309",75,74,74,74,75,75,72,75,74,72,74,67,140,72,69,73,74,"2,010",0,201,201,199,201,202,200,202,201,202,201,"3,929",823,592,990,527,997,14,5,8,1,6,"19,333"
16-Aug-02,"5,207","2,883","2,047","1,912","1,286",74,71,71,75,73,73,75,73,73,71,74,67,137,70,69,67,73,"2,011",0,200,201,201,201,202,200,202,201,202,201,"3,927",821,591,990,527,998,14,5,8,1,6,"19,293"
17-Aug-02,"5,205","2,884","2,047","1,912","1,286",74,71,71,75,73,73,75,73,73,71,74,67,137,70,69,67,73,"2,011",0,200,201,201,201,202,200,202,201,202,201,"3,927",821,591,990,527,998,14,5,8,1,6,"19,292"
18-Aug-02,"5,204","2,880","2,047","1,912","1,285",74,71,71,75,73,73,75,73,73,71,73,67,137,70,69,67,73,"2,011",0,200,201,201,201,202,200,202,201,202,201,"3,927",821,591,990,527,998,14,5,8,1,6,"19,286"
19-Aug-02,"5,158","2,884","2,052","1,903","1,297",75,73,73,73,75,75,72,75,73,69,73,67,136,70,73,73,72,"2,011",0,202,201,200,200,201,201,201,202,202,201,"3,976",818,645,991,524,998,14,5,8,1,6,"19,301"
20-Aug-02,"5,169","2,892","2,046","1,907","1,301",75,72,71,73,75,75,74,75,73,68,73,66,141,70,73,75,72,"2,012",0,202,201,200,201,202,200,201,202,202,201,"3,972",816,646,990,523,997,14,5,8,1,6,"19,319"
