date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County (re-opened 10-07-02),Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (closed 10-09-02),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
11-Oct-02,"5,324","3,099","1,967","1,775","1,258",66,73,73,73,70,73,66,68,73,69,69,65,139,71,65,73,72,"2,422",149,227,227,227,221,227,230,230,228,228,228,"3,397",0,708,991,711,987,11,3,7,1,5,"19,258"
12-Oct-02,"5,323","3,096","1,967","1,775","1,257",66,73,73,73,70,73,66,68,73,69,68,65,139,71,65,73,72,"2,420",149,226,227,227,221,227,230,230,228,227,228,"3,395",0,707,990,711,987,11,3,7,1,5,"19,249"
13-Oct-02,"5,322","3,097","1,967","1,775","1,258",66,73,73,73,70,73,66,68,73,69,69,65,139,71,65,73,72,"2,420",149,226,227,227,221,227,230,230,228,227,228,"3,395",0,707,990,711,987,11,3,7,1,5,"19,250"
14-Oct-02,"5,318","3,078","1,998","1,767","1,303",73,74,74,73,75,75,72,72,75,70,69,66,141,75,70,74,75,"2,428",164,226,227,227,220,227,229,229,226,225,228,"3,395",0,706,989,711,989,12,4,7,1,5,"19,304"
15-Oct-02,"5,331","3,092","1,956","1,767","1,302",73,74,74,73,75,75,72,72,75,70,69,65,141,75,70,74,75,"2,468",204,226,227,227,220,227,229,229,226,225,228,"3,392",0,705,988,710,989,12,4,7,1,5,"19,325"
16-Oct-02,"5,328","3,113","1,954","1,793","1,303",73,74,75,75,75,75,71,72,74,70,69,65,140,74,74,72,75,"2,473",204,224,227,226,227,227,230,229,226,225,228,"3,396",0,706,987,710,993,12,4,7,1,5,"19,377"
17-Oct-02,"5,320","3,134","1,942","1,805","1,299",73,74,75,75,75,75,71,72,74,70,69,64,139,74,74,72,73,"2,492",228,224,227,226,226,226,229,228,226,225,227,"3,398",0,706,990,710,992,12,4,7,1,5,"19,407"
18-Oct-02,"5,336","3,118","1,980","1,802","1,250",71,72,72,71,74,71,66,71,69,69,66,64,136,69,69,66,74,"2,491",228,224,226,226,225,226,230,227,227,225,227,"3,398",0,704,990,711,993,11,3,7,1,5,"19,391"
19-Oct-02,"5,337","3,120","1,978","1,802","1,252",71,72,72,72,74,71,66,71,69,69,66,64,137,69,69,66,74,"2,491",228,224,226,226,225,226,230,227,227,225,227,"3,396",0,703,990,711,992,11,3,7,1,5,"19,392"
20-Oct-02,"5,335","3,120","1,978","1,802","1,252",71,72,72,72,74,71,66,71,69,69,66,64,137,69,69,66,74,"2,491",228,224,226,226,225,226,230,227,227,225,227,"3,396",0,703,990,711,992,11,3,7,1,5,"19,390"
