date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta (Closed),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,099","2,214","2,113","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,857"
21-Nov-02,"5,377","3,122","2,061","2,031","1,286",75,71,74,73,72,71,74,73,75,69,63,58,146,74,72,71,75,"2,486",225,228,226,226,222,227,226,226,228,228,224,"3,425",0,731,986,715,993,11,4,6,1,5,"19,804"
22-Nov-02,"5,379","3,132","2,075","2,012","1,269",75,71,74,72,70,70,74,72,75,68,62,51,145,74,71,71,74,"2,489",225,228,226,225,223,227,226,226,228,228,227,"3,421",0,730,986,714,991,11,4,6,1,4,"19,792"
23-Nov-02,"5,377","3,131","2,074","2,012","1,269",75,71,74,72,70,70,74,72,75,68,62,51,145,74,71,71,74,"2,489",225,228,226,225,223,227,226,226,228,228,227,"3,421",0,730,985,714,992,11,4,6,1,4,"19,788"
24-Nov-02,"5,376","3,132","2,074","2,012","1,269",75,71,74,72,70,70,74,72,75,68,62,51,145,74,71,71,74,"2,489",225,228,226,225,223,227,226,226,228,228,227,"3,420",0,729,985,714,992,11,4,6,1,4,"19,787"
25-Nov-02,"5,419","3,107","2,073","2,017","1,271",75,71,74,74,69,70,72,72,74,72,61,51,144,73,71,74,74,"2,483",225,228,225,225,222,226,224,226,228,227,227,"3,419",0,728,985,714,992,11,4,6,1,5,"19,805"
26-Nov-02,"5,440","3,096","2,080","2,052","1,269",75,71,75,74,68,69,72,71,74,71,61,51,142,72,74,74,75,"2,482",226,227,225,227,221,226,224,226,228,225,227,"3,415",0,728,986,711,990,11,4,6,1,5,"19,850"
27-Nov-02,"5,442","3,038","2,075","2,049","1,249",72,70,75,73,68,68,72,68,75,67,61,52,140,70,73,72,73,"2,479",226,226,227,226,221,225,224,226,227,225,226,"3,419",0,730,989,711,989,11,4,6,1,6,"19,768"
28-Nov-02,"5,441","3,037","2,074","2,049","1,249",72,70,75,73,68,68,72,68,75,67,61,52,140,70,73,72,73,"2,479",226,226,227,226,221,225,224,226,227,225,226,"3,419",0,730,989,711,989,10,4,5,1,6,"19,764"
29-Nov-02,"5,438","3,034","2,074","2,049","1,247",71,70,75,73,68,68,72,68,74,67,61,52,140,70,73,72,73,"2,479",226,226,227,226,221,225,224,226,227,225,226,"3,419",0,730,989,711,989,10,4,5,1,6,"19,756"
30-Nov-02,"5,435","3,031","2,074","2,049","1,247",71,70,75,73,68,68,72,68,74,67,61,52,140,70,73,72,73,"2,479",226,226,227,226,221,225,224,226,227,225,226,"3,418",0,729,989,711,989,10,4,5,1,6,"19,749"
