Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,133","1,350",75,75,75,75,75,75,75,75,75,75,75,75,150,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,228"
14-May-03,"5,695","3,124","2,148","2,048","1,290",75,74,71,73,74,73,73,75,74,73,61,56,144,72,75,72,75,"2,572",233,234,233,235,235,229,235,236,234,234,234,"3,380",677,993,716,994,18,6,10,2,6,,"20,281"
15-May-03,"5,710","3,098","2,143","2,049","1,295",75,74,74,75,74,73,73,74,74,73,61,56,144,73,75,72,75,"2,579",236,233,234,235,235,235,235,235,233,234,234,"3,380",677,992,717,994,18,6,10,2,6,,"20,278"
16-May-03,"5,698","3,101","2,159","2,040","1,206",67,68,69,68,64,71,69,70,73,68,58,52,140,64,69,67,69,"2,581",234,235,237,235,235,235,235,234,233,234,234,"3,375",677,988,716,994,16,5,9,2,6,,"20,182"
17-May-03,"5,698","3,102","2,158","2,040","1,206",67,68,69,68,64,71,69,70,73,68,58,52,140,64,69,67,69,"2,581",234,235,237,235,235,235,235,234,233,234,234,"3,372",675,988,716,993,16,5,9,2,6,,"20,179"
18-May-03,"5,696","3,102","2,157","2,040","1,208",67,68,69,68,64,71,69,71,73,68,58,52,140,64,69,68,69,"2,581",234,235,237,235,235,235,235,234,233,234,234,"3,371",674,988,716,993,16,5,9,2,6,,"20,177"
19-May-03,"5,693","3,113","2,158","2,030","1,293",75,73,74,75,75,73,75,74,74,71,60,55,144,73,75,72,75,"2,577",233,235,236,234,234,235,235,234,232,235,234,"3,375",679,988,715,993,18,6,10,2,6,,"20,263"
20-May-03,"5,719","3,116","2,149","2,035","1,294",74,74,74,75,75,73,74,74,74,71,62,55,144,74,75,72,74,"2,581",232,235,236,233,234,235,235,235,234,236,236,"3,372",678,987,714,993,18,6,10,2,6,,"20,290"
21-May-03,"5,706","3,125","2,163","2,040","1,296",74,75,74,75,74,73,74,73,75,73,62,54,144,74,75,72,75,"2,584",234,235,237,236,235,234,235,234,234,235,235,"3,371",678,986,714,993,18,6,10,2,6,,"20,309"
22-May-03,"5,723","3,134","2,158","2,051","1,299",74,75,74,75,75,73,74,74,75,73,61,54,147,74,74,72,75,"2,583",234,235,237,235,235,234,235,234,235,235,234,"3,376",683,986,715,992,18,6,10,2,6,,"20,348"
23-May-03,"5,716","3,150","2,152","2,063","1,295",75,75,74,75,75,72,73,72,75,73,60,54,147,74,74,72,75,"2,585",235,235,237,235,236,234,235,234,234,236,234,"3,386",682,993,717,994,18,6,10,2,6,1,"20,372"
24-May-03,"5,716","3,149","2,151","2,063","1,294",75,75,74,75,75,72,73,72,75,73,60,54,147,74,73,72,75,"2,582",235,235,237,234,235,234,235,234,234,235,234,"3,385",682,992,717,994,18,6,10,2,6,1,"20,365"
,"5,714","3,149","2,150","2,063","1,294",75,75,74,75,75,72,73,72,75,73,60,54,147,74,73,72,75,"2,579",235,235,235,234,235,234,234,234,234,235,234,"3,383",682,990,717,994,18,6,10,2,6,2,"20,358"
25-May-03 26-May-03,"5,712","3,148","2,150","2,065","1,294",75,75,74,75,75,72,73,72,75,73,60,54,147,74,73,72,75,"2,577",235,235,235,234,234,234,234,234,233,235,234,"3,382",681,990,717,994,18,6,10,2,6,3,"20,355"
