date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Sep-03,"5,683","3,104","2,101","2,068","1,457",75,71,93,90,72,74,78,88,84,82,50,53,221,87,84,54,101,"2,573",235,233,236,235,231,231,235,234,235,234,234,"3,447",724,995,735,993,17,6,9,2,6,41,"20,497"
15-Sep-03,"5,701","3,090","2,087","2,064","1,494",85,70,94,94,72,75,94,90,86,82,49,54,224,89,83,54,99,"2,575",235,235,236,234,233,231,235,233,236,233,234,"3,442",724,992,734,992,17,6,9,2,6,3,"20,479"
16-Sep-03,"5,687","3,076","2,075","2,063","1,466",82,68,93,92,72,71,91,87,83,83,49,54,220,89,83,54,95,"2,570",232,235,235,234,231,231,235,235,237,231,234,"3,440",724,988,738,990,17,6,9,2,6,6,"20,406"
17-Sep-03,"5,683","3,063","2,090","2,071","1,470",82,68,93,92,72,71,91,87,83,83,49,54,225,89,82,54,95,"2,571",234,235,235,234,231,231,235,235,237,229,235,"3,443",724,992,738,989,16,6,9,1,6,7,"20,420"
18-Sep-03,"5,680","3,061","2,088","2,056","1,488",84,71,95,91,72,71,90,89,88,82,51,56,223,93,82,52,98,"2,568",232,235,235,234,230,231,234,233,237,232,235,"3,446",723,992,737,994,16,6,9,1,6,7,"20,416"
19-Sep-03,"5,670","3,051","2,115","2,058","1,430",78,68,93,85,65,70,87,87,88,81,50,54,217,85,77,48,97,"2,571",232,235,235,233,235,231,233,233,237,232,235,"3,452",723,992,743,994,14,4,9,1,5,67,"20,433"
20-Sep-03,"5,671","3,049","2,117","2,058","1,426",78,68,93,84,65,69,87,87,88,81,50,54,217,85,77,46,97,"2,570",232,235,235,233,235,231,233,233,237,231,235,"3,452",723,992,743,994,14,4,9,1,5,67,"20,429"
21-Sep-03,"5,672","3,052","2,117","2,058","1,423",75,68,93,85,65,69,87,87,87,81,50,54,217,85,77,46,97,"2,570",232,235,235,233,235,231,233,233,237,231,235,"3,448",723,991,742,992,14,4,9,1,5,65,"20,424"
22-Sep-03,"5,663","3,079","2,113","2,024","1,478",79,70,95,90,71,70,90,89,87,82,49,56,223,93,82,55,97,"2,574",232,235,235,233,234,230,235,233,237,235,235,"3,447",722,989,742,994,16,6,9,1,6,6,"20,406"
23-Sep-03,"5,693","3,073","2,113","1,999","1,478",78,70,96,89,70,70,90,89,86,83,49,55,223,92,87,54,97,"2,576",232,235,235,235,234,230,235,235,236,234,235,"3,445",721,989,741,994,16,6,9,1,6,6,"20,405"
24-Sep-03,"5,681","3,096","2,127","1,982","1,490",78,69,96,89,69,70,91,89,91,87,49,55,221,92,87,61,96,"2,580",235,236,235,235,234,230,235,235,236,234,235,"3,443",721,988,740,994,16,6,9,1,6,5,"20,426"
25-Sep-03,"5,696","3,109","2,125","1,973","1,489",77,70,96,88,69,70,91,89,90,88,49,58,220,91,87,60,96,"2,579",234,236,235,234,234,229,235,235,237,235,235,"3,448",720,995,739,994,16,6,9,1,6,5,"20,446"
26-Sep-03,"5,678","3,138","2,119","1,954","1,460",75,70,94,87,65,68,90,91,89,86,47,55,218,93,82,55,95,"2,578",233,235,235,237,234,229,235,235,237,234,234,"3,463",730,993,745,995,16,6,9,1,6,47,"20,459"
