Location,MS STATE PENITENTIARY (See note at bottom),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,396","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,700",950,"1,000","1,000",750,"1,000",24,6,12,6,6,,"22,363"
14-May-04,"5,202","3,131","2,169","2,150","1,664",84,96,86,92,98,92,95,96,100,89,67,76,211,95,93,96,98,"2,743",249,249,249,249,249,250,250,250,250,250,248,"3,986",568,726,991,709,992,15,6,6,3,5,74,"21,139"
15-May-04,"5,201","3,132","2,167","2,150","1,665",84,96,86,92,98,92,95,96,100,89,67,76,211,95,94,96,98,"2,743",249,249,249,249,249,250,250,250,250,250,248,"3,984",568,726,990,709,991,15,6,6,3,5,73,"21,135"
16-May-04,"5,201","3,130","2,167","2,150","1,665",84,96,86,92,98,92,95,96,100,89,67,76,211,95,94,96,98,"2,742",249,248,249,249,249,250,250,250,250,250,248,"3,983",567,726,990,709,991,15,6,6,3,5,73,"21,131"
17-May-04,"5,198","3,127","2,182","2,144","1,734",92,97,95,98,99,96,99,102,102,91,67,80,216,101,100,97,102,"2,742",249,250,249,249,247,250,250,250,250,250,248,"3,983",565,725,991,708,994,15,6,6,3,5,5,"21,135"
18-May-04,"5,141","3,144","2,182","2,136","1,743",92,101,95,98,99,96,100,102,102,92,67,80,214,102,100,101,102,"2,743",250,249,250,249,249,250,249,249,248,250,250,"4,029",610,727,994,704,994,15,6,6,3,5,8,"21,146"
19-May-04,"5,159","3,134","2,176","2,133","1,741",91,102,95,98,98,95,98,101,101,92,69,82,214,101,100,102,102,"2,743",250,249,250,249,247,250,250,250,248,250,250,"4,029",610,724,994,708,993,15,6,6,3,5,0,"21,135"
20-May-04,"5,108","3,143","2,192","2,118","1,739",91,102,94,98,98,95,98,101,101,92,68,82,215,101,100,101,102,"2,746",250,250,249,250,247,250,250,250,250,250,250,"4,069",653,724,994,707,991,15,6,6,3,5,7,"21,142"
21-May-04,"5,116","3,129","2,191","2,149","1,665",88,94,94,96,92,88,93,91,96,89,66,77,212,97,97,99,96,"2,748",250,250,250,250,250,250,249,250,250,249,250,"4,074",653,729,994,708,990,15,6,6,3,5,91,"21,183"
22-May-04,"5,115","3,128","2,192","2,149","1,665",88,94,94,96,92,88,93,91,96,89,66,77,212,97,97,99,96,"2,747",250,250,249,250,250,250,249,250,250,249,250,"4,070",653,729,993,708,987,15,6,6,3,5,92,"21,178"
23-May-04,"5,114","3,128","2,192","2,149","1,662",88,93,94,96,92,88,92,91,95,89,66,77,212,97,97,99,96,"2,746",250,250,248,250,250,250,249,250,250,249,250,"4,070",653,729,993,708,987,15,6,6,3,5,92,"21,173"
24-May-04,"5,106","3,138","2,190","2,160","1,748",92,102,96,98,102,95,100,100,101,92,67,82,217,102,100,100,102,"2,748",250,250,249,250,250,250,249,250,250,250,250,"4,071",652,729,993,705,992,16,6,6,4,5,6,"21,188"
25-May-04,"5,081","3,133","2,192","2,181","1,751",92,102,96,102,102,95,100,100,101,92,67,81,217,102,100,100,102,"2,748",250,248,251,250,250,250,249,250,250,250,250,"4,116",697,728,992,708,991,16,6,6,4,5,5,"21,228"
26-May-04,"5,082","3,156","2,185","2,181","1,746",91,101,96,102,102,101,100,100,101,89,68,80,212,102,100,100,101,"2,745",250,246,250,250,250,250,250,250,250,249,250,"4,122",697,727,995,708,995,16,6,6,4,5,4,"21,242"
