Location,MS STATE PENITENTIARY    (See Note Below),CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove                        (See Note Below),Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,024","3,233","2,214","2,224","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,950",950,"1,000","1,000","1,000","1,000",24,6,12,6,6,,"22,241"
1-Jun-04,"4,984","3,172","2,176","2,181","1,756",92,101,95,101,100,102,97,102,101,90,70,86,215,101,102,100,101,"2,739",250,249,249,250,247,249,249,249,248,249,250,"4,222",782,726,992,727,995,16,6,6,4,5,5,"21,256"
2-Jun-04,"5,001","3,165","2,181","2,160","1,755",92,101,94,100,100,102,99,102,100,90,70,86,216,100,102,100,101,"2,744",249,250,247,250,250,250,250,249,249,250,250,"4,220",782,726,994,723,995,16,6,6,4,5,5,"21,252"
3-Jun-04,"4,964","3,165","2,179","2,169","1,758",92,101,93,99,100,102,99,102,101,90,70,91,215,101,102,98,102,"2,742",250,250,245,249,250,250,250,250,249,250,249,"4,256",824,725,994,719,994,16,6,6,4,5,4,"21,258"
4-Jun-04,"4,963","3,171","2,177","2,164","1,670",80,98,92,98,91,98,95,92,98,84,72,83,207,92,97,95,98,"2,739",248,250,250,245,250,249,250,249,249,250,249,"4,249",822,724,994,716,993,15,6,6,3,5,97,"21,250"
5-Jun-04,"4,962","3,170","2,176","2,164","1,668",80,98,92,98,91,98,95,92,97,84,72,83,207,92,96,95,98,"2,738",248,250,250,245,250,249,250,249,249,249,249,"4,245",822,723,993,715,992,15,6,6,3,5,99,"21,242"
6-Jun-04,"4,962","3,171","2,176","2,164","1,667",80,97,92,98,91,98,95,92,97,85,72,83,206,92,96,95,98,"2,737",248,250,250,245,250,248,250,249,249,249,249,"4,245",822,723,993,715,992,15,6,6,3,5,0,"21,142"
7-Jun-04,"4,955","3,188","2,187","2,191","1,754",90,101,95,99,99,102,99,102,99,92,72,90,213,101,100,98,102,"2,739",248,250,250,245,250,249,250,250,249,249,249,"4,247",821,723,992,716,995,16,6,6,4,5,5,"21,287"
8-Jun-04,"4,881","3,184","2,180","2,205","1,743",91,101,95,96,97,101,99,102,99,91,71,89,215,100,98,96,102,"2,749",250,248,250,250,250,251,250,250,250,250,250,"4,299",869,729,995,712,994,16,6,6,4,5,4,"21,266"
9-Jun-04,"4,893","3,178","2,186","2,192","1,747",91,100,95,96,97,100,99,102,101,91,70,91,215,99,98,100,102,"2,749",251,248,249,250,250,251,250,250,250,250,250,"4,300",869,728,995,714,994,16,6,6,4,5,3,"21,269"
10-Jun-04,"4,859","3,168","2,202","2,183","1,753",91,100,95,102,97,99,98,102,101,92,71,92,215,99,98,99,102,"2,746",250,249,248,249,250,250,250,250,250,250,250,"4,344",900,728,994,729,993,16,6,6,4,5,4,"21,280"
11-Jun-04,"4,851","3,165","2,196","2,199","1,682",85,93,89,99,94,98,97,94,100,90,69,87,207,89,93,97,101,"2,744",249,248,249,249,250,249,250,250,250,250,250,"4,367",919,728,995,728,997,16,6,6,4,5,66,"21,291"
12-Jun-04,"4,850","3,165","2,195","2,199","1,682",85,93,89,99,94,98,97,94,100,90,69,87,207,89,93,97,101,"2,744",249,248,249,249,250,249,250,250,250,250,250,"4,367",919,728,995,728,997,16,6,6,4,5,66,"21,289"
13-Jun-04,"4,850","3,165","2,194","2,199","1,681",85,93,89,99,94,98,97,94,100,90,68,87,207,89,93,97,101,"2,744",249,248,249,249,250,249,250,250,250,250,250,"4,367",919,728,995,728,997,16,6,6,4,5,65,"21,286"
