date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta       (Reopened 04-01-04),East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds                                   (See Note Below),Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,892","3,233","2,214","2,209","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,960",960,"1,000","1,000","1,000","1,000",18,6,6,6,6,,"22,098"
14-Sep-04,"4,812","3,220","2,180","2,041","1,670",90,97,92,99,90,90,92,102,101,89,59,86,209,101,92,81,100,"2,744",249,249,249,250,248,250,250,251,249,250,249,"4,567",952,865,994,762,994,12,5,4,3,5,4,"21,255"
15-Sep-04,"4,826","3,204","2,179","2,087","1,670",92,98,89,99,89,90,92,101,102,89,59,89,211,98,93,80,99,"2,737",248,250,249,250,242,250,249,251,249,250,249,"4,574",958,865,994,763,994,12,5,4,3,5,6,"21,300"
16-Sep-04,"4,849","3,207","2,179","2,069","1,673",91,101,89,99,89,90,91,101,101,89,59,89,211,100,93,80,100,"2,731",248,249,248,250,241,249,249,249,249,250,249,"4,571",959,863,993,763,993,12,5,4,3,5,2,"21,298"
17-Sep-04,"4,846","3,157","2,171","2,099","1,618",85,93,84,94,88,87,91,98,93,89,57,85,208,99,90,83,94,"2,743",251,249,248,250,248,250,250,250,249,248,250,"4,569",950,863,994,768,994,12,5,4,3,5,65,"21,285"
18-Sep-04,"4,844","3,155","2,168","2,099","1,616",85,93,84,94,88,86,91,98,93,88,57,85,208,99,90,83,94,"2,740",251,248,248,248,248,250,250,250,249,248,250,"4,569",950,863,994,768,994,12,5,4,3,5,66,"21,274"
19-Sep-04,"4,844","3,150","2,168","2,099","1,616",85,93,84,94,88,86,91,98,93,88,57,85,208,99,90,83,94,"2,739",251,248,247,248,248,250,250,250,249,248,250,"4,568",950,863,994,768,993,12,5,4,3,5,66,"21,267"
20-Sep-04,"4,838","3,131","2,179","2,077","1,702",90,99,93,99,98,93,98,102,99,88,63,92,210,97,100,83,98,"2,740",248,250,250,249,248,250,249,250,248,248,250,"4,577",949,863,993,778,994,12,5,4,3,5,2,"21,263"
21-Sep-04,"4,831","3,149","2,177","2,048","1,702",88,99,95,101,98,92,97,102,98,90,60,92,209,97,100,83,101,"2,746",249,249,249,250,250,250,249,250,250,250,250,"4,586",951,875,993,777,990,12,5,4,3,5,3,"21,259"
22-Sep-04,"4,831","3,153","2,190","2,061","1,712",88,98,95,101,99,92,96,102,100,90,60,92,215,98,101,83,102,"2,743",250,248,249,250,249,250,247,250,250,250,250,"4,585",950,876,988,782,989,12,5,4,3,5,5,"21,297"
23-Sep-04,"4,822","3,174","2,178","2,053","1,716",89,100,95,102,99,92,96,101,100,90,59,92,217,101,101,82,100,"2,737",250,249,248,249,249,248,247,250,250,250,247,"4,599",955,875,989,789,991,12,5,4,3,5,5,"21,301"
24-Sep-04,"4,837","3,179","2,173","2,031","1,655",86,96,92,102,95,86,94,92,95,87,58,89,211,97,100,82,93,"2,739",250,249,248,249,249,248,250,250,250,249,247,"4,599",957,875,988,787,992,12,5,4,3,5,65,"21,295"
25-Sep-04,"4,835","3,177","2,171","2,031","1,654",86,96,92,102,95,86,94,92,95,87,58,88,211,97,100,82,93,"2,736",250,248,247,249,249,248,250,250,249,249,247,"4,598",957,875,988,787,991,12,5,4,3,5,65,"21,284"
26-Sep-04,"4,835","3,175","2,172","2,031","1,653",86,96,91,101,95,86,94,92,95,87,58,88,211,97,100,82,94,"2,736",250,248,247,249,249,248,250,250,249,249,247,"4,595",957,875,987,786,990,12,5,4,3,5,65,"21,279"
