Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,760","3,233","2,214","2,203","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,088"
19-Oct-04,"4,781","3,135","2,181","2,018","1,694",92,96,92,99,88,98,101,95,101,90,59,83,219,100,88,93,100,"2,747",250,249,250,249,250,250,249,250,250,250,250,"4,629",960,865,994,0,815,995,13,5,5,3,5,2,"21,205"
20-Oct-04,"4,773","3,161","2,189","2,000","1,695",92,96,93,98,88,98,100,95,101,90,58,85,218,102,87,92,102,"2,742",250,248,249,249,247,250,249,250,250,250,250,"4,628",960,864,994,0,815,995,13,5,5,3,5,4,"21,210"
21-Oct-04,"4,793","3,148","2,189","2,001","1,698",92,96,95,96,88,98,101,100,101,90,57,84,219,102,87,91,101,"2,742",248,250,249,249,246,250,250,250,250,250,250,"4,620",957,864,992,0,813,994,13,5,5,3,5,2,"21,211"
22-Oct-04,"4,784","3,140","2,183","2,007","1,639",90,86,89,93,87,94,98,95,100,90,54,82,216,96,88,88,93,"2,743",249,250,250,249,249,250,248,250,250,249,249,"4,626",957,861,995,0,820,993,13,5,5,3,5,71,"21,211"
23-Oct-04,"4,779","3,137","2,180","2,007","1,639",90,86,89,93,87,94,98,95,100,90,54,82,216,96,88,88,93,"2,741",249,250,250,249,249,250,247,250,250,248,249,"4,623",956,860,995,0,820,992,13,5,5,3,5,71,"21,195"
24-Oct-04,"4,778","3,135","2,180","2,007","1,640",90,86,89,93,87,94,98,95,100,90,54,82,216,97,88,88,93,"2,740",249,250,249,249,249,250,247,250,250,248,249,"4,623",956,860,995,0,820,992,13,5,5,3,5,71,"21,192"
25-Oct-04,"4,715","3,165","2,174","1,986","1,697",92,95,95,95,87,99,101,101,100,92,54,83,218,101,95,88,101,"2,745",249,250,249,250,250,250,249,250,249,250,249,"4,686",957,860,994,56,824,995,13,5,5,3,5,7,"21,193"
26-Oct-04,"4,741","3,174","2,173","1,966","1,696",92,95,94,96,87,100,101,101,101,91,53,83,219,101,96,85,101,"2,743",248,250,250,250,248,250,249,250,250,249,249,"4,689",959,860,994,56,826,994,12,5,4,3,5,8,"21,207"
27-Oct-04,"4,724","3,188","2,169","1,946","1,710",92,101,94,96,92,99,101,101,101,91,58,83,219,99,96,85,102,"2,743",248,250,250,250,247,250,250,249,250,250,249,"4,695",957,868,993,56,827,994,12,5,4,3,5,8,"21,200"
28-Oct-04,"4,729","3,173","2,156","1,951","1,714",92,101,94,96,93,98,101,100,100,90,58,83,219,100,102,85,102,"2,739",250,247,250,250,246,249,250,250,250,249,248,"4,691",957,868,993,56,825,992,13,6,4,3,5,7,"21,178"
29-Oct-04,"4,718","3,162","2,163","1,949","1,681",87,100,92,95,92,96,98,96,102,88,56,81,216,100,99,82,101,"2,748",249,250,250,250,250,249,250,250,250,250,250,"4,687",957,866,992,56,828,988,13,6,4,3,5,46,"21,172"
30-Oct-04,"4,713","3,160","2,169","1,949","1,679",87,100,92,95,92,96,98,96,102,88,56,81,214,100,99,82,101,"2,736",249,250,242,249,250,248,250,250,250,249,249,"4,683",957,865,991,56,827,987,13,6,4,3,5,45,"21,152"
31-Oct-04,"4,708","3,159","2,168","1,949","1,678",87,100,92,95,92,96,98,96,101,88,56,81,214,100,99,82,101,"2,735",249,250,241,249,250,248,250,250,250,249,249,"4,683",957,865,991,56,827,987,13,6,4,3,5,45,"21,143"
