date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,395","1,786","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,116"
1-Dec-06,"4,514","3,346","2,294","1,812","1,758",92,100,95,101,99,101,102,98,101,91,83,90,211,100,100,93,101,"3,077",294,280,279,278,275,272,279,280,280,280,280,"4,845",966,860,995,128,943,953,13,4,6,3,5,5,"21,669"
2-Dec-06,"4,514","3,342","2,295","1,812","1,757",92,100,95,101,99,101,102,98,101,91,82,90,211,100,100,93,101,"3,075",294,280,279,278,275,272,277,280,280,280,280,"4,844",965,860,995,128,943,953,13,4,6,3,5,5,"21,662"
3-Dec-06,"4,513","3,341","2,294","1,812","1,755",92,100,95,101,99,101,102,96,101,91,82,90,211,100,100,93,101,"3,073",294,280,278,277,275,272,277,280,280,280,280,"4,842",965,860,994,128,942,953,13,4,6,3,5,4,"21,652"
4-Dec-06,"4,519","3,339","2,304","1,807","1,752",92,99,95,98,98,100,100,96,99,91,83,90,211,99,100,100,101,"3,075",293,280,277,279,274,272,280,280,280,280,280,"4,851",964,860,994,128,949,956,13,4,6,3,5,4,"21,669"
5-Dec-06,"4,527","3,347","2,295","1,817","1,759",91,99,95,102,102,99,99,97,99,91,84,89,210,100,101,100,101,"3,076",293,280,278,279,274,273,279,280,280,280,280,"4,849",964,860,995,128,947,955,12,4,5,3,5,8,"21,695"
6-Dec-06,"4,521","3,336","2,313","1,829","1,764",91,99,95,102,102,97,98,96,100,91,84,89,216,101,101,100,102,"3,073",294,280,277,279,274,272,279,279,280,280,279,"4,859",971,862,995,128,946,957,12,4,5,3,5,9,"21,721"
7-Dec-06,"4,488","3,365","2,319","1,836","1,769",91,102,95,101,100,100,101,96,100,92,85,89,212,100,101,102,102,"3,073",292,279,278,280,275,272,280,280,279,279,279,"4,858",971,861,995,128,947,956,12,4,5,3,5,6,"21,731"
8-Dec-06,"4,481","3,375","2,322","1,826","1,775",92,102,95,102,100,100,101,101,100,92,86,89,213,100,101,102,99,"3,076",293,278,278,280,275,274,280,280,279,279,280,"4,871",970,861,995,128,948,969,12,4,5,3,5,3,"21,746"
9-Dec-06,"4,478","3,378","2,320","1,826","1,773",92,102,95,102,100,100,101,101,100,90,86,89,213,100,101,102,99,"3,073",292,278,278,280,275,273,280,279,279,279,280,"4,869",970,859,995,128,948,969,12,4,5,3,5,4,"21,738"
