Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,425","2,884","1,787","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,,"22,515"
19-Aug-07,"4,473","3,441","2,655","1,773","1,768",88,100,94,99,101,98,100,102,101,90,90,88,216,100,99,101,101,"3,073",293,278,280,280,275,274,277,278,279,279,280,"4,773",967,886,993,0,940,987,13,4,5,4,5,31,"22,005"
20-Aug-07,"4,481","3,385","2,664","1,773","1,785",92,102,94,101,102,101,98,102,102,90,91,87,218,101,102,100,102,"3,074",292,279,280,279,273,274,279,280,279,279,280,"4,774",969,885,995,0,938,987,12,4,4,4,5,6,"21,959"
21-Aug-07,"4,479","3,411","2,672","1,781","1,781",91,101,94,100,102,101,98,102,100,91,91,87,218,101,102,100,102,"3,077",293,279,280,280,274,274,279,280,280,279,279,"4,782",972,891,995,0,937,987,14,5,5,4,5,6,"22,008"
22-Aug-07,"4,492","3,403","2,684","1,793","1,768",92,101,92,100,101,99,97,102,98,92,91,89,217,101,102,93,101,"3,074",293,279,280,280,273,270,280,280,280,279,280,"4,785",971,891,993,0,937,993,14,5,5,4,5,6,"22,024"
23-Aug-07,"4,471","3,421","2,704","1,782","1,763",92,102,89,97,102,99,100,102,99,91,88,87,216,102,101,94,102,"3,066",290,280,280,280,271,269,279,279,279,279,280,"4,794",971,888,996,0,940,999,14,5,5,4,5,10,"22,030"
24-Aug-07,"4,480","3,390","2,761","1,791","1,715",89,96,88,94,99,98,93,100,97,85,87,83,215,101,101,92,97,"3,065",293,280,280,280,269,269,278,279,279,278,280,"4,772",970,886,994,0,940,982,14,5,5,4,5,48,"22,041"
25-Aug-07,"4,477","3,389","2,759","1,791","1,715",89,96,88,94,99,98,93,100,97,85,87,83,216,101,100,92,97,"3,063",293,280,280,280,269,269,278,279,278,277,280,"4,770",970,886,993,0,940,981,14,5,5,4,5,47,"22,030"
26-Aug-07,"4,476","3,387","2,756","1,791","1,712",89,96,88,94,98,98,93,100,97,85,87,83,216,101,99,92,96,"3,060",293,280,280,279,269,268,278,278,278,277,280,"4,769",970,886,992,0,940,981,14,5,5,4,5,47,"22,017"
27-Aug-07,"4,463","3,410","2,752","1,785","1,751",92,99,89,94,100,99,100,100,96,90,87,86,216,102,99,102,100,"3,072",292,280,280,280,272,274,280,279,278,278,279,"4,768",970,886,995,0,938,979,13,4,5,4,5,7,"22,026"
