date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,558","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,984"
1-Jun-09,"4,108","3,392","3,040","1,598","1,593",78,83,75,85,70,90,78,80,86,79,90,85,249,96,90,81,98,"2,924",280,265,265,263,257,269,266,266,266,264,263,"5,490",958,"1,356",983,"1,222",971,10,4,4,2,6,11,"22,172"
2-Jun-09,"4,111","3,373","3,035","1,585","1,581",75,83,80,83,69,92,74,77,87,80,93,83,249,93,88,78,97,"2,925",280,265,263,266,260,266,266,263,266,266,264,"5,490",954,"1,360",981,"1,220",975,10,4,4,2,6,6,"22,122"
3-Jun-09,"4,115","3,382","3,036","1,570","1,575",75,83,80,83,69,91,74,77,86,80,93,84,248,91,87,78,96,"2,925",280,265,264,263,259,266,266,266,265,265,266,"5,494",956,"1,360",981,"1,222",975,10,4,4,2,6,9,"22,122"
4-Jun-09,"4,126","3,396","3,034","1,548","1,559",79,83,78,82,68,91,74,76,83,79,90,83,245,90,84,78,96,"2,915",278,263,265,260,256,266,265,267,265,263,267,"5,484",945,"1,357",983,"1,222",977,11,5,4,2,6,11,"22,090"
5-Jun-09,"4,119","3,342","3,059","1,559","1,543",76,80,79,81,67,91,75,87,78,70,89,82,246,86,83,78,95,"2,917",278,266,260,260,256,266,265,267,266,265,268,"5,496",957,"1,358",982,"1,222",977,11,5,4,2,6,43,"22,095"
6-Jun-09,"4,109","3,340","3,058","1,559","1,539",75,80,79,81,66,91,74,87,78,70,89,82,246,86,83,77,95,"2,917",278,266,260,260,256,266,265,267,266,265,268,"5,495",957,"1,358",981,"1,222",977,11,5,4,2,6,43,"22,077"
7-Jun-09,"4,108","3,340","3,056","1,559","1,538",75,80,79,81,66,91,74,87,78,70,89,81,246,86,83,77,95,"2,916",278,266,260,260,256,266,265,266,266,265,268,"5,487",955,"1,355",980,"1,221",976,11,5,4,2,6,44,"22,065"
8-Jun-09,"4,102","3,361","3,042","1,560","1,573",80,83,81,83,67,91,75,87,82,78,90,80,249,91,83,76,97,"2,921",279,267,261,260,258,266,266,266,266,266,266,"5,493",953,"1,361",983,"1,222",974,11,5,4,2,6,11,"22,080"
9-Jun-09,"4,115","3,384","3,034","1,568","1,569",78,81,87,83,66,91,77,87,83,78,90,78,248,86,83,76,97,"2,911",280,268,261,255,260,261,266,266,266,263,265,"5,491",952,"1,361",982,"1,221",975,10,5,4,1,6,14,"22,102"
