Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,525","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,834"
1-Aug-09,"3,890","3,181","3,015","1,509","1,595",74,73,83,89,80,93,93,71,91,83,86,67,244,98,79,90,101,"2,903",280,262,265,250,260,261,266,266,266,266,261,"5,492",957,"1,361",983,"1,223",968,10,5,3,2,6,29,"21,630"
2-Aug-09,"3,887","3,180","3,013","1,509","1,595",74,73,83,89,80,93,93,71,91,83,86,67,244,98,79,90,101,"2,902",280,262,265,250,260,260,266,266,266,266,261,"5,492",957,"1,361",983,"1,223",968,10,5,3,2,6,29,"21,623"
3-Aug-09,"3,891","3,018","3,191","1,516","1,601",74,74,83,90,81,93,94,69,90,83,87,70,245,94,80,92,102,"2,900",280,262,265,250,260,260,265,266,265,266,261,"5,487",957,"1,361",983,"1,219",967,10,5,3,2,6,9,"21,629"
4-Aug-09,"3,898","3,187","3,008","1,517","1,596",74,74,83,90,78,96,91,69,90,83,86,70,245,94,80,92,101,"2,905",279,263,265,250,257,265,266,265,266,266,263,"5,495",957,"1,362",983,"1,220",973,10,5,3,2,6,10,"21,632"
5-Aug-09,"3,902","3,208","3,010","1,490","1,585",74,74,75,90,77,96,91,71,89,83,86,70,244,92,80,92,101,"2,910",279,264,265,250,259,265,266,264,266,266,266,"5,502",955,"1,362",983,"1,228",974,10,5,3,2,6,13,"21,636"
6-Aug-09,"3,891","3,226","3,020","1,478","1,569",74,73,74,89,73,95,90,70,89,83,88,69,242,90,80,92,98,"2,915",280,264,266,250,260,266,266,266,265,266,266,"5,498",953,"1,359",983,"1,226",977,10,5,3,2,6,13,"21,626"
7-Aug-09,"3,900","3,178","3,017","1,494","1,590",73,72,76,86,73,94,95,69,96,88,88,69,248,91,80,98,94,"2,915",279,265,266,251,260,265,265,266,266,266,266,"5,495",953,"1,357",981,"1,227",977,9,5,3,1,6,32,"21,636"
8-Aug-09,"3,900","3,181","3,015","1,494","1,587",73,72,76,86,73,94,95,68,96,88,88,68,248,91,80,97,94,"2,913",279,265,265,250,260,265,265,266,266,266,266,"5,493",953,"1,356",980,"1,227",977,9,5,3,1,6,32,"21,630"
9-Aug-09,"3,897","3,180","3,014","1,494","1,583",73,72,76,86,73,91,95,67,96,88,88,68,248,91,80,97,94,"2,910",279,265,264,250,259,264,265,266,266,266,266,"5,493",953,"1,356",980,"1,227",977,9,5,3,1,6,31,"21,617"
