date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,483","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,463",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,876"
10-Sep-10,"3,457","3,134","3,162","1,736","1,557",72,79,66,87,71,78,81,86,99,80,91,81,231,95,86,76,98,"2,529",235,224,0,224,224,219,224,283,226,224,224,222,0,"5,346",902,"1,360",945,"1,192",947,8,2,4,2,6,43,"20,978"
11-Sep-10,"3,455","3,131","3,159","1,736","1,555",72,79,66,87,71,78,81,86,99,80,91,81,230,95,86,75,98,"2,528",235,224,0,224,224,219,224,283,226,224,223,222,0,"5,342",901,"1,358",945,"1,191",947,8,2,4,2,6,43,"20,963"
12-Sep-10,"3,452","3,133","3,158","1,736","1,552",72,79,66,87,71,78,79,86,99,80,91,81,229,95,86,75,98,"2,526",235,224,0,224,224,219,224,282,226,224,222,222,0,"5,337",900,"1,355",945,"1,191",946,8,2,4,2,6,8,"20,916"
13-Sep-10,"3,456","3,124","3,176","1,742","1,570",74,81,69,87,72,79,83,85,94,84,91,81,230,98,86,77,99,"2,530",235,224,0,224,224,220,224,283,226,224,223,223,0,"5,346",904,"1,355",943,"1,195",949,9,3,4,2,6,9,"20,968"
14-Sep-10,"3,425","3,145","3,174","1,725","1,565",74,81,69,87,71,79,81,86,93,84,91,81,230,98,86,76,98,"2,576",236,224,45,224,224,220,224,282,225,224,223,225,0,"5,353",904,"1,354",943,"1,202",950,9,3,4,2,6,9,"20,987"
15-Sep-10,"3,428","3,152","3,174","1,713","1,582",74,81,68,93,86,79,80,86,93,84,90,80,231,98,85,76,98,"2,577",236,224,45,224,224,219,224,285,225,224,222,225,0,"5,345",903,"1,350",941,"1,202",949,9,3,4,2,6,11,"20,997"
16-Sep-10,"3,416","3,132","3,167","1,698","1,578",73,81,68,92,86,78,80,86,96,90,87,79,230,96,83,74,99,"2,619",235,224,90,223,224,219,224,285,225,224,222,224,0,"5,331",903,"1,361",916,"1,200",951,9,3,4,2,6,12,"20,968"
17-Sep-10,"3,388","3,099","3,167","1,707","1,527",73,79,67,89,83,76,75,81,95,84,86,78,225,90,77,71,98,"2,686",235,223,90,225,223,219,224,285,225,224,223,220,70,"5,327",902,"1,361",913,"1,197",954,9,3,4,2,6,54,"20,970"
18-Sep-10,"3,385","3,098","3,168","1,707","1,523",73,79,64,89,83,76,74,81,95,84,86,78,225,90,77,71,98,"2,686",235,223,90,225,223,219,224,285,225,224,223,220,70,"5,326",902,"1,361",913,"1,196",954,9,3,4,2,6,54,"20,962"
