date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
1-Jul-11,"3,092","3,243","3,134","1,820","1,585",86,88,81,76,90,87,76,91,94,88,84,82,197,102,96,78,89,"3,280",248,234,224,249,224,224,218,224,284,225,224,224,225,253,"5,127",904,"1,354","1,000",981,888,12,6,6,0,5,9,"21,307"
2-Jul-11,"3,086","3,241","3,131","1,820","1,584",86,87,82,76,90,87,76,91,94,88,84,82,197,101,96,78,89,"3,278",248,234,224,248,224,224,217,224,284,225,224,224,225,253,"5,125",904,"1,354","1,000",979,888,12,6,6,0,5,9,"21,291"
3-Jul-11,"3,085","3,241","3,130","1,820","1,584",86,87,82,76,90,87,76,91,94,88,84,82,197,101,96,78,89,"3,275",248,234,224,248,224,224,217,223,282,225,224,224,225,253,"5,121",903,"1,354","1,000",978,886,12,6,6,0,5,9,"21,282"
4-Jul-11,"3,083","3,238","3,129","1,834","1,584",86,87,82,76,90,87,76,91,94,88,84,82,197,101,96,78,89,"3,274",248,234,224,248,224,224,217,223,282,225,224,224,224,253,"5,113",901,"1,351","1,000",976,885,12,6,6,0,5,8,"21,280"
5-Jul-11,"3,087","3,251","3,137","1,805","1,571",85,86,81,77,89,87,76,91,90,88,84,81,196,97,96,78,89,"3,279",248,234,224,248,224,224,219,223,285,225,224,224,224,253,"5,120",903,"1,347",998,988,884,12,6,6,0,5,8,"21,275"
6-Jul-11,"3,084","3,269","3,148","1,773","1,575",85,86,81,76,89,86,76,90,88,89,84,92,195,97,95,77,89,"3,277",250,235,223,249,224,224,220,223,285,224,224,223,223,250,"5,122",902,"1,349",998,989,884,12,6,6,0,5,6,"21,271"
7-Jul-11,"3,079","3,283","3,143","1,785","1,570",85,85,80,76,88,86,76,89,88,89,84,92,195,96,95,77,89,"3,274",250,235,223,248,221,224,220,223,285,224,225,223,223,250,"5,124",900,"1,351","1,000",986,887,10,6,4,0,5,7,"21,280"
8-Jul-11,"3,086","3,291","3,132","1,795","1,538",77,82,79,81,88,86,77,87,89,85,84,87,192,94,89,76,85,"3,278",250,235,224,248,220,224,220,225,285,224,225,224,224,250,"5,112",897,"1,351",999,978,887,8,4,4,0,5,53,"21,298"
9-Jul-11,"3,085","3,287","3,130","1,795","1,538",77,82,79,81,88,86,77,87,89,85,84,88,192,93,89,76,85,"3,277",250,234,224,248,220,224,220,225,285,224,225,224,224,250,"5,111",897,"1,351",998,978,887,8,4,4,0,5,7,"21,243"
