date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,"Washington County (Open Sept 21, 2011)",Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
19-Sep-11,"3,047","3,159","3,195","1,914","1,559",84,86,82,85,91,90,77,92,94,79,70,81,195,89,90,87,87,"3,264",247,234,223,247,224,223,219,223,284,223,223,222,,223,249,"5,172",897,"1,358",997,"1,023",897,12,4,4,4,5,8,"21,335"
20-Sep-11,"3,052","3,168","3,194","1,927","1,551",84,87,80,83,91,89,77,90,93,79,67,82,195,89,92,87,86,"3,278",250,234,224,249,223,224,219,224,284,223,225,223,,224,252,"5,171",899,"1,354","1,000","1,022",896,12,4,4,4,5,8,"21,366"
21-Sep-11,"3,062","3,077","3,196","1,902","1,531",83,82,77,87,89,90,75,89,93,77,67,80,188,89,92,87,86,"3,364",251,234,223,249,222,224,220,224,284,222,223,224,,223,252,"5,173",899,"1,354",999,"1,025",896,12,4,4,4,5,8,"21,330"
22-Sep-11,"3,064","3,091","3,205","1,923","1,527",83,82,80,87,88,90,77,88,90,79,59,79,189,93,92,87,84,"3,366",251,235,224,249,222,224,220,224,283,224,224,224,,222,251,"5,167",900,"1,356",999,"1,019",893,12,4,4,4,5,11,"21,371"
23-Sep-11,"3,081","3,108","3,207","1,922","1,489",80,81,80,87,86,87,75,85,87,77,59,75,183,88,92,85,82,"3,361",250,234,224,247,222,224,221,224,281,224,225,224,,220,252,"5,164",900,"1,357",998,"1,016",893,11,4,3,4,5,47,"21,395"
24-Sep-11,"3,078","3,106","3,204","1,922","1,487",80,81,80,86,86,87,75,85,87,77,59,75,183,87,92,85,82,"3,357",250,234,224,247,222,224,220,224,281,224,224,224,,220,250,"5,162",900,"1,357",997,"1,016",892,11,4,3,4,5,48,"21,380"
25-Sep-11,"3,076","3,104","3,204","1,922","1,487",79,81,80,87,86,87,75,85,87,77,59,75,183,87,92,85,82,"3,354",250,234,224,247,222,224,220,224,281,224,223,224,,219,249,"5,160",900,"1,356",996,"1,016",892,11,4,3,4,5,49,"21,372"
26-Sep-11,"3,068","3,126","3,200","1,919","1,506",85,82,80,85,87,89,75,86,88,78,58,75,188,87,92,87,84,"3,364",250,234,224,249,224,224,220,224,286,224,223,224,,223,246,"5,171",899,"1,362","1,000","1,019",891,12,4,4,4,5,12,"21,383"
27-Sep-11,"3,062","3,071","3,203","1,920","1,503",85,81,80,86,85,90,75,86,87,77,58,75,188,87,92,87,84,"3,442",249,235,224,249,224,224,220,224,285,224,224,224,,222,246,"5,171",901,"1,360",999,"1,017",894,12,4,4,4,5,12,"21,401"
