Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
1-May-12,"3,284","3,137","3,188","2,242","1,542",92,78,78,82,86,80,72,85,86,72,87,91,204,102,88,72,87,"4,272",300,294,279,300,279,280,275,280,340,280,280,280,226,278,301,"4,201",0,"1,361",974,981,885,11,6,4,1,0,3,"21,880"
2-May-12,"3,287","3,158","3,183","2,247","1,545",92,78,77,84,86,80,73,88,82,72,85,91,205,102,91,72,87,"4,272",300,294,279,300,280,280,274,279,340,280,280,280,225,279,302,"4,201",0,"1,360",974,983,884,12,6,5,1,0,7,"21,912"
3-May-12,"3,299","3,156","3,181","2,253","1,552",92,86,77,85,86,80,73,87,85,75,84,92,204,100,91,70,85,"4,273",300,294,280,300,280,280,274,279,340,280,280,280,225,279,302,"4,204",0,"1,355",971,992,886,14,6,5,3,0,8,"21,940"
4-May-12,"3,298","3,164","3,183","2,215","1,551",92,85,76,87,85,77,73,89,88,75,84,91,206,100,91,69,83,"4,273",300,294,280,300,280,280,274,280,340,280,280,280,224,280,301,"4,204",0,"1,358",970,991,885,14,6,5,3,0,22,"21,924"
5-May-12,"3,297","3,162","3,185","2,215","1,550",92,85,75,87,85,77,73,89,88,75,84,91,206,100,91,69,83,"4,269",300,294,279,299,280,280,274,280,340,280,279,279,224,280,301,"4,203",0,"1,358",970,991,884,14,6,5,3,0,20,"21,915"
6-May-12,"3,297","3,159","3,181","2,215","1,550",92,85,75,87,85,77,73,89,88,75,84,91,206,100,91,69,83,"4,268",300,294,279,299,280,280,273,280,340,280,279,279,224,280,301,"4,200",0,"1,356",970,991,883,14,6,5,3,0,22,"21,906"
7-May-12,"3,294","3,113","3,188","2,259","1,547",89,85,76,87,82,79,72,89,89,76,84,90,204,100,90,68,87,"4,277",300,294,279,299,280,280,274,279,340,280,280,279,232,280,301,"4,220",0,"1,354",970,994,902,14,6,5,3,0,7,"21,919"
8-May-12,"3,295","3,096","3,139","2,254","1,545",87,85,74,86,81,80,71,87,91,76,83,93,206,99,91,68,87,"4,280",300,294,279,299,280,280,274,280,340,280,282,280,231,280,301,"4,313",0,"1,360",988,"1,064",901,14,6,5,3,0,4,"21,940"
9-May-12,"3,305","3,084","3,171","2,226","1,569",87,85,76,88,83,82,76,85,91,77,88,93,207,99,91,74,87,"4,276",300,293,277,299,280,280,274,280,341,280,282,279,231,279,301,"4,312",0,"1,359",988,"1,066",899,14,6,5,3,0,3,"21,960"
