Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,905","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,714"
10-Nov-13,"3,369","3,293",37,"3,194","2,128","1,373",90,67,72,62,76,73,60,67,77,68,93,89,222,85,70,48,54,"4,419",299,368,280,300,280,280,274,278,355,277,279,280,290,280,299,"4,409",0,"1,197",999,"1,316",897,10,3,5,2,0,0,"22,232"
11-Nov-13,"3,369","3,292",37,"3,191","2,130","1,384",90,68,72,62,77,73,60,68,77,69,93,91,223,84,70,48,59,"4,417",299,368,280,298,280,280,274,278,355,277,279,280,290,280,299,"4,408",0,"1,196",999,"1,316",897,10,3,5,2,0,0,"22,238"
12-Nov-13,"3,378","3,308",37,"3,190","2,112","1,377",90,67,72,60,78,71,61,68,76,70,92,92,222,81,70,48,59,"4,403",289,368,278,298,279,280,274,279,352,279,279,279,290,280,299,"4,413",0,"1,199",998,"1,316",900,10,3,5,2,0,0,"22,228"
13-Nov-13,"3,378","3,328",37,"3,195","2,111","1,375",92,67,72,61,78,69,59,68,75,72,92,92,221,82,69,47,59,"4,402",289,367,280,298,279,280,272,279,351,279,280,279,290,280,299,"4,418",0,"1,199",998,"1,317",904,10,3,5,2,0,0,"22,254"
14-Nov-13,"3,382","3,312",37,"3,198","2,120","1,380",92,67,75,64,78,68,58,68,74,74,91,91,224,81,68,48,59,"4,411",287,368,279,300,279,279,274,279,355,278,280,279,294,280,300,"4,417",0,"1,199",998,"1,317",903,11,4,5,2,0,0,"22,268"
15-Nov-13,"3,380","3,317",38,"3,207","2,102","1,363",91,68,71,66,74,67,57,70,74,70,92,90,225,80,64,46,58,"4,408",286,369,279,300,280,280,274,277,355,277,279,278,294,279,301,"4,416",0,"1,197","1,000","1,317",902,9,4,3,2,0,0,"22,240"
16-Nov-13,"3,374","3,312",38,"3,206","2,102","1,362",90,68,71,66,74,67,57,70,74,70,92,90,225,80,64,46,58,"4,403",286,368,279,299,279,279,274,277,355,277,279,277,294,279,301,"4,415",0,"1,196","1,000","1,317",902,9,4,3,2,0,0,"22,221"
17-Nov-13,"3,373","3,314",38,"3,205","2,102","1,360",90,68,70,66,74,67,57,70,74,70,92,90,225,79,64,46,58,"4,401",285,368,279,299,279,279,274,277,355,277,279,277,294,279,300,"4,414",0,"1,196","1,000","1,316",902,9,4,3,2,0,0,"22,216"
18-Nov-13,"3,370","3,303",38,"3,199","2,101","1,378",89,66,74,68,77,66,65,69,74,73,91,89,226,79,67,47,58,"4,415",285,369,277,298,280,280,274,279,354,280,280,280,299,279,301,"4,413",0,"1,198",999,"1,315",901,10,5,3,2,0,0,"22,227"
