date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","2,017","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,826"
1-Dec-13,"3,356","3,324",39,"3,190","2,069","1,365",89,65,73,70,76,66,66,69,70,74,89,84,219,80,69,53,53,"4,393",279,367,278,299,275,280,274,278,353,279,279,279,292,280,301,"4,396",0,"1,197",999,"1,300",900,11,4,5,2,0,0,"22,143"
2-Dec-13,"3,356","3,333",39,"3,186","2,102","1,365",89,65,73,70,76,66,66,69,70,74,89,84,219,80,69,53,53,"4,393",279,367,278,299,275,280,274,278,353,279,279,279,292,280,301,"4,396",0,"1,197",999,"1,300",900,11,4,5,2,0,0,"22,181"
3-Dec-13,"3,370","3,320",39,"3,175","2,107","1,373",84,62,78,74,78,64,67,68,75,73,92,92,215,79,68,51,53,"4,403",279,367,280,299,280,280,275,280,355,279,280,279,290,279,301,"4,407",0,"1,200",997,"1,310",900,11,4,5,2,0,0,"22,205"
4-Dec-13,"3,368","3,306",39,"3,178","2,118","1,362",87,61,79,70,77,60,67,67,72,77,91,92,211,79,68,51,53,"4,404",279,367,279,300,279,280,275,280,355,280,280,278,292,279,301,"4,417",0,"1,200",999,"1,317",901,13,4,5,4,0,0,"22,205"
5-Dec-13,"3,363","3,342",40,"3,182","2,082","1,360",87,61,79,70,77,60,67,67,72,77,91,92,210,79,68,50,53,"4,400",279,368,279,300,279,280,274,280,353,279,280,278,291,279,301,"4,415",0,"1,200",999,"1,315",901,13,4,5,4,0,0,"22,197"
6-Dec-13,"3,359","3,353",40,"3,172","2,092","1,354",87,60,76,70,77,60,65,67,72,77,91,92,210,79,68,50,53,"4,397",279,366,279,300,280,279,274,279,353,279,279,277,293,279,301,"4,408",0,"1,199",999,"1,310",900,13,4,5,4,0,0,"22,188"
7-Dec-13,"3,355","3,349",40,"3,171","2,093","1,352",87,60,76,70,77,58,65,67,72,77,91,92,210,79,68,50,53,"4,395",279,366,279,299,280,279,274,279,353,279,279,277,293,279,300,"4,403",0,"1,198",999,"1,308",898,13,4,5,4,0,0,"22,171"
8-Dec-13,"3,354","3,347",40,"3,171","2,093","1,351",87,60,76,70,77,58,64,67,72,77,91,92,210,79,68,50,53,"4,393",279,366,279,299,280,279,274,279,352,279,279,277,293,279,299,"4,400",0,"1,196",998,"1,308",898,13,4,5,4,0,0,"22,162"
9-Dec-13,"3,354","3,317",41,"3,185","2,165","1,351",87,60,75,70,74,59,64,67,71,77,91,92,215,79,68,50,52,"4,400",279,365,280,299,280,280,274,279,355,279,279,280,292,280,299,"4,402",0,"1,198",998,"1,309",897,13,4,5,4,0,0,"22,228"
