Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"24,959"
1-Apr-14,"3,341","2,990",37,"3,226","1,931","1,158",88,47,52,62,49,43,44,55,54,76,89,68,200,89,53,39,50,"4,419",298,369,279,297,280,279,274,280,353,281,280,280,295,276,298,3497,0,1201,995,1301,11,6,3,2,"20,621"
2-Apr-14,"3,344","2,990",37,"3,216","1,917","1,163",86,46,52,63,49,46,44,56,57,77,86,69,200,89,53,40,50,"4,397",296,366,280,296,270,278,275,280,346,279,280,281,295,275,300,3498,0,1201,993,1304,11,6,3,2,"20,584"
3-Apr-14,"3,335","2,984",37,"3,223","1,924","1,180",87,46,52,63,49,46,44,56,57,80,88,69,199,96,52,45,51,"4,386",294,365,279,296,269,279,274,279,346,279,280,281,294,272,299,3504,0,1199,996,1309,11,6,3,2,"20,595"
4-Apr-14,"3,330","3,005",37,"3,219","1,954","1,159",85,46,52,63,49,46,42,55,59,79,87,69,194,92,50,42,49,"4,389",297,367,276,300,276,276,274,277,346,276,279,279,294,273,299,3501,0,1198,995,1308,11,6,3,2,"20,616"
5-Apr-14,"3,328","3,003",37,"3,214","1,944","1,165",85,46,51,62,49,46,42,54,59,79,87,69,203,92,50,42,49,"4,382",297,364,275,300,276,276,274,276,346,276,279,278,294,273,298,3499,0,1196,995,1308,11,6,3,2,"20,594"
6-Apr-14,"3,328","3,001",37,"3,212","1,954","1,153",85,46,51,62,49,46,42,52,60,79,87,68,193,92,50,42,49,"4,380",297,363,275,300,276,276,273,276,346,276,279,278,294,273,298,3497,0,1195,994,1308,11,6,3,2,"20,584"
7-Apr-14,"3,336","2,987",37,"3,202","1,929","1,164",83,45,51,63,47,47,43,51,62,79,87,68,204,94,50,42,48,"4,397",297,362,280,300,279,280,271,276,354,276,280,278,294,272,298,3502,0,"1,198",993,1311,12,4,6,2,"20,578"
8-Apr-14,"3,327","2,989",37,"3,204","1,925","1,166",83,45,53,61,47,47,42,51,62,79,86,69,204,97,51,42,47,"4,399",298,362,280,299,279,280,271,280,353,271,280,280,294,272,300,3502,0,"1,199",999,1304,12,4,6,2,"20,573"
9-Apr-14,"3,319","2,977",37,"3,212","1,925","1,173",87,46,53,62,47,46,43,51,63,79,86,68,204,96,51,43,48,"4,402",301,368,280,298,278,280,270,280,354,272,280,280,293,270,298,3509,0,"1,200",999,1310,12,4,6,2,"20,578"
10-Apr-14,"3,320","2,961",36,"3,205","1,924","1,151",85,46,53,62,46,43,43,49,63,78,85,67,200,94,48,42,47,"4,405",299,368,280,300,279,278,273,280,354,272,280,280,293,271,298,3502,0,"1,199",998,1305,12,4,6,2,"20,528"
