date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648","3,665",42,"3,282","2,020","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,560",360,369,280,362,280,280,274,280,355,280,280,280,300,280,300,5000,"1,500","1,000","1,500","1,000",16,6,6,4,"25,081"
12-Jun-14,"3,323","2,710",40,"3,171","1,647","1,148",90,43,50,60,61,49,53,54,56,71,70,69,191,99,47,38,47,"4,402",301,368,279,300,279,279,272,279,355,274,280,279,280,279,298,4296,"1,201",999,"1,240",856,13,6,5,2,"20,750"
13-Jun-14,"3,329","2,673",40,"3,167","1,760","1,128",87,42,52,63,59,47,50,52,54,67,70,74,184,96,47,36,48,"4,395",300,366,279,300,279,277,272,277,354,277,280,279,280,278,297,4301,"1,199","1,000","1,248",854,13,6,5,2,"20,806"
14-Jun-14,"3,330","2,683",40,"3,167","1,762","1,125",87,41,52,63,59,47,49,51,54,67,70,74,184,96,47,36,48,"4,391",298,366,279,299,278,277,272,277,354,277,280,279,280,278,297,4297,"1,197",1000,"1,246",854,13,6,5,2,"20,808"
15-Jun-14,"3,330","2,683",40,"3,169","1,760","1,125",87,41,52,63,59,47,49,51,54,67,70,74,184,96,47,36,48,"4,391",298,366,279,299,278,277,272,277,354,277,280,279,280,278,297,4297,"1,197","1,000","1,246",854,13,6,5,2,"20,808"
16-Jun-14,"3,327","2,685",41,"3,165","1,729","1,129",85,40,51,61,58,49,50,51,54,71,70,76,187,96,46,38,46,"4,400",298,366,280,300,276,279,274,275,352,277,279,280,291,277,296,4291,"1,197",998,"1,242",854,13,6,5,2,"20,780"
17-Jun-14,"3,333","2,688",41,"3,168","1,733","1,122",87,39,50,60,58,48,48,51,56,71,71,73,187,95,45,38,45,"4,392",297,366,280,300,279,279,274,275,351,271,279,280,291,276,294,4293,"1,198",998,"1,246",851,13,6,5,2,"20,783"
18-Jun-14,"3,348","2,684",41,"3,166","1,731","1,122",87,39,50,60,56,48,47,49,56,78,72,72,187,94,45,38,44,"4,397",297,365,280,300,277,280,274,275,353,270,280,280,290,277,299,4289,"1,198",996,"1,244",851,13,6,5,2,"20,791"
19-Jun-14,"3,356","2,675",41,"3,162","1,725","1,121",87,40,47,59,55,48,48,50,56,77,74,69,189,96,45,37,44,"4,410",297,361,280,300,278,279,275,278,353,277,280,279,295,279,299,4284,"1,198",996,"1,241",849,13,6,5,2,"20,787"
20-Jun-14,"3,349","2,652",42,"3,184","1,735","1,120",87,40,49,60,55,46,51,51,55,76,73,69,188,93,47,37,43,"4,392",294,359,277,299,280,279,271,277,351,274,282,278,295,279,297,4283,"1,203",999,"1,237",844,13,6,5,2,"20,770"
21-Jun-14,"3,346","2,653",42,"3,182","1,735","1,118",86,40,49,60,55,46,51,51,55,76,73,69,188,93,47,37,42,"4,389",294,359,276,299,280,279,271,277,350,274,281,278,295,279,297,4279,"1,203",997,"1,235",844,12,5,5,2,"20,756"
